metric,count,denominator,percentage
Same number of credible sets,10872,11203,97.0454342586807
Same CS count and same biological lead SNP set,10152,11203,90.6185843077747
"Same CS count, different biological lead SNP set, and SNP overlap",716,11203,6.39114522895653
Different number of credible sets,331,11203,2.95456574131929
Both models reported at least one CS,11203,11203,100
Any shared SNP when both models reported CSs,11195,11203,99.928590556101
No shared SNP when both models reported CSs,8,11203,0.0714094438989556
Exactly one CS from each model,9354,11203,83.4954922788539
One CS each with at least one shared SNP,9354,9354,100
One CS each with no shared SNP,0,9354,0
One CS each with the same biological lead SNP,8934,9354,95.5099422706863
One CS each with full biological-SNP overlap,4642,9354,49.6258285225572
One CS each with partial biological-SNP overlap,4712,9354,50.3741714774428
