tissue,total_mixed_cs,classified_mixed_cs,additive_cs,dominant_cs,recessive_cs,unclassified_cs,nonadditive_cs,additive_proportion,additive_ci_lower,additive_ci_upper,additive_odds_ratio,odds_ratio_ci_lower,odds_ratio_ci_upper,fisher_p_value,overall_additive_proportion,additive_difference,standardized_additive_residual,other_tissues_additive_proportion,fisher_fdr,direction_vs_overall,additivity_classification,additive_percentage,additive_ci_lower_percentage,additive_ci_upper_percentage,overall_additive_percentage,additive_difference_percentage_points,other_tissues_additive_percentage
Kidney,17,17,16,1,0,0,1,0.941176470588235,0.730179693624246,0.989539599015002,2.88444574484644,0.447215524192111,121.032187609632,0.497334463779379,0.847467036780014,0.0937094338082215,1.07464374084808,0.847245409015025,1,over-additive,not significantly different,94.1176470588235,73.0179693624246,98.9539599015002,84.7467036780014,9.37094338082215,84.7245409015025
Prostate,112,112,101,9,2,0,11,0.901785714285714,0.832653674435728,0.944270243099764,1.66347854821084,0.887405641038643,3.44986078046631,0.113030810895795,0.847467036780014,0.0543186775057004,1.59887656834686,0.846609333145355,0.984334706050989,over-additive,not significantly different,90.1785714285714,83.2653674435728,94.4270243099764,84.7467036780014,5.43186775057004,84.6609333145355
Uterus,48,48,43,5,0,0,5,0.895833333333333,0.778325783056137,0.954678280958187,1.55168822702782,0.613950383618666,5.03080007991969,0.425263149348968,0.847467036780014,0.0483662965533194,0.932009184257871,0.847142657538075,1,over-additive,not significantly different,89.5833333333333,77.8325783056137,95.4678280958187,84.7467036780014,4.83662965533194,84.7142657538075
Heart,197,197,173,24,0,0,24,0.878172588832487,0.82512873639385,0.916749961734026,1.30603153937971,0.84431531812886,2.10435849525077,0.268434678126247,0.847467036780014,0.0307055520524734,1.1986896679663,0.846603881278539,1,over-additive,not significantly different,87.8172588832487,82.512873639385,91.6749961734026,84.7467036780014,3.07055520524734,84.6603881278539
Stomach,112,112,98,9,5,0,14,0.875,0.801069258255626,0.924059731444166,1.26410885721743,0.715295592656325,2.40629712553609,0.50746181204799,0.847467036780014,0.0275329632199861,0.810435963669619,0.847032285351755,1,over-additive,not significantly different,87.5,80.1069258255626,92.4059731444166,84.7467036780014,2.75329632199861,84.7032285351755
Salivary Gland,79,79,69,9,1,0,10,0.873417721518987,0.782436413334965,0.929767365303245,1.24463869724422,0.635107944184192,2.71879858249243,0.637106330234645,0.847467036780014,0.0259506847389734,0.641533155427065,0.84717934325007,1,over-additive,not significantly different,87.3417721518987,78.2436413334965,92.9767365303245,84.7467036780014,2.59506847389734,84.717934325007
Nerve,752,752,652,89,11,0,100,0.867021276595745,0.840877305894602,0.889434578374437,1.19422685275086,0.955149773627189,1.50517205173622,0.120223136299293,0.847467036780014,0.0195542398157308,1.49144278103166,0.845188284518829,0.984334706050989,over-additive,not significantly different,86.7021276595745,84.0877305894602,88.9434578374437,84.7467036780014,1.95542398157308,84.5188284518829
Small Intestine,67,67,58,6,3,0,9,0.865671641791045,0.76399627738663,0.927689083357045,1.16142464728142,0.569311266493724,2.67448074191662,0.864149573803955,0.847467036780014,0.0182046050110309,0.414453107932579,0.847296161389745,1,over-additive,not significantly different,86.5671641791045,76.399627738663,92.7689083357045,84.7467036780014,1.82046050110309,84.7296161389745
Blood Vessel,558,558,482,71,5,0,76,0.863799283154122,0.832840995835077,0.889782786418718,1.1535998349662,0.895138217321389,1.50309564439641,0.297183829430921,0.847467036780014,0.016332246374108,1.07304951134562,0.846095983150293,1,over-additive,not significantly different,86.3799283154122,83.2840995835077,88.9782786418718,84.7467036780014,1.6332246374108,84.6095983150293
Adrenal Gland,142,142,122,16,4,0,20,0.859154929577465,0.792451168847757,0.90693843425135,1.09986611405806,0.678347211843218,1.87244015475671,0.813508367642356,0.847467036780014,0.0116878927974509,0.387379942806848,0.847232054367832,1,over-additive,not significantly different,85.9154929577465,79.2451168847757,90.693843425135,84.7467036780014,1.16878927974509,84.7232054367832
