tissue,coding_pattern,count,total_gene_tissue_pairs,percentage
Adipose Tissue,none,0,754,0
Adipose Tissue,A,628,754,83.289124668435
Adipose Tissue,R,10,754,1.3262599469496
Adipose Tissue,D,57,754,7.55968169761273
Adipose Tissue,AR,10,754,1.3262599469496
Adipose Tissue,AD,46,754,6.10079575596817
Adipose Tissue,RD,1,754,0.13262599469496
Adipose Tissue,ADR,2,754,0.26525198938992
Adrenal Gland,none,0,247,0
Adrenal Gland,A,210,247,85.0202429149798
Adrenal Gland,R,7,247,2.83400809716599
Adrenal Gland,D,24,247,9.7165991902834
Adrenal Gland,AR,2,247,0.809716599190283
Adrenal Gland,AD,4,247,1.61943319838057
Adrenal Gland,RD,0,247,0
Adrenal Gland,ADR,0,247,0
Blood,none,0,350,0
Blood,A,240,350,68.5714285714286
Blood,R,10,350,2.85714285714286
Blood,D,63,350,18
Blood,AR,7,350,2
Blood,AD,26,350,7.42857142857143
Blood,RD,3,350,0.857142857142857
Blood,ADR,1,350,0.285714285714286
Blood Vessel,none,0,842,0
Blood Vessel,A,702,842,83.3729216152019
Blood Vessel,R,5,842,0.593824228028504
Blood Vessel,D,76,842,9.02612826603325
Blood Vessel,AR,4,842,0.475059382422803
Blood Vessel,AD,54,842,6.41330166270784
Blood Vessel,RD,1,842,0.118764845605701
Blood Vessel,ADR,0,842,0
Brain,none,0,148,0
Brain,A,120,148,81.0810810810811
Brain,R,0,148,0
Brain,D,23,148,15.5405405405405
Brain,AR,0,148,0
Brain,AD,5,148,3.37837837837838
Brain,RD,0,148,0
Brain,ADR,0,148,0
Breast,none,0,372,0
Breast,A,311,372,83.6021505376344
Breast,R,2,372,0.537634408602151
Breast,D,40,372,10.752688172043
Breast,AR,4,372,1.0752688172043
Breast,AD,15,372,4.03225806451613
Breast,RD,0,372,0
Breast,ADR,0,372,0
Colon,none,0,484,0
Colon,A,399,484,82.4380165289256
Colon,R,2,484,0.413223140495868
Colon,D,56,484,11.5702479338843
Colon,AR,4,484,0.826446280991736
Colon,AD,22,484,4.54545454545455
Colon,RD,0,484,0
Colon,ADR,1,484,0.206611570247934
Esophagus,none,0,396,0
Esophagus,A,323,396,81.5656565656566
Esophagus,R,6,396,1.51515151515152
Esophagus,D,41,396,10.3535353535354
Esophagus,AR,3,396,0.757575757575758
Esophagus,AD,22,396,5.55555555555556
Esophagus,RD,1,396,0.252525252525253
Esophagus,ADR,0,396,0
Heart,none,0,312,0
Heart,A,270,312,86.5384615384615
Heart,R,0,312,0
Heart,D,26,312,8.33333333333333
Heart,AR,2,312,0.641025641025641
Heart,AD,14,312,4.48717948717949
Heart,RD,0,312,0
Heart,ADR,0,312,0
Kidney,none,0,32,0
Kidney,A,30,32,93.75
Kidney,R,0,32,0
Kidney,D,2,32,6.25
Kidney,AR,0,32,0
Kidney,AD,0,32,0
Kidney,RD,0,32,0
Kidney,ADR,0,32,0
Liver,none,0,222,0
Liver,A,189,222,85.1351351351351
Liver,R,2,222,0.900900900900901
Liver,D,27,222,12.1621621621622
Liver,AR,0,222,0
Liver,AD,4,222,1.8018018018018
Liver,RD,0,222,0
Liver,ADR,0,222,0
Lung,none,0,498,0
Lung,A,414,498,83.1325301204819
Lung,R,4,498,0.803212851405623
Lung,D,55,498,11.0441767068273
Lung,AR,5,498,1.00401606425703
Lung,AD,19,498,3.81526104417671
Lung,RD,1,498,0.200803212851406
Lung,ADR,0,498,0
Muscle,none,0,756,0
Muscle,A,608,756,80.4232804232804
Muscle,R,7,756,0.925925925925926
Muscle,D,75,756,9.92063492063492
Muscle,AR,5,756,0.661375661375661
Muscle,AD,59,756,7.80423280423281
Muscle,RD,2,756,0.264550264550265
Muscle,ADR,0,756,0
Nerve,none,0,1118,0
Nerve,A,957,1118,85.5992844364937
Nerve,R,6,1118,0.536672629695886
Nerve,D,93,1118,8.31842576028623
Nerve,AR,4,1118,0.35778175313059
Nerve,AD,52,1118,4.65116279069768
Nerve,RD,4,1118,0.35778175313059
Nerve,ADR,2,1118,0.178890876565295
Ovary,none,0,137,0
Ovary,A,116,137,84.6715328467153
Ovary,R,1,137,0.72992700729927
Ovary,D,19,137,13.8686131386861
Ovary,AR,1,137,0.72992700729927
Ovary,AD,0,137,0
Ovary,RD,0,137,0
Ovary,ADR,0,137,0
Pancreas,none,0,333,0
Pancreas,A,271,333,81.3813813813814
Pancreas,R,5,333,1.5015015015015
Pancreas,D,44,333,13.2132132132132
Pancreas,AR,3,333,0.900900900900901
Pancreas,AD,10,333,3.003003003003
Pancreas,RD,0,333,0
Pancreas,ADR,0,333,0
Pituitary,none,0,469,0
Pituitary,A,394,469,84.0085287846482
Pituitary,R,4,469,0.852878464818763
Pituitary,D,50,469,10.6609808102345
Pituitary,AR,1,469,0.213219616204691
Pituitary,AD,19,469,4.05117270788913
Pituitary,RD,1,469,0.213219616204691
Pituitary,ADR,0,469,0
Prostate,none,0,187,0
Prostate,A,169,187,90.3743315508021
Prostate,R,3,187,1.60427807486631
Prostate,D,11,187,5.88235294117647
Prostate,AR,2,187,1.06951871657754
Prostate,AD,2,187,1.06951871657754
Prostate,RD,0,187,0
Prostate,ADR,0,187,0
Salivary Gland,none,0,140,0
Salivary Gland,A,117,140,83.5714285714286
Salivary Gland,R,1,140,0.714285714285714
Salivary Gland,D,17,140,12.1428571428571
Salivary Gland,AR,2,140,1.42857142857143
Salivary Gland,AD,3,140,2.14285714285714
Salivary Gland,RD,0,140,0
Salivary Gland,ADR,0,140,0
Skin,none,0,622,0
Skin,A,507,622,81.5112540192926
Skin,R,5,622,0.803858520900322
Skin,D,63,622,10.1286173633441
Skin,AR,0,622,0
Skin,AD,44,622,7.07395498392283
Skin,RD,3,622,0.482315112540193
Skin,ADR,0,622,0
Small Intestine,none,0,115,0
Small Intestine,A,100,115,86.9565217391305
Small Intestine,R,4,115,3.47826086956522
Small Intestine,D,10,115,8.69565217391304
