tissue,total,different_cs_number,no_snp_overlap,shared_snp_occurrences,shared_snps_preferred_nonadditive,pct_different_cs_number,pct_no_snp_overlap,pct_shared_snps_preferred_nonadditive
Blood,208,10,1,10013,3033,4.80769230769231,0.480769230769231,30.2906221911515
Spleen,243,6,1,6918,1388,2.46913580246914,0.411522633744856,20.0636021971668
Skin,337,14,1,14564,3702,4.15430267062315,0.29673590504451,25.4188409777534
Blood Vessel,464,16,1,19544,3372,3.44827586206897,0.21551724137931,17.2533769954973
Nerve,621,25,1,25872,5565,4.02576489533011,0.161030595813205,21.5097402597403
Thyroid,682,29,1,24197,3523,4.25219941348974,0.146627565982405,14.5596561557218
Muscle,423,19,0,18343,5146,4.49172576832151,0,28.0542986425339
Adipose Tissue,402,16,0,16851,3609,3.98009950248756,0,21.4171265800249
Breast,210,4,0,8134,1425,1.9047619047619,0,17.5190558150971
Testis,373,7,0,15266,1908,1.87667560321716,0,12.4983623739028
Lung,285,8,0,13695,4628,2.80701754385965,0,33.7933552391384
Esophagus,221,6,0,15132,4914,2.71493212669683,0,32.4742268041237
Heart,173,5,0,6208,1211,2.89017341040462,0,19.507087628866
Ovary,71,0,0,2798,1041,0,0,37.205146533238
Pituitary,264,2,0,11545,1751,0.757575757575758,0,15.1667388479861
Prostate,106,0,0,4131,365,0,0,8.83563301863956
Stomach,106,2,0,3910,428,1.88679245283019,0,10.9462915601023
Adrenal Gland,136,2,0,4430,1301,1.47058823529412,0,29.3679458239278
Pancreas,177,4,0,6134,1767,2.25988700564972,0,28.8066514509293
Colon,259,10,0,13867,3045,3.86100386100386,0,21.9586067642605
Brain,80,1,0,5024,2183,1.25,0,43.4514331210191
Small Intestine,65,0,0,2930,430,0,0,14.6757679180887
Liver,118,1,0,3609,406,0.847457627118644,0,11.2496536436686
Salivary Gland,73,1,0,3511,253,1.36986301369863,0,7.2059242381088
Vagina,33,0,0,2128,1212,0,0,56.9548872180451
Uterus,46,0,0,2739,941,0,0,34.3556042351223
Kidney,17,0,0,1763,236,0,0,13.3862733976177
