tissue,model,distance_to_tss_kb,bin_lower_kb,bin_upper_kb,count,proportion,percentage,n_cs_total,n_cs_in_window
Adipose Tissue,SuSiE,-200,-205,-195,0,0,0,488,471
Adipose Tissue,SuSiE,-190,-195,-185,0,0,0,488,471
Adipose Tissue,SuSiE,-180,-185,-175,4,0.00849256900212314,0.849256900212314,488,471
Adipose Tissue,SuSiE,-170,-175,-165,1,0.00212314225053079,0.212314225053079,488,471
Adipose Tissue,SuSiE,-160,-165,-155,2,0.00424628450106157,0.424628450106157,488,471
Adipose Tissue,SuSiE,-150,-155,-145,0,0,0,488,471
Adipose Tissue,SuSiE,-140,-145,-135,2,0.00424628450106157,0.424628450106157,488,471
Adipose Tissue,SuSiE,-130,-135,-125,1,0.00212314225053079,0.212314225053079,488,471
Adipose Tissue,SuSiE,-120,-125,-115,2,0.00424628450106157,0.424628450106157,488,471
Adipose Tissue,SuSiE,-110,-115,-105,4,0.00849256900212314,0.849256900212314,488,471
Adipose Tissue,SuSiE,-100,-105,-95,4,0.00849256900212314,0.849256900212314,488,471
Adipose Tissue,SuSiE,-90,-95,-85,4,0.00849256900212314,0.849256900212314,488,471
Adipose Tissue,SuSiE,-80,-85,-75,5,0.0106157112526539,1.06157112526539,488,471
Adipose Tissue,SuSiE,-70,-75,-65,6,0.0127388535031847,1.27388535031847,488,471
Adipose Tissue,SuSiE,-60,-65,-55,6,0.0127388535031847,1.27388535031847,488,471
Adipose Tissue,SuSiE,-50,-55,-45,6,0.0127388535031847,1.27388535031847,488,471
Adipose Tissue,SuSiE,-40,-45,-35,17,0.0360934182590234,3.60934182590234,488,471
Adipose Tissue,SuSiE,-30,-35,-25,16,0.0339702760084926,3.39702760084926,488,471
Adipose Tissue,SuSiE,-20,-25,-15,34,0.0721868365180467,7.21868365180467,488,471
Adipose Tissue,SuSiE,-10,-15,-5,43,0.0912951167728238,9.12951167728238,488,471
Adipose Tissue,SuSiE,0,-5,5,139,0.295116772823779,29.5116772823779,488,471
Adipose Tissue,SuSiE,10,5,15,49,0.104033970276008,10.4033970276008,488,471
Adipose Tissue,SuSiE,20,15,25,26,0.0552016985138004,5.52016985138004,488,471
Adipose Tissue,SuSiE,30,25,35,28,0.059447983014862,5.9447983014862,488,471
Adipose Tissue,SuSiE,40,35,45,18,0.0382165605095541,3.82165605095541,488,471
Adipose Tissue,SuSiE,50,45,55,7,0.0148619957537155,1.48619957537155,488,471
Adipose Tissue,SuSiE,60,55,65,13,0.0276008492569002,2.76008492569002,488,471
Adipose Tissue,SuSiE,70,65,75,4,0.00849256900212314,0.849256900212314,488,471
Adipose Tissue,SuSiE,80,75,85,8,0.0169851380042463,1.69851380042463,488,471
Adipose Tissue,SuSiE,90,85,95,3,0.00636942675159236,0.636942675159236,488,471
Adipose Tissue,SuSiE,100,95,105,2,0.00424628450106157,0.424628450106157,488,471
Adipose Tissue,SuSiE,110,105,115,4,0.00849256900212314,0.849256900212314,488,471
Adipose Tissue,SuSiE,120,115,125,1,0.00212314225053079,0.212314225053079,488,471
Adipose Tissue,SuSiE,130,125,135,0,0,0,488,471
Adipose Tissue,SuSiE,140,135,145,3,0.00636942675159236,0.636942675159236,488,471
Adipose Tissue,SuSiE,150,145,155,5,0.0106157112526539,1.06157112526539,488,471
Adipose Tissue,SuSiE,160,155,165,1,0.00212314225053079,0.212314225053079,488,471
Adipose Tissue,SuSiE,170,165,175,0,0,0,488,471
Adipose Tissue,SuSiE,180,175,185,2,0.00424628450106157,0.424628450106157,488,471
Adipose Tissue,SuSiE,190,185,195,1,0.00212314225053079,0.212314225053079,488,471
Adipose Tissue,SuSiE,200,195,205,0,0,0,488,471
Adipose Tissue,SuSiE-mix,-200,-205,-195,0,0,0,490,470
Adipose Tissue,SuSiE-mix,-190,-195,-185,0,0,0,490,470
Adipose Tissue,SuSiE-mix,-180,-185,-175,4,0.00851063829787234,0.851063829787234,490,470
