model,distance_to_tss_kb,bin_lower_kb,bin_upper_kb,count,proportion,percentage,n_cs_total,n_cs_in_window
SuSiE,-200,-205,-195,19,0.00274884259259259,0.274884259259259,7274,6912
SuSiE,-190,-195,-185,10,0.00144675925925926,0.144675925925926,7274,6912
SuSiE,-180,-185,-175,26,0.00376157407407407,0.376157407407407,7274,6912
SuSiE,-170,-175,-165,11,0.00159143518518519,0.159143518518519,7274,6912
SuSiE,-160,-165,-155,38,0.00549768518518519,0.549768518518519,7274,6912
SuSiE,-150,-155,-145,34,0.00491898148148148,0.491898148148148,7274,6912
SuSiE,-140,-145,-135,29,0.00419560185185185,0.419560185185185,7274,6912
SuSiE,-130,-135,-125,40,0.00578703703703704,0.578703703703704,7274,6912
SuSiE,-120,-125,-115,37,0.00535300925925926,0.535300925925926,7274,6912
SuSiE,-110,-115,-105,41,0.00593171296296296,0.593171296296296,7274,6912
SuSiE,-100,-105,-95,63,0.00911458333333333,0.911458333333333,7274,6912
SuSiE,-90,-95,-85,66,0.00954861111111111,0.954861111111111,7274,6912
SuSiE,-80,-85,-75,73,0.0105613425925926,1.05613425925926,7274,6912
SuSiE,-70,-75,-65,118,0.0170717592592593,1.70717592592593,7274,6912
SuSiE,-60,-65,-55,115,0.0166377314814815,1.66377314814815,7274,6912
SuSiE,-50,-55,-45,113,0.0163483796296296,1.63483796296296,7274,6912
SuSiE,-40,-45,-35,204,0.0295138888888889,2.95138888888889,7274,6912
SuSiE,-30,-35,-25,278,0.0402199074074074,4.02199074074074,7274,6912
SuSiE,-20,-25,-15,503,0.0727719907407407,7.27719907407407,7274,6912
SuSiE,-10,-15,-5,725,0.104890046296296,10.4890046296296,7274,6912
SuSiE,0,-5,5,1757,0.254195601851852,25.4195601851852,7274,6912
SuSiE,10,5,15,680,0.0983796296296296,9.83796296296296,7274,6912
SuSiE,20,15,25,469,0.0678530092592593,6.78530092592593,7274,6912
SuSiE,30,25,35,353,0.0510706018518519,5.10706018518519,7274,6912
SuSiE,40,35,45,269,0.0389178240740741,3.89178240740741,7274,6912
SuSiE,50,45,55,133,0.0192418981481481,1.92418981481482,7274,6912
SuSiE,60,55,65,103,0.0149016203703704,1.49016203703704,7274,6912
SuSiE,70,65,75,89,0.0128761574074074,1.28761574074074,7274,6912
SuSiE,80,75,85,84,0.0121527777777778,1.21527777777778,7274,6912
SuSiE,90,85,95,72,0.0104166666666667,1.04166666666667,7274,6912
SuSiE,100,95,105,57,0.00824652777777778,0.824652777777778,7274,6912
SuSiE,110,105,115,55,0.00795717592592593,0.795717592592593,7274,6912
SuSiE,120,115,125,32,0.00462962962962963,0.462962962962963,7274,6912
SuSiE,130,125,135,28,0.00405092592592593,0.405092592592593,7274,6912
SuSiE,140,135,145,35,0.00506365740740741,0.506365740740741,7274,6912
SuSiE,150,145,155,42,0.00607638888888889,0.607638888888889,7274,6912
SuSiE,160,155,165,15,0.00217013888888889,0.217013888888889,7274,6912
SuSiE,170,165,175,14,0.00202546296296296,0.202546296296296,7274,6912
SuSiE,180,175,185,32,0.00462962962962963,0.462962962962963,7274,6912
SuSiE,190,185,195,13,0.00188078703703704,0.188078703703704,7274,6912
SuSiE,200,195,205,37,0.00535300925925926,0.535300925925926,7274,6912
SuSiE-mix,-200,-205,-195,21,0.00306524594949642,0.306524594949642,7205,6851
SuSiE-mix,-190,-195,-185,9,0.00131367683549847,0.131367683549847,7205,6851
SuSiE-mix,-180,-185,-175,24,0.00350313822799591,0.350313822799591,7205,6851
SuSiE-mix,-170,-175,-165,11,0.00160560502116479,0.160560502116479,7205,6851
SuSiE-mix,-160,-165,-155,37,0.00540067143482703,0.540067143482703,7205,6851
SuSiE-mix,-150,-155,-145,34,0.00496277915632754,0.496277915632754,7205,6851
SuSiE-mix,-140,-145,-135,25,0.00364910232082908,0.364910232082908,7205,6851
SuSiE-mix,-130,-135,-125,38,0.0055466355276602,0.55466355276602,7205,6851
SuSiE-mix,-120,-125,-115,38,0.0055466355276602,0.55466355276602,7205,6851
SuSiE-mix,-110,-115,-105,50,0.00729820464165815,0.729820464165815,7205,6851
SuSiE-mix,-100,-105,-95,64,0.00934170194132243,0.934170194132243,7205,6851
SuSiE-mix,-90,-95,-85,60,0.00875784556998978,0.875784556998978,7205,6851
SuSiE-mix,-80,-85,-75,73,0.0106553787768209,1.06553787768209,7205,6851
SuSiE-mix,-70,-75,-65,126,0.0183914756969785,1.83914756969785,7205,6851
SuSiE-mix,-60,-65,-55,119,0.0173697270471464,1.73697270471464,7205,6851
SuSiE-mix,-50,-55,-45,108,0.0157641220259816,1.57641220259816,7205,6851
SuSiE-mix,-40,-45,-35,200,0.0291928185666326,2.91928185666326,7205,6851
SuSiE-mix,-30,-35,-25,273,0.0398481973434535,3.98481973434535,7205,6851
SuSiE-mix,-20,-25,-15,494,0.0721062618595826,7.21062618595826,7205,6851
SuSiE-mix,-10,-15,-5,712,0.103926434097212,10.3926434097212,7205,6851
SuSiE-mix,0,-5,5,1765,0.257626623850533,25.7626623850533,7205,6851
SuSiE-mix,10,5,15,676,0.0986717267552182,9.86717267552182,7205,6851
SuSiE-mix,20,15,25,479,0.0699168004670851,6.99168004670851,7205,6851
SuSiE-mix,30,25,35,346,0.0505035761202744,5.05035761202744,7205,6851
SuSiE-mix,40,35,45,255,0.0372208436724566,3.72208436724566,7205,6851
SuSiE-mix,50,45,55,126,0.0183914756969785,1.83914756969785,7205,6851
SuSiE-mix,60,55,65,104,0.015180265654649,1.5180265654649,7205,6851
SuSiE-mix,70,65,75,87,0.0126988760764852,1.26988760764852,7205,6851
SuSiE-mix,80,75,85,80,0.011677127426653,1.1677127426653,7205,6851
SuSiE-mix,90,85,95,74,0.0108013428696541,1.08013428696541,7205,6851
SuSiE-mix,100,95,105,53,0.00773609692015764,0.773609692015764,7205,6851
SuSiE-mix,110,105,115,52,0.00759013282732448,0.759013282732448,7205,6851
SuSiE-mix,120,115,125,32,0.00467085097066122,0.467085097066122,7205,6851
SuSiE-mix,130,125,135,29,0.00423295869216173,0.423295869216173,7205,6851
SuSiE-mix,140,135,145,31,0.00452488687782806,0.452488687782805,7205,6851
SuSiE-mix,150,145,155,39,0.00569259962049336,0.569259962049336,7205,6851
SuSiE-mix,160,155,165,17,0.00248138957816377,0.248138957816377,7205,6851
SuSiE-mix,170,165,175,11,0.00160560502116479,0.160560502116479,7205,6851
SuSiE-mix,180,175,185,31,0.00452488687782806,0.452488687782805,7205,6851
SuSiE-mix,190,185,195,12,0.00175156911399796,0.175156911399796,7205,6851
SuSiE-mix,200,195,205,36,0.00525470734199387,0.525470734199387,7205,6851
