gene,tissue,result_file,n_ind,n_SNP,n_mix_predictor,n_add_rm,n_rec_rm,n_dom_rm,mean_count,median_count,min_pv,dif_elbo,dif_elbo_perm,log_lik_add,log_lik_mix,log_lik_add_perm,log_lik_mix_perm,ncs_susie,ncs_susie_mix,perm_cs_susie,perm_cs_susie_mix,n_add_cs_snps,n_mix_cs_snps,overlap_snp,pct_add_cs_snps_retained,n_add_cs_snps_not_retained,pct_add_cs_snps_not_retained,overlap,overlap_cs_pairs,overlap_pairwise_sum,overlap_coding,pct_add_cs_snps_retained_additive_coding,n_add_cs_snps_other_coding_only,pct_add_cs_snps_other_coding_only,pct_shared_snps_other_coding_only,n_shared_snps_preferred_additive,n_shared_snps_preferred_dominant,n_shared_snps_preferred_recessive,n_shared_snps_preferred_nonadditive,n_shared_snps_preference_ambiguous,pct_shared_snps_preferred_nonadditive,n_add_cs_snps_perm,n_mix_cs_snps_perm,overlap_snp_perm,overlap_perm,pct_add_cs_snps_retained_perm,n_add_cs_snps_not_retained_perm,pct_add_cs_snps_not_retained_perm,overlap_cs_pairs_perm,overlap_pairwise_sum_perm,overlap_coding_perm,pct_add_cs_snps_retained_additive_coding_perm,n_add_cs_snps_other_coding_only_perm,pct_add_cs_snps_other_coding_only_perm,n_shared_snps_preferred_additive_perm,n_shared_snps_preferred_dominant_perm,n_shared_snps_preferred_recessive_perm,n_shared_snps_preferred_nonadditive_perm,n_shared_snps_preference_ambiguous_perm,pct_shared_snps_preferred_nonadditive_perm,n_add,n_rec,n_dom,n_add_perm,n_rec_perm,n_dom_perm,converged_add,converged_mix,converged_add_perm,converged_mix_perm,has_weighted_fit_mix,ncs_weighted_fit_mix,elbo_weighted_mix,dif_elbo_weighted_vs_add,dif_elbo_weighted_vs_mix,log_lik_weighted_mix,converged_weighted_fit_mix,n_add_weighted,n_dom_weighted,n_rec_weighted,weighted_prior_target_additive,weighted_prior_target_dominant,weighted_prior_target_recessive,weighted_prior_realized_additive,weighted_prior_realized_dominant,weighted_prior_realized_recessive,n_weighted_mix_cs_snps,overlap_snp_add_weighted,pct_add_cs_snps_retained_weighted,overlap_coding_add_weighted,overlap_cs_pairs_add_weighted,mix_weighted_overlap_snp,mix_weighted_union_snp,mix_weighted_jaccard_snp,pct_mix_cs_snps_retained_weighted,pct_weighted_cs_snps_retained_mix,mix_weighted_overlap_cs_pairs,mix_weighted_overlap_pairwise_sum,mix_weighted_same_cs_count,mix_weighted_same_cs_snp_sets,mix_weighted_same_cs_predictor_sets,mix_weighted_same_lead_snp_set,mix_weighted_same_lead_predictor_set,coding_pattern,number_coding_types
ABCA10,Testis,ABCA10.rds,211,1869,5123,0,484,0,1589.20853080569,1463,8.77697835209148e-11,1.19371686690278,-0.401386833153254,-279.184021513623,-277.106479623651,-298.766872688425,-298.756438717436,1,1,0,0,41,46,41,100,0,0,41,1,41,12,29.2682926829268,29,70.7317073170732,70.7317073170732,0,41,0,41,0,100,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,0,0,1,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,1,-284.360181685552,0.679144388323948,-0.514572478578828,-277.776738609304,TRUE,0,1,0,0.8,0.15,0.05,0.8,0.15,0.05,41,41,100,40,1,41,46,0.891304347826087,89.1304347826087,100,1,41,TRUE,FALSE,FALSE,TRUE,TRUE,D,1
ABO,Skin,ABO.rds,522,2961,8341,0,542,0,859.666666666667,707.5,1.64901337424412e-11,3.2343511843718,0.000801614971805975,-703.303319040122,-697.62959011573,-735.179214865057,-735.179214865057,2,2,0,0,83,79,67,80.7228915662651,16,19.2771084337349,67,2,67,64,77.1084337349398,3,3.6144578313253,4.47761194029851,64,3,0,3,0,4.47761194029851,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,1,0,1,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,2,-713.176075700528,3.01945497464226,-0.214896209729545,-697.511968270462,TRUE,1,1,0,0.8,0.15,0.05,0.8,0.15,0.05,87,68,81.9277108433735,66,2,79,87,0.908045977011494,100,90.8045977011494,2,79,TRUE,FALSE,FALSE,TRUE,TRUE,AD,2
ACCS,Adipose Tissue,ACCS.rds,470,2109,5924,0,403,0,2079.01489361702,1942.5,2.04132251301323e-12,1.79575231884974,0.0005684452787591,-628.8890359622,-625.140491206013,-666.254030580006,-666.254030580006,2,2,0,0,25,12,11,44,14,56,11,2,11,2,8,9,36,81.8181818181818,1,10,0,10,0,90.9090909090909,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,1,0,1,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,2,-643.79100934913,1.40522543664463,-0.390526882205108,-625.591482405903,TRUE,1,1,0,0.8,0.15,0.05,0.8,0.15,0.05,11,11,44,9,2,11,12,0.916666666666667,91.6666666666667,100,2,11,TRUE,FALSE,FALSE,TRUE,TRUE,AD,2
ACCS,Muscle,ACCS.rds,477,2109,5939,0,388,0,358.69392033543,311,7.72321189479181e-12,0.553856330862573,0.000570680255123079,-628.991284247161,-626.560039016769,-676.186523626109,-676.186523626109,2,2,0,0,8,8,7,87.5,1,12.5,7,2,7,7,87.5,0,0,0,6,1,0,1,0,14.2857142857143,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,1,0,1,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,2,-646.290097307869,0.770809574190935,0.216953243328362,-627.131272776185,TRUE,1,1,0,0.8,0.15,0.05,0.8,0.15,0.05,8,8,100,8,2,7,9,0.777777777777778,87.5,87.5,2,7,TRUE,FALSE,FALSE,TRUE,TRUE,AD,2
ACOT1,Adipose Tissue,ACOT1.rds,470,2058,5870,0,304,0,637.472340425532,476,3.03227949481836e-16,1.18108543225355,0.000567998714586793,-620.693946076411,-617.127673801081,-666.254030580006,-666.254030580006,2,2,0,0,7,5,5,71.4285714285714,2,28.5714285714286,5,2,5,4,57.1428571428572,1,14.2857142857143,20,4,1,0,1,0,20,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,1,0,1,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,2,-637.357792326388,1.28844873027776,0.107363298024211,-617.576589389092,TRUE,1,1,0,0.8,0.15,0.05,0.8,0.15,0.05,5,5,71.4285714285714,5,2,5,5,1,100,100,2,5,TRUE,TRUE,FALSE,TRUE,TRUE,AD,2
ACP6,Blood Vessel,ACP6.rds,450,1948,5401,0,443,0,1369.62666666667,1279,4.04433330760896e-12,1.14357499513801,0.000514508924425172,-615.56538239256,-612.710988138538,-637.875486340248,-637.875486340248,1,1,0,0,15,12,12,80,3,20,12,1,12,5,33.3333333333333,7,46.6666666666667,58.3333333333333,3,9,0,9,0,75,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,0,0,1,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,1,-621.978356466936,0.630567413428935,-0.513007581709076,-613.632267553199,TRUE,0,1,0,0.8,0.15,0.05,0.8,0.15,0.05,13,13,86.6666666666667,13,1,12,13,0.923076923076923,100,92.3076923076923,1,12,TRUE,FALSE,FALSE,TRUE,TRUE,D,1
ACSL6,Colon,ACSL6.rds,332,1556,4381,0,287,0,134.819277108434,80,5.65249087899901e-26,0.668591037420242,-0.239850216924253,-416.796004039727,-415.44447537457,-470.453428261525,-470.442356744422,1,1,0,0,68,83,65,95.5882352941177,3,4.41176470588235,65,1,65,61,89.7058823529412,4,5.88235294117647,6.15384615384615,1,64,0,64,0,98.4615384615385,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,0,0,1,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,1,-421.991913772833,0.381737669704478,-0.286853367715764,-416.046674246288,TRUE,0,1,0,0.8,0.15,0.05,0.8,0.15,0.05,82,68,100,68,1,78,87,0.896551724137931,93.9759036144578,95.1219512195122,1,78,TRUE,FALSE,FALSE,TRUE,TRUE,D,1
ADAMTS12,Testis,ADAMTS12.rds,211,1992,5533,0,443,0,626.672985781991,563,1.65135266607399e-09,1.90271215933507,0.00052762053655897,-281.209137796923,-278.058492055344,-298.753293732085,-298.753293732085,1,1,0,0,2,2,2,100,0,0,2,1,2,1,50,1,50,50,0,2,0,2,0,100,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,0,0,1,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,1,-288.856496882898,1.22673221765575,-0.675979941679316,-278.644270834677,TRUE,0,1,0,0.8,0.15,0.05,0.8,0.15,0.05,2,2,100,2,1,2,2,1,100,100,1,2,TRUE,TRUE,FALSE,TRUE,TRUE,D,1
ADCY3,Blood,ADCY3.rds,435,1678,4700,0,334,0,1004.00459770115,349,1.47250540962835e-19,2.83367640549659,0.000450291694278349,-577.07143920516,-573.473012189398,-616.591585743734,-616.591585743734,1,1,0,0,52,47,42,80.7692307692308,10,19.2307692307692,42,1,42,0,0,42,80.7692307692308,100,0,42,0,42,0,100,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,0,0,1,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,1,-581.11076440039,2.0384006960453,-0.795275709451289,-573.726503726184,TRUE,0,1,0,0.8,0.15,0.05,0.8,0.15,0.05,49,44,84.6153846153846,13,1,47,49,0.959183673469388,100,95.9183673469388,1,47,TRUE,FALSE,FALSE,TRUE,TRUE,D,1
ADD2,Nerve,ADD2.rds,354,2871,7948,0,665,0,306.847457627119,222,8.28116768056745e-48,3.1808973251392,0.000756470976170931,-396.037725303365,-391.841903877512,-501.658658586283,-501.658658586283,1,1,0,0,3,3,3,100,0,0,3,1,3,0,0,3,100,100,0,3,0,3,0,100,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,0,0,1,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,1,-403.249856846725,2.36181971746987,-0.819077607669328,-392.088941881182,TRUE,0,1,0,0.8,0.15,0.05,0.8,0.15,0.05,3,3,100,2,1,3,3,1,100,100,1,3,TRUE,TRUE,FALSE,TRUE,TRUE,D,1
