gene,tissue,result_file,n_ind,n_SNP,n_mix_predictor,n_add_rm,n_rec_rm,n_dom_rm,mean_count,median_count,min_pv,dif_elbo,dif_elbo_perm,log_lik_add,log_lik_mix,log_lik_add_perm,log_lik_mix_perm,ncs_susie,ncs_susie_mix,perm_cs_susie,perm_cs_susie_mix,n_add_cs_snps,n_mix_cs_snps,overlap_snp,pct_add_cs_snps_retained,n_add_cs_snps_not_retained,pct_add_cs_snps_not_retained,overlap,overlap_cs_pairs,overlap_pairwise_sum,overlap_coding,pct_add_cs_snps_retained_additive_coding,n_add_cs_snps_other_coding_only,pct_add_cs_snps_other_coding_only,pct_shared_snps_other_coding_only,n_shared_snps_preferred_additive,n_shared_snps_preferred_dominant,n_shared_snps_preferred_recessive,n_shared_snps_preferred_nonadditive,n_shared_snps_preference_ambiguous,pct_shared_snps_preferred_nonadditive,n_add_cs_snps_perm,n_mix_cs_snps_perm,overlap_snp_perm,overlap_perm,pct_add_cs_snps_retained_perm,n_add_cs_snps_not_retained_perm,pct_add_cs_snps_not_retained_perm,overlap_cs_pairs_perm,overlap_pairwise_sum_perm,overlap_coding_perm,pct_add_cs_snps_retained_additive_coding_perm,n_add_cs_snps_other_coding_only_perm,pct_add_cs_snps_other_coding_only_perm,n_shared_snps_preferred_additive_perm,n_shared_snps_preferred_dominant_perm,n_shared_snps_preferred_recessive_perm,n_shared_snps_preferred_nonadditive_perm,n_shared_snps_preference_ambiguous_perm,pct_shared_snps_preferred_nonadditive_perm,n_add,n_rec,n_dom,n_add_perm,n_rec_perm,n_dom_perm,converged_add,converged_mix,converged_add_perm,converged_mix_perm,has_weighted_fit_mix,ncs_weighted_fit_mix,elbo_weighted_mix,dif_elbo_weighted_vs_add,dif_elbo_weighted_vs_mix,log_lik_weighted_mix,converged_weighted_fit_mix,n_add_weighted,n_dom_weighted,n_rec_weighted,weighted_prior_target_additive,weighted_prior_target_dominant,weighted_prior_target_recessive,weighted_prior_realized_additive,weighted_prior_realized_dominant,weighted_prior_realized_recessive,n_weighted_mix_cs_snps,overlap_snp_add_weighted,pct_add_cs_snps_retained_weighted,overlap_coding_add_weighted,overlap_cs_pairs_add_weighted,mix_weighted_overlap_snp,mix_weighted_union_snp,mix_weighted_jaccard_snp,pct_mix_cs_snps_retained_weighted,pct_weighted_cs_snps_retained_mix,mix_weighted_overlap_cs_pairs,mix_weighted_overlap_pairwise_sum,mix_weighted_same_cs_count,mix_weighted_same_cs_snp_sets,mix_weighted_same_cs_predictor_sets,mix_weighted_same_lead_snp_set,mix_weighted_same_lead_predictor_set,coding_pattern,number_coding_types
ACTN3,Muscle,ACTN3.rds,477,959,2704,0,173,0,26467.4570230608,10645,3.40645959569417e-41,15.3308226025055,0.000260018166500231,-586.126870927335,-564.797847139076,-676.186523626109,-676.186523626109,1,2,0,0,3,81,3,100,0,0,3,2,6,3,100,0,0,0,0,0,3,3,0,100,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,0,1,1,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,2,-581.280216768173,13.3808172236971,-1.95000537880833,-565.190244687893,TRUE,1,0,1,0.8,0.15,0.05,0.8,0.15,0.05,50,3,100,3,2,50,81,0.617283950617284,61.7283950617284,100,4,59,TRUE,FALSE,FALSE,FALSE,FALSE,AR,2
ADH1C,Adipose Tissue,ADH1C.rds,470,2508,7046,0,478,0,1072.87021276596,778.5,6.54003201504575e-10,1.15680804202611,0.00067616656338032,-649.645573511692,-644.825300689132,-666.254030580006,-666.254030580006,1,1,0,0,82,16,16,19.5121951219512,66,80.4878048780488,16,1,16,15,18.2926829268293,1,1.21951219512195,6.25,13,0,3,3,0,18.75,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,0,1,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,1,-655.147759160981,0.143810969066408,-1.01299707295971,-647.659266271255,TRUE,0,0,1,0.8,0.15,0.05,0.8,0.15,0.05,76,76,92.6829268292683,76,1,16,76,0.210526315789474,100,21.0526315789474,1,16,TRUE,FALSE,FALSE,TRUE,TRUE,R,1
ANKRD34B,Blood,ANKRD34B.rds,435,2717,7673,0,478,0,298.809195402299,34,2.07867465347768e-10,1.56565817569663,0.000738444384751347,-596.130208503601,-593.321012398757,-614.34674894525,-614.34674894525,1,1,0,0,211,206,188,89.0995260663507,23,10.9004739336493,188,1,188,6,2.8436018957346,182,86.2559241706161,96.8085106382979,0,0,188,188,0,100,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,0,1,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,1,-600.222762473123,0.269844340161626,-1.295813835535,-594.507129434485,TRUE,0,0,1,0.8,0.15,0.05,0.8,0.15,0.05,222,211,100,211,1,198,230,0.860869565217391,96.1165048543689,89.1891891891892,1,198,TRUE,FALSE,FALSE,TRUE,TRUE,R,1
APOL4,Adipose Tissue,APOL4.rds,470,1926,5431,0,347,0,2536.71489361702,1156,7.00051550705843e-23,9.9449608734451,0.000522257072361754,-606.21863833231,-589.068465754686,-666.254030580006,-666.254030580006,2,3,0,0,19,96,19,100,0,0,19,2,19,12,63.1578947368421,7,36.8421052631579,36.8421052631579,12,0,7,7,0,36.8421052631579,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,2,1,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,2,-614.412732460094,6.66044522216089,-3.28451565128421,-596.646979104905,TRUE,1,0,1,0.8,0.15,0.05,0.8,0.15,0.05,21,19,100,12,2,21,96,0.21875,21.875,100,2,21,FALSE,FALSE,FALSE,FALSE,FALSE,AR,2
ATRNL1,Muscle,ATRNL1.rds,477,1422,4062,0,204,0,269.140461215933,158,1.22546130794756e-49,11.5092232163125,0.000393374583609329,-555.395538038634,-540.779493291356,-674.804682004799,-674.804682004799,2,2,0,0,56,23,15,26.7857142857143,41,73.2142857142857,15,2,15,11,19.6428571428571,4,7.14285714285714,26.6666666666667,11,0,4,4,0,26.6666666666667,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,1,1,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,2,-559.271414630338,10.5334988136143,-0.975724402698233,-540.744812973285,TRUE,1,0,1,0.8,0.15,0.05,0.8,0.15,0.05,22,14,25,10,2,22,23,0.956521739130435,95.6521739130435,100,2,22,TRUE,FALSE,FALSE,TRUE,TRUE,AR,2
CBS,Lung,CBS.rds,323,2074,5554,0,668,0,169.362229102167,98,3.67160372793688e-12,2.53794564149013,0.000518530939643824,-428.923377434257,-424.588144631101,-457.672058805041,-457.672058805041,2,2,0,0,500,1067,370,74,130,26,370,4,376,360,72,10,2,2.7027027027027,283,44,38,82,5,22.1621621621622,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,1,1,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,2,-439.549283288251,1.2904511166152,-1.24749452487492,-424.78465837279,TRUE,1,0,1,0.8,0.15,0.05,0.8,0.15,0.05,802,411,82.2,411,4,745,1124,0.662811387900356,69.8219306466729,92.8927680798005,4,751,TRUE,FALSE,FALSE,TRUE,TRUE,AR,2
CBS,Nerve,CBS.rds,354,2074,5602,0,620,0,574.621468926554,454.5,7.96107387412786e-17,2.86729293753234,0.000525682903003144,-452.897872050743,-448.832400521966,-501.658658586283,-501.658658586283,2,2,0,0,64,59,54,84.375,10,15.625,54,2,54,51,79.6875,3,4.6875,5.55555555555556,2,52,0,52,0,96.2962962962963,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,0,1,1,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,2,-466.69182393842,1.45741568844062,-1.40987724909172,-449.658019280337,TRUE,1,0,1,0.8,0.15,0.05,0.8,0.15,0.05,70,63,98.4375,63,2,59,70,0.842857142857143,100,84.2857142857143,3,59,TRUE,FALSE,FALSE,TRUE,FALSE,AR,2
CDC25B,Adipose Tissue,CDC25B.rds,470,2647,7425,0,516,0,4830.32765957447,4521.5,7.19506901471364e-11,3.87631839248945,0.000711924056986391,-635.159225950479,-628.780550180453,-666.254030580006,-666.254030580006,2,2,0,0,24,17,17,70.8333333333333,7,29.1666666666667,17,2,17,5,20.8333333333333,12,50,70.5882352941177,4,1,12,13,0,76.4705882352941,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,1,1,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,2,-646.931408324776,2.8373086636069,-1.03900972888255,-628.894007038176,TRUE,1,0,1,0.8,0.15,0.05,0.8,0.15,0.05,18,18,75,5,2,17,18,0.944444444444444,100,94.4444444444444,2,17,TRUE,FALSE,FALSE,TRUE,TRUE,AR,2
CDRT4,Esophagus,CDRT4.rds,412,2274,6386,0,436,0,928.279126213592,864,2.42368595175437e-09,8.1248331964382,0.000612696215966935,-567.774888502791,-557.234935923934,-583.956285315508,-583.956285315508,1,1,0,0,25,7,7,28,18,72,7,1,7,0,0,7,28,100,0,0,7,7,0,100,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,0,1,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,1,-568.074635540402,6.37558237886162,-1.74925081757658,-557.241403304324,TRUE,0,0,1,0.8,0.15,0.05,0.8,0.15,0.05,7,7,28,0,1,7,7,1,100,100,1,7,TRUE,TRUE,TRUE,TRUE,TRUE,R,1
CFHR1,Nerve,CFHR1.rds,354,1128,3149,0,235,0,113.875706214689,48.5,1.26905264092973e-19,1.83112306647291,0.000301142871421689,-461.694624035711,-458.589963456079,-501.658658586283,-501.658658586283,1,1,0,0,6,4,4,66.6666666666667,2,33.3333333333333,4,1,4,0,0,4,66.6666666666667,100,0,0,4,4,0,100,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,0,1,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,1,-468.872794094598,0.512679856139187,-1.31844321033373,-459.731630378064,TRUE,0,0,1,0.8,0.15,0.05,0.8,0.15,0.05,5,5,83.3333333333333,5,1,4,5,0.8,100,80,1,4,TRUE,FALSE,FALSE,TRUE,TRUE,R,1
