tissue,total_weighted_cs,classified_weighted_cs,additive_cs,dominant_cs,recessive_cs,unclassified_cs,nonadditive_cs,additive_proportion,additive_ci_lower,additive_ci_upper,additive_odds_ratio,fisher_p_value,additive_percentage,additive_ci_lower_percentage,additive_ci_upper_percentage,overall_additive_percentage,additive_difference_percentage_points,fisher_fdr
Vagina,52,52,51,1,0,0,1,0.980769230769231,0.898794888721077,0.996597191929055,2.34669566380192,0.728738447094446,98.0769230769231,89.8794888721078,99.6597191929055,95.6106870229008,2.46623605402231,0.924727001095903
Stomach,202,202,197,5,0,0,5,0.975247524752475,0.943374777649863,0.989381923065365,1.82167848540376,0.22474570610587,97.5247524752475,94.3374777649863,98.9381923065365,95.6106870229008,1.91406545234676,0.866876294979786
Prostate,199,199,194,3,2,0,5,0.974874371859297,0.942541029048359,0.989221151616445,1.79350077289723,0.224470415800003,97.4874371859297,94.2541029048359,98.9221151616445,95.6106870229008,1.87675016302888,0.866876294979786
Esophagus,463,463,451,10,2,0,12,0.974082073434125,0.955249213515259,0.985112855245675,1.75249145200166,0.0631603455292781,97.4082073434125,95.5249213515259,98.5112855245675,95.6106870229008,1.79752032051176,0.740473146272749
Pituitary,530,530,515,14,1,0,15,0.971698113207547,0.953832678187224,0.982774982642541,1.60090698044664,0.0822747940303054,97.1698113207547,95.3832678187224,98.2774982642541,95.6106870229008,1.55912429785395,0.740473146272749
Nerve,1349,1349,1299,46,4,0,50,0.962935507783543,0.951468468074031,0.971773491917929,1.21496197990935,0.207008220798803,96.2935507783543,95.1468468074031,97.177349191793,95.6106870229008,0.682863755453578,0.866876294979786
Blood Vessel,1028,1028,989,36,3,0,39,0.962062256809338,0.948559004182046,0.972125071727995,1.17827752298439,0.382572371738765,96.2062256809339,94.8559004182046,97.2125071727995,95.6106870229008,0.59553865803309,0.884878080534909
Skin,769,769,739,29,1,0,30,0.960988296488947,0.944855109457417,0.972538738799492,1.13907827716611,0.585666559415376,96.0988296488947,94.4855109457417,97.2538738799492,95.6106870229008,0.488142625993904,0.924727001095903
Thyroid,1477,1477,1418,55,4,0,59,0.960054163845633,0.948815405284322,0.96890606442809,1.11656990607445,0.458825671388472,96.0054163845633,94.8815405284322,96.890606442809,95.6106870229008,0.394729361662538,0.884878080534909
Breast,434,434,416,16,2,0,18,0.95852534562212,0.935398087172666,0.973606740903677,1.06308070363499,0.905243171240035,95.852534562212,93.5398087172666,97.3606740903677,95.6106870229008,0.241847539311213,0.929113292574296
Testis,804,804,770,30,4,0,34,0.95771144278607,0.94148770324422,0.969582150826441,1.04228298430072,0.929113292574296,95.771144278607,94.148770324422,96.9582150826441,95.6106870229008,0.160457255706203,0.929113292574296
Adipose Tissue,913,913,872,36,5,0,41,0.955093099671413,0.939645962931462,0.966726662351966,0.974619404919981,0.866879411382201,95.5093099671413,93.9645962931462,96.6726662351966,95.6106870229008,-0.101377055759477,0.929113292574296
Muscle,938,938,895,39,4,0,43,0.954157782515992,0.938820800091579,0.96579004711705,0.952098740571995,0.740756253364836,95.4157782515992,93.8820800091579,96.5790047117051,95.6106870229008,-0.194908771301616,0.924727001095903
Colon,566,566,540,23,3,0,26,0.954063604240283,0.933543702707581,0.96846156918636,0.951368370152034,0.753481260152217,95.4063604240283,93.3543702707581,96.846156918636,95.6106870229008,-0.204326598872495,0.924727001095903
Spleen,457,457,436,15,6,0,21,0.954048140043764,0.930775707897828,0.969750909351403,0.951437507952198,0.81575522116624,95.4048140043764,93.0775707897828,96.9750909351403,95.6106870229008,-0.205873018524394,0.929113292574296
