tissue,model,distance_to_tss_kb,bin_lower_kb,bin_upper_kb,count,proportion,percentage,n_cs_total,n_cs_in_window
Adipose Tissue,SuSiE,-200,-205,-195,0,0,0,915,882
Adipose Tissue,SuSiE,-190,-195,-185,0,0,0,915,882
Adipose Tissue,SuSiE,-180,-185,-175,5,0.00566893424036281,0.566893424036281,915,882
Adipose Tissue,SuSiE,-170,-175,-165,2,0.00226757369614512,0.226757369614512,915,882
Adipose Tissue,SuSiE,-160,-165,-155,3,0.00340136054421769,0.340136054421769,915,882
Adipose Tissue,SuSiE,-150,-155,-145,3,0.00340136054421769,0.340136054421769,915,882
Adipose Tissue,SuSiE,-140,-145,-135,5,0.00566893424036281,0.566893424036281,915,882
Adipose Tissue,SuSiE,-130,-135,-125,3,0.00340136054421769,0.340136054421769,915,882
Adipose Tissue,SuSiE,-120,-125,-115,6,0.00680272108843537,0.680272108843537,915,882
Adipose Tissue,SuSiE,-110,-115,-105,4,0.00453514739229025,0.453514739229025,915,882
Adipose Tissue,SuSiE,-100,-105,-95,10,0.0113378684807256,1.13378684807256,915,882
Adipose Tissue,SuSiE,-90,-95,-85,9,0.0102040816326531,1.02040816326531,915,882
Adipose Tissue,SuSiE,-80,-85,-75,11,0.0124716553287982,1.24716553287982,915,882
Adipose Tissue,SuSiE,-70,-75,-65,15,0.0170068027210884,1.70068027210884,915,882
Adipose Tissue,SuSiE,-60,-65,-55,12,0.0136054421768707,1.36054421768707,915,882
Adipose Tissue,SuSiE,-50,-55,-45,17,0.0192743764172336,1.92743764172336,915,882
Adipose Tissue,SuSiE,-40,-45,-35,30,0.0340136054421769,3.40136054421769,915,882
Adipose Tissue,SuSiE,-30,-35,-25,42,0.0476190476190476,4.76190476190476,915,882
Adipose Tissue,SuSiE,-20,-25,-15,66,0.0748299319727891,7.48299319727891,915,882
Adipose Tissue,SuSiE,-10,-15,-5,79,0.0895691609977324,8.95691609977324,915,882
Adipose Tissue,SuSiE,0,-5,5,248,0.281179138321996,28.1179138321996,915,882
Adipose Tissue,SuSiE,10,5,15,81,0.0918367346938776,9.18367346938776,915,882
Adipose Tissue,SuSiE,20,15,25,53,0.0600907029478458,6.00907029478458,915,882
Adipose Tissue,SuSiE,30,25,35,49,0.0555555555555556,5.55555555555556,915,882
Adipose Tissue,SuSiE,40,35,45,30,0.0340136054421769,3.40136054421769,915,882
Adipose Tissue,SuSiE,50,45,55,18,0.0204081632653061,2.04081632653061,915,882
Adipose Tissue,SuSiE,60,55,65,17,0.0192743764172336,1.92743764172336,915,882
Adipose Tissue,SuSiE,70,65,75,13,0.0147392290249433,1.47392290249433,915,882
Adipose Tissue,SuSiE,80,75,85,12,0.0136054421768707,1.36054421768707,915,882
Adipose Tissue,SuSiE,90,85,95,4,0.00453514739229025,0.453514739229025,915,882
Adipose Tissue,SuSiE,100,95,105,3,0.00340136054421769,0.340136054421769,915,882
Adipose Tissue,SuSiE,110,105,115,8,0.0090702947845805,0.90702947845805,915,882
Adipose Tissue,SuSiE,120,115,125,2,0.00226757369614512,0.226757369614512,915,882
Adipose Tissue,SuSiE,130,125,135,3,0.00340136054421769,0.340136054421769,915,882
Adipose Tissue,SuSiE,140,135,145,4,0.00453514739229025,0.453514739229025,915,882
Adipose Tissue,SuSiE,150,145,155,7,0.00793650793650794,0.793650793650794,915,882
Adipose Tissue,SuSiE,160,155,165,1,0.00113378684807256,0.113378684807256,915,882
Adipose Tissue,SuSiE,170,165,175,2,0.00226757369614512,0.226757369614512,915,882
Adipose Tissue,SuSiE,180,175,185,2,0.00226757369614512,0.226757369614512,915,882
Adipose Tissue,SuSiE,190,185,195,1,0.00113378684807256,0.113378684807256,915,882
Adipose Tissue,SuSiE,200,195,205,2,0.00226757369614512,0.226757369614512,915,882
Adipose Tissue,Weighted SuSiE-mix,-200,-205,-195,0,0,0,913,881
Adipose Tissue,Weighted SuSiE-mix,-190,-195,-185,0,0,0,913,881
Adipose Tissue,Weighted SuSiE-mix,-180,-185,-175,5,0.00567536889897843,0.567536889897843,913,881
Adipose Tissue,Weighted SuSiE-mix,-170,-175,-165,2,0.00227014755959137,0.227014755959137,913,881
Adipose Tissue,Weighted SuSiE-mix,-160,-165,-155,3,0.00340522133938706,0.340522133938706,913,881
Adipose Tissue,Weighted SuSiE-mix,-150,-155,-145,2,0.00227014755959137,0.227014755959137,913,881
Adipose Tissue,Weighted SuSiE-mix,-140,-145,-135,5,0.00567536889897843,0.567536889897843,913,881
Adipose Tissue,Weighted SuSiE-mix,-130,-135,-125,2,0.00227014755959137,0.227014755959137,913,881
Adipose Tissue,Weighted SuSiE-mix,-120,-125,-115,6,0.00681044267877412,0.681044267877412,913,881
Adipose Tissue,Weighted SuSiE-mix,-110,-115,-105,4,0.00454029511918275,0.454029511918275,913,881
Adipose Tissue,Weighted SuSiE-mix,-100,-105,-95,10,0.0113507377979569,1.13507377979569,913,881
Adipose Tissue,Weighted SuSiE-mix,-90,-95,-85,7,0.00794551645856981,0.794551645856981,913,881
Adipose Tissue,Weighted SuSiE-mix,-80,-85,-75,13,0.0147559591373439,1.47559591373439,913,881
Adipose Tissue,Weighted SuSiE-mix,-70,-75,-65,16,0.018161180476731,1.8161180476731,913,881
Adipose Tissue,Weighted SuSiE-mix,-60,-65,-55,12,0.0136208853575482,1.36208853575482,913,881
Adipose Tissue,Weighted SuSiE-mix,-50,-55,-45,17,0.0192962542565267,1.92962542565267,913,881
Adipose Tissue,Weighted SuSiE-mix,-40,-45,-35,30,0.0340522133938706,3.40522133938706,913,881
Adipose Tissue,Weighted SuSiE-mix,-30,-35,-25,42,0.0476730987514188,4.76730987514188,913,881
Adipose Tissue,Weighted SuSiE-mix,-20,-25,-15,67,0.076049943246311,7.6049943246311,913,881
Adipose Tissue,Weighted SuSiE-mix,-10,-15,-5,78,0.0885357548240636,8.85357548240636,913,881
Adipose Tissue,Weighted SuSiE-mix,0,-5,5,250,0.283768444948922,28.3768444948922,913,881
Adipose Tissue,Weighted SuSiE-mix,10,5,15,82,0.0930760499432463,9.30760499432463,913,881
Adipose Tissue,Weighted SuSiE-mix,20,15,25,52,0.0590238365493757,5.90238365493757,913,881
Adipose Tissue,Weighted SuSiE-mix,30,25,35,48,0.054483541430193,5.4483541430193,913,881
Adipose Tissue,Weighted SuSiE-mix,40,35,45,30,0.0340522133938706,3.40522133938706,913,881
Adipose Tissue,Weighted SuSiE-mix,50,45,55,17,0.0192962542565267,1.92962542565267,913,881
Adipose Tissue,Weighted SuSiE-mix,60,55,65,17,0.0192962542565267,1.92962542565267,913,881
Adipose Tissue,Weighted SuSiE-mix,70,65,75,12,0.0136208853575482,1.36208853575482,913,881
Adipose Tissue,Weighted SuSiE-mix,80,75,85,16,0.018161180476731,1.8161180476731,913,881
Adipose Tissue,Weighted SuSiE-mix,90,85,95,4,0.00454029511918275,0.454029511918275,913,881
Adipose Tissue,Weighted SuSiE-mix,100,95,105,1,0.00113507377979569,0.113507377979569,913,881
Adipose Tissue,Weighted SuSiE-mix,110,105,115,8,0.00908059023836549,0.908059023836549,913,881
Adipose Tissue,Weighted SuSiE-mix,120,115,125,2,0.00227014755959137,0.227014755959137,913,881
Adipose Tissue,Weighted SuSiE-mix,130,125,135,3,0.00340522133938706,0.340522133938706,913,881
Adipose Tissue,Weighted SuSiE-mix,140,135,145,4,0.00454029511918275,0.454029511918275,913,881
Adipose Tissue,Weighted SuSiE-mix,150,145,155,5,0.00567536889897843,0.567536889897843,913,881
Adipose Tissue,Weighted SuSiE-mix,160,155,165,1,0.00113507377979569,0.113507377979569,913,881
Adipose Tissue,Weighted SuSiE-mix,170,165,175,2,0.00227014755959137,0.227014755959137,913,881
Adipose Tissue,Weighted SuSiE-mix,180,175,185,2,0.00227014755959137,0.227014755959137,913,881
Adipose Tissue,Weighted SuSiE-mix,190,185,195,1,0.00113507377979569,0.113507377979569,913,881
Adipose Tissue,Weighted SuSiE-mix,200,195,205,3,0.00340522133938706,0.340522133938706,913,881
Adrenal Gland,SuSiE,-200,-205,-195,2,0.00793650793650794,0.793650793650794,265,252
Adrenal Gland,SuSiE,-190,-195,-185,1,0.00396825396825397,0.396825396825397,265,252
Adrenal Gland,SuSiE,-180,-185,-175,0,0,0,265,252
Adrenal Gland,SuSiE,-170,-175,-165,1,0.00396825396825397,0.396825396825397,265,252
Adrenal Gland,SuSiE,-160,-165,-155,0,0,0,265,252
Adrenal Gland,SuSiE,-150,-155,-145,3,0.0119047619047619,1.19047619047619,265,252
Adrenal Gland,SuSiE,-140,-145,-135,1,0.00396825396825397,0.396825396825397,265,252
Adrenal Gland,SuSiE,-130,-135,-125,2,0.00793650793650794,0.793650793650794,265,252
Adrenal Gland,SuSiE,-120,-125,-115,2,0.00793650793650794,0.793650793650794,265,252
Adrenal Gland,SuSiE,-110,-115,-105,1,0.00396825396825397,0.396825396825397,265,252
Adrenal Gland,SuSiE,-100,-105,-95,2,0.00793650793650794,0.793650793650794,265,252
Adrenal Gland,SuSiE,-90,-95,-85,1,0.00396825396825397,0.396825396825397,265,252
Adrenal Gland,SuSiE,-80,-85,-75,1,0.00396825396825397,0.396825396825397,265,252
Adrenal Gland,SuSiE,-70,-75,-65,7,0.0277777777777778,2.77777777777778,265,252
Adrenal Gland,SuSiE,-60,-65,-55,6,0.0238095238095238,2.38095238095238,265,252
Adrenal Gland,SuSiE,-50,-55,-45,10,0.0396825396825397,3.96825396825397,265,252
Adrenal Gland,SuSiE,-40,-45,-35,10,0.0396825396825397,3.96825396825397,265,252
