tissue,model,distance_to_tss_kb,bin_lower_kb,bin_upper_kb,count,proportion,percentage,n_cs_total,n_cs_in_window
All tissues,SuSiE,-200,-205,-195,29,0.00232204339819041,0.232204339819041,13156,12489
All tissues,SuSiE,-190,-195,-185,25,0.00200176155016414,0.200176155016414,13156,12489
All tissues,SuSiE,-180,-185,-175,44,0.00352310032828889,0.352310032828889,13156,12489
All tissues,SuSiE,-170,-175,-165,34,0.00272239570822324,0.272239570822324,13156,12489
All tissues,SuSiE,-160,-165,-155,53,0.00424373448634799,0.424373448634799,13156,12489
All tissues,SuSiE,-150,-155,-145,62,0.00496436864440708,0.496436864440708,13156,12489
All tissues,SuSiE,-140,-145,-135,48,0.00384338217631516,0.384338217631516,13156,12489
All tissues,SuSiE,-130,-135,-125,60,0.00480422772039395,0.480422772039395,13156,12489
All tissues,SuSiE,-120,-125,-115,74,0.00592521418848587,0.592521418848587,13156,12489
All tissues,SuSiE,-110,-115,-105,87,0.00696613019457122,0.696613019457122,13156,12489
All tissues,SuSiE,-100,-105,-95,108,0.0086476098967091,0.86476098967091,13156,12489
All tissues,SuSiE,-90,-95,-85,119,0.00952838497878133,0.952838497878133,13156,12489
All tissues,SuSiE,-80,-85,-75,143,0.0114500760669389,1.14500760669389,13156,12489
All tissues,SuSiE,-70,-75,-65,229,0.0183361357995036,1.83361357995036,13156,12489
All tissues,SuSiE,-60,-65,-55,233,0.0186564176475298,1.86564176475298,13156,12489
All tissues,SuSiE,-50,-55,-45,254,0.0203378973496677,2.03378973496677,13156,12489
All tissues,SuSiE,-40,-45,-35,393,0.0314676915685804,3.14676915685804,13156,12489
All tissues,SuSiE,-30,-35,-25,583,0.0466810793498279,4.66810793498279,13156,12489
All tissues,SuSiE,-20,-25,-15,915,0.0732644727360077,7.32644727360077,13156,12489
All tissues,SuSiE,-10,-15,-5,1320,0.105693009848667,10.5693009848667,13156,12489
All tissues,SuSiE,0,-5,5,3119,0.249739770998479,24.9739770998479,13156,12489
All tissues,SuSiE,10,5,15,1262,0.101048923052286,10.1048923052286,13156,12489
All tissues,SuSiE,20,15,25,832,0.0666186243894627,6.66186243894627,13156,12489
All tissues,SuSiE,30,25,35,586,0.0469212907358476,4.69212907358476,13156,12489
All tissues,SuSiE,40,35,45,411,0.0329089598846985,3.29089598846985,13156,12489
All tissues,SuSiE,50,45,55,268,0.0214588838177596,2.14588838177596,13156,12489
All tissues,SuSiE,60,55,65,189,0.0151333173192409,1.51333173192409,13156,12489
All tissues,SuSiE,70,65,75,160,0.0128112739210505,1.28112739210505,13156,12489
All tissues,SuSiE,80,75,85,142,0.0113700056049323,1.13700056049323,13156,12489
All tissues,SuSiE,90,85,95,109,0.00872768035871567,0.872768035871567,13156,12489
All tissues,SuSiE,100,95,105,96,0.00768676435263031,0.768676435263031,13156,12489
All tissues,SuSiE,110,105,115,96,0.00768676435263031,0.768676435263031,13156,12489
All tissues,SuSiE,120,115,125,48,0.00384338217631516,0.384338217631516,13156,12489
All tissues,SuSiE,130,125,135,77,0.00616542557450557,0.616542557450557,13156,12489
All tissues,SuSiE,140,135,145,55,0.00440387541036112,0.440387541036112,13156,12489
All tissues,SuSiE,150,145,155,70,0.0056049323404596,0.56049323404596,13156,12489
All tissues,SuSiE,160,155,165,31,0.00248218432220354,0.248218432220354,13156,12489
All tissues,SuSiE,170,165,175,23,0.00184162062615101,0.184162062615101,13156,12489
All tissues,SuSiE,180,175,185,38,0.0030426775562495,0.30426775562495,13156,12489
All tissues,SuSiE,190,185,195,23,0.00184162062615101,0.184162062615101,13156,12489
All tissues,SuSiE,200,195,205,41,0.0032828889422692,0.32828889422692,13156,12489
All tissues,Weighted SuSiE-mix,-200,-205,-195,29,0.00232875612302257,0.232875612302257,13100,12453
All tissues,Weighted SuSiE-mix,-190,-195,-185,25,0.002007548381916,0.2007548381916,13100,12453
All tissues,Weighted SuSiE-mix,-180,-185,-175,42,0.00337268128161889,0.337268128161889,13100,12453
All tissues,Weighted SuSiE-mix,-170,-175,-165,32,0.00256966192885249,0.256966192885249,13100,12453
All tissues,Weighted SuSiE-mix,-160,-165,-155,50,0.00401509676383201,0.401509676383201,13100,12453
