Found 18468 result files.
Processed 100 of 18468 files; 2646 tissue results; 988 credible sets; 2 original-summary errors; 0 CS-summary errors.
Processed 200 of 18468 files; 5265 tissue results; 2254 credible sets; 5 original-summary errors; 0 CS-summary errors.
Processed 300 of 18468 files; 7938 tissue results; 3364 credible sets; 6 original-summary errors; 0 CS-summary errors.
Processed 400 of 18468 files; 10557 tissue results; 4333 credible sets; 9 original-summary errors; 0 CS-summary errors.
Processed 500 of 18468 files; 13122 tissue results; 5279 credible sets; 14 original-summary errors; 0 CS-summary errors.
Processed 600 of 18468 files; 15768 tissue results; 6389 credible sets; 16 original-summary errors; 0 CS-summary errors.
Processed 700 of 18468 files; 18306 tissue results; 7487 credible sets; 22 original-summary errors; 0 CS-summary errors.
Processed 800 of 18468 files; 20952 tissue results; 8640 credible sets; 24 original-summary errors; 0 CS-summary errors.
Processed 900 of 18468 files; 23490 tissue results; 9730 credible sets; 30 original-summary errors; 0 CS-summary errors.
Processed 1000 of 18468 files; 26028 tissue results; 10502 credible sets; 36 original-summary errors; 0 CS-summary errors.
Processed 1100 of 18468 files; 28350 tissue results; 11903 credible sets; 50 original-summary errors; 0 CS-summary errors.
Processed 1200 of 18468 files; 30941 tissue results; 12972 credible sets; 54 original-summary errors; 0 CS-summary errors.
Processed 1300 of 18468 files; 33425 tissue results; 13914 credible sets; 62 original-summary errors; 0 CS-summary errors.
Processed 1400 of 18468 files; 36044 tissue results; 14767 credible sets; 65 original-summary errors; 0 CS-summary errors.
Processed 1500 of 18468 files; 38447 tissue results; 15610 credible sets; 76 original-summary errors; 0 CS-summary errors.
Processed 1600 of 18468 files; 40985 tissue results; 16283 credible sets; 82 original-summary errors; 0 CS-summary errors.
Processed 1700 of 18468 files; 43604 tissue results; 17224 credible sets; 85 original-summary errors; 0 CS-summary errors.
Processed 1800 of 18468 files; 46277 tissue results; 18372 credible sets; 86 original-summary errors; 0 CS-summary errors.
Processed 1900 of 18468 files; 48977 tissue results; 19327 credible sets; 86 original-summary errors; 0 CS-summary errors.
Processed 2000 of 18468 files; 51650 tissue results; 20273 credible sets; 87 original-summary errors; 0 CS-summary errors.
