"gene","status","n_tissue_errors","n_nonconverged"
"ASB4","finished",0,0
"ASB5","finished",0,0
"ASB6","finished",0,0
"ASB7","finished",0,0
"ASB8","finished",0,0
"ASB9","gene_error",0,0
"ASCC1","finished",0,0
"ASCC2","finished",0,0
"ASCC3","finished",0,0
"ASCL1","finished",0,0
"ASCL2","finished",0,0
"ASCL3","finished",0,0
"ASCL4","finished",0,0
"ASCL5","finished",0,0
"ASF1A","finished",0,0
"ASF1B","finished",0,0
"ASGR1","finished",0,0
"ASGR2","finished",0,0
"ASH1L","finished",0,0
"ASH2L","finished",0,0
"ASIC1","finished",0,0
"ASIC2","finished",0,0
"ASIC3","finished",0,0
"ASIC4","finished",0,0
"ASIC5","finished",0,0
"ASIP","finished",0,0
"ASL","finished",0,0
"ASMT","gene_error",0,0
"ASMTL","gene_error",0,0
"ASNS","finished",0,0
"ASNSD1","finished",0,0
"ASPA","finished",0,0
"ASPDH","finished",0,0
"ASPG","finished",0,0
"ASPH","finished",0,0
"ASPHD1","finished",0,0
"ASPHD2","finished",0,0
"ASPM","finished",0,0
"ASPN","finished",0,0
"ASPRV1","finished",0,0
"ASPSCR1","finished",0,0
"ASRGL1","finished",0,0
"ASS1","finished",0,0
"ASTE1","finished",0,0
"ASTL","finished",0,0
"ASTN1","finished",0,0
"ASTN2","finished",0,0
"ASXL1","finished",0,0
"ASXL2","finished",0,0
"ASXL3","finished",0,0
"ASZ1","finished",0,0
"ATAD1","finished",0,0
"ATAD2","finished",0,0
"ATAD2B","finished",0,0
"ATAD3A","finished",0,0
"ATAD3B","finished",0,0
"ATAD3C","finished",0,0
"ATAD5","finished",0,0
"ATAT1","finished",0,0
"ATCAY","finished",0,0
"ATE1","finished",0,0
"ATF1","finished",0,0
"ATF2","finished",0,0
"ATF3","finished",0,0
"ATF4","finished",0,0
"ATF5","finished",0,0
"ATF6","finished",0,0
"ATF6B","finished",0,0
"ATF7","finished",0,0
"ATF7IP","finished",0,0
"ATF7IP2","finished",0,0
"ATG10","finished",0,0
"ATG101","finished",0,0
"ATG12","finished",0,0
"ATG13","finished",0,0
"ATG14","finished",0,0
"ATG16L1","finished",0,0
"ATG16L2","finished",0,0
"ATG2A","finished",0,0
"ATG2B","finished",0,0
"ATG3","finished",0,0
"ATG4A","gene_error",0,0
"ATG4B","finished",0,0
"ATG4C","finished",0,0
"ATG4D","finished",0,0
"ATG5","finished",0,0
"ATG7","finished",0,0
"ATG9A","finished",0,0
"ATG9B","finished",0,0
"ATIC","finished",0,0
"ATL1","finished",0,0
"ATL2","finished",0,0
"ATL3","finished",0,0
"ATM","finished",0,0
"ATMIN","finished",0,0
"ATN1","finished",0,0
"ATOH1","finished",0,0
"ATOH7","finished",0,0
"ATOH8","finished",0,0
"ATOX1","finished",0,0
