"gene","status","n_tissue_errors","n_nonconverged"
"PDGFA","finished",0,0
"PDGFB","finished",0,0
"PDGFC","finished",0,0
"PDGFD","finished",0,0
"PDGFRA","finished",0,0
"PDGFRB","finished",0,0
"PDGFRL","finished",0,0
"PDHA1","gene_error",0,0
"PDHA2","finished",0,0
"PDHB","finished",0,0
"PDHX","finished",0,0
"PDIA2","finished",0,0
"PDIA3","finished",0,0
"PDIA4","finished",0,0
"PDIA5","finished",0,0
"PDIA6","finished",0,0
"PDIK1L","finished",0,0
"PDILT","finished",0,0
"PDK1","finished",0,0
"PDK2","finished",0,0
"PDK3","gene_error",0,0
"PDK4","finished",0,0
"PDLIM1","finished",0,0
"PDLIM2","finished",0,0
"PDLIM3","finished",0,0
"PDLIM4","finished",0,0
"PDLIM5","finished",0,0
"PDLIM7","finished",0,0
"PDP1","finished",0,0
"PDP2","finished",0,0
"PDPK1","finished",0,0
"PDPN","finished",0,0
"PDPR","finished",0,0
"PDRG1","finished",0,0
"PDS5A","finished",0,0
"PDS5B","finished",0,0
"PDSS1","finished",0,0
"PDSS2","finished",0,0
"PDX1","finished",0,0
"PDXDC1","finished",0,0
"PDXK","finished",0,0
"PDXP","finished",0,0
"PDYN","finished",0,0
"PDZD11","gene_error",0,0
"PDZD2","finished",0,0
"PDZD3","finished",0,0
"PDZD4","gene_error",0,0
"PDZD7","finished",0,0
"PDZD8","finished",0,0
"PDZD9","finished",0,0
"PDZK1","finished",0,0
"PDZK1IP1","finished",0,0
"PDZRN3","finished",0,0
"PDZRN4","finished",0,0
"PEA15","finished",0,0
"PEAK1","finished",0,0
"PEAR1","finished",0,0
"PEBP1","finished",0,0
"PEBP4","finished",0,0
"PECAM1","finished",0,0
"PECR","finished",0,0
"PEF1","finished",0,0
"PEG10","finished",0,0
"PEG3","finished",0,0
"PELI1","finished",0,0
"PELI2","finished",0,0
"PELI3","finished",0,0
"PELO","finished",0,0
"PELP1","finished",0,0
"PEMT","finished",0,0
"PENK","finished",0,0
"PEPD","finished",0,0
"PER1","finished",0,0
"PER2","finished",0,0
"PER3","finished",0,0
"PERM1","finished",0,0
"PERP","finished",0,0
"PES1","finished",0,0
"PET100","finished",0,0
"PET117","finished",0,0
"PEX1","finished",0,0
"PEX10","finished",0,0
"PEX11A","finished",0,0
"PEX11B","finished",0,0
"PEX11G","finished",0,0
"PEX12","finished",0,0
"PEX13","finished",0,0
"PEX14","finished",0,0
"PEX16","finished",0,0
"PEX19","finished",0,0
"PEX2","finished",0,0
"PEX26","finished",0,0
"PEX3","finished",0,0
"PEX5","finished",0,0
"PEX5L","finished",0,0
"PEX6","finished",0,0
"PEX7","finished",0,0
"PF4","finished",0,0
"PF4V1","finished",0,0
"PFAS","finished",0,0
