"gene","tissue","issue","message"
"ABCB7","","gene_error","PLINK failed for ABCB7 on chromosome X with exit status 7"
"ABCD1","","gene_error","PLINK failed for ABCD1 on chromosome X with exit status 7"
"ACE2","","gene_error","PLINK failed for ACE2 on chromosome X with exit status 7"
"ACOT9","","gene_error","PLINK failed for ACOT9 on chromosome X with exit status 7"
"ACSL4","","gene_error","PLINK failed for ACSL4 on chromosome X with exit status 7"
"ACTRT1","","gene_error","PLINK failed for ACTRT1 on chromosome X with exit status 7"
"ADGRG2","","gene_error","PLINK failed for ADGRG2 on chromosome X with exit status 7"
"ADGRG4","","gene_error","PLINK failed for ADGRG4 on chromosome X with exit status 7"
"AFF2","","gene_error","PLINK failed for AFF2 on chromosome X with exit status 7"
"AGTR2","","gene_error","PLINK failed for AGTR2 on chromosome X with exit status 7"
"AIFM1","","gene_error","PLINK failed for AIFM1 on chromosome X with exit status 7"
"AKAP14","","gene_error","PLINK failed for AKAP14 on chromosome X with exit status 7"
"AKAP17A","","gene_error","PLINK failed for AKAP17A on chromosome X with exit status 7"
"AKAP4","","gene_error","PLINK failed for AKAP4 on chromosome X with exit status 7"
"ALAS2","","gene_error","PLINK failed for ALAS2 on chromosome X with exit status 7"
"ALG13","","gene_error","PLINK failed for ALG13 on chromosome X with exit status 7"
"AMELX","","gene_error","PLINK failed for AMELX on chromosome X with exit status 7"
"AMELY","","gene_error","PLINK failed for AMELY on chromosome Y with exit status 7"
"AMER1","","gene_error","PLINK failed for AMER1 on chromosome X with exit status 7"
"AMIGO3","","no_successful_tissues","No tissue fits in result"
"AMMECR1","","gene_error","PLINK failed for AMMECR1 on chromosome X with exit status 7"
"AMOT","","gene_error","PLINK failed for AMOT on chromosome X with exit status 7"
"ANOS1","","gene_error","PLINK failed for ANOS1 on chromosome X with exit status 7"
"AP1S2","","gene_error","PLINK failed for AP1S2 on chromosome X with exit status 7"
"APEX2","","gene_error","PLINK failed for APEX2 on chromosome X with exit status 7"
"APLN","","gene_error","PLINK failed for APLN on chromosome X with exit status 7"
