"gene","status","n_tissue_errors"
"KLK6","finished",0
"KLK7","finished",0
"KLK8","finished",0
"KLK9","finished",0
"KLKB1","finished",0
"KLLN","finished",0
"KLRB1","finished",0
"KLRC1","finished",0
"KLRC2","finished",0
"KLRC3","finished",0
"KLRC4","finished",0
"KLRD1","finished",0
"KLRF1","finished",0
"KLRF2","finished",0
"KLRG1","finished",0
"KLRG2","finished",0
"KLRK1","finished",0
"KMO","finished",0
"KMT2A","finished",0
"KMT2B","finished",0
"KMT2C","finished",0
"KMT2D","finished",0
"KMT2E","finished",0
"KMT5A","finished",0
"KMT5B","finished",0
"KMT5C","finished",0
"KNCN","finished",0
"KNDC1","finished",0
"KNG1","finished",0
"KNL1","finished",0
"KNOP1","finished",0
"KNSTRN","finished",0
"KNTC1","finished",0
"KPNA1","finished",0
"KPNA2","finished",0
"KPNA3","finished",0
"KPNA4","finished",0
"KPNA5","finished",0
"KPNA6","finished",0
"KPNA7","finished",0
"KPNB1","finished",0
"KPRP","finished",0
"KPTN","finished",0
"KRAS","finished",0
"KRBA1","finished",0
"KRBA2","finished",0
"KRBOX1","finished",0
"KRBOX4","gene_error",0
"KRCC1","finished",0
"KREMEN1","finished",0
"KREMEN2","finished",0
"KRI1","finished",0
"KRIT1","finished",0
"KRR1","finished",0
"KRT1","finished",0
"KRT10","finished",0
"KRT12","finished",0
"KRT13","finished",0
"KRT14","finished",0
"KRT15","finished",0
"KRT16","finished",0
"KRT17","finished",0
"KRT18","finished",0
"KRT19","finished",0
"KRT2","finished",0
"KRT20","finished",0
"KRT222","finished",0
"KRT23","finished",0
"KRT24","finished",0
"KRT25","finished",0
"KRT26","finished",0
"KRT27","finished",0
"KRT28","finished",0
"KRT3","finished",0
"KRT31","finished",0
"KRT32","finished",0
"KRT33A","finished",0
"KRT33B","finished",0
"KRT34","finished",0
"KRT35","finished",0
"KRT36","finished",0
"KRT37","finished",0
"KRT38","finished",0
"KRT39","finished",0
"KRT4","finished",0
"KRT40","finished",0
"KRT5","finished",0
"KRT6A","finished",0
"KRT6B","finished",0
"KRT6C","finished",0
"KRT7","finished",0
"KRT71","finished",0
"KRT72","finished",0
"KRT73","finished",0
"KRT74","finished",0
"KRT75","finished",0
"KRT76","finished",0
"KRT77","finished",0
"KRT78","finished",0
"KRT79","finished",0
