"chunk","gene"
1,"A1BG"
1,"A1CF"
1,"A2M"
1,"A2ML1"
1,"A3GALT2"
1,"A4GALT"
1,"A4GNT"
1,"AAAS"
1,"AACS"
1,"AADAC"
1,"AADACL2"
1,"AADACL3"
1,"AADACL4"
1,"AADAT"
1,"AAGAB"
1,"AAK1"
1,"AAMDC"
1,"AAMP"
1,"AANAT"
1,"AAR2"
1,"AARD"
1,"AARS2"
1,"AARSD1"
1,"AASDH"
1,"AASDHPPT"
1,"AASS"
1,"AATF"
1,"AATK"
1,"ABAT"
1,"ABCA1"
1,"ABCA10"
1,"ABCA12"
1,"ABCA13"
1,"ABCA2"
1,"ABCA3"
1,"ABCA4"
1,"ABCA5"
1,"ABCA6"
1,"ABCA7"
1,"ABCA8"
1,"ABCA9"
1,"ABCB1"
1,"ABCB10"
1,"ABCB11"
1,"ABCB4"
1,"ABCB5"
1,"ABCB6"
1,"ABCB7"
1,"ABCB8"
1,"ABCB9"
1,"ABCC1"
1,"ABCC10"
1,"ABCC11"
1,"ABCC12"
1,"ABCC2"
1,"ABCC3"
1,"ABCC4"
1,"ABCC5"
1,"ABCC6"
1,"ABCC8"
1,"ABCC9"
1,"ABCD1"
1,"ABCD2"
1,"ABCD3"
1,"ABCD4"
1,"ABCE1"
1,"ABCF1"
1,"ABCF2"
1,"ABCF3"
1,"ABCG1"
1,"ABCG2"
1,"ABCG4"
1,"ABCG5"
1,"ABCG8"
1,"ABHD1"
1,"ABHD10"
1,"ABHD11"
1,"ABHD12"
1,"ABHD12B"
1,"ABHD13"
1,"ABHD14A"
1,"ABHD14B"
1,"ABHD15"
1,"ABHD16A"
1,"ABHD17A"
1,"ABHD17B"
1,"ABHD17C"
1,"ABHD18"
1,"ABHD2"
1,"ABHD3"
1,"ABHD4"
1,"ABHD5"
1,"ABHD6"
1,"ABHD8"
1,"ABI1"
1,"ABI2"
1,"ABI3"
1,"ABI3BP"
1,"ABL1"
1,"ABL2"
2,"ABLIM1"
2,"ABLIM2"
2,"ABLIM3"
2,"ABO"
2,"ABR"
2,"ABRA"
2,"ABRACL"
2,"ABT1"
2,"ABTB1"
2,"ABTB2"
2,"AC002456.2"
2,"AC034228.3"
2,"AC053503.6"
2,"AC068831.6"
2,"AC079741.2"
2,"AC138647.1"
2,"ACAA1"
2,"ACAA2"
2,"ACACA"
2,"ACACB"
2,"ACAD10"
2,"ACAD11"
2,"ACAD8"
2,"ACAD9"
2,"ACADL"
2,"ACADM"
2,"ACADS"
2,"ACADSB"
2,"ACADVL"
2,"ACAN"
2,"ACAP1"
2,"ACAP2"
2,"ACAP3"
2,"ACAT1"
2,"ACAT2"
2,"ACBD3"
2,"ACBD4"
2,"ACBD5"
2,"ACBD6"
2,"ACBD7"
2,"ACCS"
2,"ACCSL"
2,"ACD"
2,"ACE"
2,"ACE2"
2,"ACER1"
2,"ACER2"
2,"ACER3"
2,"ACHE"
2,"ACIN1"
2,"ACKR1"
2,"ACKR2"
2,"ACKR3"
2,"ACKR4"
2,"ACLY"
2,"ACMSD"
2,"ACO1"
2,"ACO2"
2,"ACOD1"
2,"ACOT1"
2,"ACOT11"
2,"ACOT12"
2,"ACOT13"
2,"ACOT2"
2,"ACOT4"
