"iteration","source_iteration","source_fit","tissue","pi_add","pi_rec","pi_dom","pip_add","pip_rec","pip_dom","pip_total","n_fits","n_nonconverged","prior_status","n_source_files","n_source_gene_errors","n_source_tissue_errors","created_at"
2,1,"weighted_fit_mix","Adipose Tissue",0.760354955507333,0.0284959971374897,0.211149047355177,2742.58583415822,102.784518616501,761.6105898671,3606.98094264182,17559,0,"estimated",18468,851,0,"2026-09-12 01:24:06 UTC"
2,1,"weighted_fit_mix","Adrenal Gland",0.722237287309347,0.0296473620878945,0.248115350602758,1132.46560893693,46.4869628724396,389.044025480511,1567.99659728988,17492,0,"estimated",18468,851,0,"2026-09-12 01:24:06 UTC"
2,1,"weighted_fit_mix","Blood",0.689857036278272,0.044231471909351,0.265911491812377,1663.93032851759,106.685999728291,641.37665147985,2411.99297972573,17570,0,"estimated",18468,851,0,"2026-09-12 01:24:06 UTC"
2,1,"weighted_fit_mix","Blood Vessel",0.772878517594066,0.0226612086592065,0.204460273746728,2882.81444334004,84.5256507189076,762.63088807432,3729.97098213327,17562,0,"estimated",18468,851,0,"2026-09-12 01:24:06 UTC"
2,1,"weighted_fit_mix","Brain",0.695260315862057,0.0418427876130676,0.262896896524875,949.029926513647,57.1153807395421,358.854110751762,1364.99941800495,17567,0,"estimated",18468,851,0,"2026-09-12 01:24:06 UTC"
2,1,"weighted_fit_mix","Breast",0.734268186499723,0.0364664893374224,0.229265324162855,1666.05230385796,82.742354484736,520.202330073864,2268.99698841656,17544,0,"estimated",18468,851,0,"2026-09-12 01:24:06 UTC"
2,1,"weighted_fit_mix","Colon",0.728283051925895,0.0347046427685896,0.237012305305515,1788.62983054406,85.2330136615494,582.091370044126,2455.95421424974,17569,0,"estimated",18468,851,0,"2026-09-12 01:24:06 UTC"
2,1,"weighted_fit_mix","Esophagus",0.743311605572308,0.0348962452797175,0.221792149147974,1849.35399497876,86.821610390592,551.817291707591,2487.99289707695,17553,0,"estimated",18468,851,0,"2026-09-12 01:24:06 UTC"
2,1,"weighted_fit_mix","Heart",0.714254602074834,0.0369647303059331,0.248780667619232,1564.92256284212,80.9892443354084,545.075213831766,2190.9870210093,17550,0,"estimated",18468,851,0,"2026-09-12 01:24:06 UTC"
2,1,"weighted_fit_mix","Kidney",0.703231283326539,0.0382301272930322,0.258538589380429,243.317631083034,13.2276026813559,89.4542074607694,345.999441225159,17401,0,"estimated",18468,851,0,"2026-09-12 01:24:06 UTC"
2,1,"weighted_fit_mix","Liver",0.721878381958267,0.0283334554003191,0.249788162641414,1006.29749667119,39.4967988430971,348.204363846268,1393.99865936056,17490,0,"estimated",18468,851,0,"2026-09-12 01:24:06 UTC"
2,1,"weighted_fit_mix","Lung",0.748416520716807,0.0254462501826839,0.226137229100509,2085.8272851179,70.9183742819355,630.241569476632,2786.98722887647,17557,0,"estimated",18468,851,0,"2026-09-12 01:24:06 UTC"
2,1,"weighted_fit_mix","Muscle",0.779097665010448,0.024864763800391,0.196037571189161,2951.21137874358,94.1873877346321,742.58765843811,3787.98642491632,17565,0,"estimated",18468,851,0,"2026-09-12 01:24:06 UTC"
2,1,"weighted_fit_mix","Nerve",0.794075622439819,0.019867172275599,0.186057205284582,3696.38929831384,92.4808682095606,866.088623115026,4654.95878963843,17570,0,"estimated",18468,851,0,"2026-09-12 01:24:06 UTC"
2,1,"weighted_fit_mix","Ovary",0.724520345284353,0.0497578833004345,0.225721771415212,789.002655381578,54.1863348706949,245.811008873931,1088.9999991262,17484,0,"estimated",18468,851,0,"2026-09-12 01:24:06 UTC"
2,1,"weighted_fit_mix","Pancreas",0.751863922526569,0.035140425130049,0.212995652343382,1554.84985421575,72.670177745635,440.473666939368,2067.99369890075,17504,0,"estimated",18468,851,0,"2026-09-12 01:24:06 UTC"
2,1,"weighted_fit_mix","Pituitary",0.760594995645398,0.017914677135435,0.221490327219168,1714.38017625173,40.3796600303411,499.238922672431,2253.9987589545,17540,0,"estimated",18468,851,0,"2026-09-12 01:24:06 UTC"
2,1,"weighted_fit_mix","Prostate",0.737313799174663,0.0397855050937575,0.22290069573158,994.636015022803,53.6706301800139,300.69294782824,1348.99959303106,17517,0,"estimated",18468,851,0,"2026-09-12 01:24:06 UTC"
2,1,"weighted_fit_mix","Salivary Gland",0.719228463492347,0.0237981596808459,0.256973376826807,774.607866433755,25.6305786424511,276.759902114481,1076.99834719069,17533,0,"estimated",18468,851,0,"2026-09-12 01:24:06 UTC"
2,1,"weighted_fit_mix","Skin",0.731627548247191,0.0367034664747652,0.231668985278044,2585.56547945247,129.70973567186,818.716206667921,3533.99142179225,17578,0,"estimated",18468,851,0,"2026-09-12 01:24:06 UTC"
2,1,"weighted_fit_mix","Small Intestine",0.706551480838291,0.0389104227906574,0.254538096371051,640.135527482703,35.252836761619,230.611474186717,905.999838431038,17518,0,"estimated",18468,851,0,"2026-09-12 01:24:06 UTC"
2,1,"weighted_fit_mix","Spleen",0.768809908128302,0.030899741470532,0.200290350401166,1762.87928055803,70.8530332883145,459.265294430882,2292.99760827723,17550,0,"estimated",18468,851,0,"2026-09-12 01:24:06 UTC"
2,1,"weighted_fit_mix","Stomach",0.722457853444345,0.0374315808885879,0.240110565667067,1087.29596480548,56.3343683820679,361.365369498438,1504.99570268599,17521,0,"estimated",18468,851,0,"2026-09-12 01:24:06 UTC"
2,1,"weighted_fit_mix","Testis",0.790948043714661,0.0208730937749183,0.188178862510421,2398.1472428324,63.2870296392827,570.556592022504,3031.99086449419,17582,0,"estimated",18468,851,0,"2026-09-12 01:24:06 UTC"
2,1,"weighted_fit_mix","Thyroid",0.813960263427994,0.0200518607582945,0.165987875813711,3735.24699169362,92.0175786712769,761.714965273149,4588.97953563804,17568,0,"estimated",18468,851,0,"2026-09-12 01:24:06 UTC"
2,1,"weighted_fit_mix","Uterus",0.704592760017457,0.0326978240834859,0.262709415899057,508.715743086353,23.6078183311524,189.676112654861,721.999674072366,17440,0,"estimated",18468,851,0,"2026-09-12 01:24:06 UTC"
2,1,"weighted_fit_mix","Vagina",0.698928901862337,0.0611357582259985,0.239935339911664,402.582357953894,35.2141364255235,138.202519084169,575.999013463586,17496,0,"estimated",18468,851,0,"2026-09-12 01:24:06 UTC"
