gene,tissue,result_file,n_ind,n_SNP,n_mix_predictor,n_add_rm,n_rec_rm,n_dom_rm,mean_count,median_count,min_pv,dif_elbo,dif_elbo_perm,log_lik_add,log_lik_mix,log_lik_add_perm,log_lik_mix_perm,ncs_susie,ncs_susie_mix,perm_cs_susie,perm_cs_susie_mix,n_add_cs_snps,n_mix_cs_snps,overlap_snp,pct_add_cs_snps_retained,n_add_cs_snps_not_retained,pct_add_cs_snps_not_retained,overlap,overlap_cs_pairs,overlap_pairwise_sum,overlap_coding,pct_add_cs_snps_retained_additive_coding,n_add_cs_snps_other_coding_only,pct_add_cs_snps_other_coding_only,pct_shared_snps_other_coding_only,n_shared_snps_preferred_additive,n_shared_snps_preferred_dominant,n_shared_snps_preferred_recessive,n_shared_snps_preferred_nonadditive,n_shared_snps_preference_ambiguous,pct_shared_snps_preferred_nonadditive,n_add_cs_snps_perm,n_mix_cs_snps_perm,overlap_snp_perm,overlap_perm,pct_add_cs_snps_retained_perm,n_add_cs_snps_not_retained_perm,pct_add_cs_snps_not_retained_perm,overlap_cs_pairs_perm,overlap_pairwise_sum_perm,overlap_coding_perm,pct_add_cs_snps_retained_additive_coding_perm,n_add_cs_snps_other_coding_only_perm,pct_add_cs_snps_other_coding_only_perm,n_shared_snps_preferred_additive_perm,n_shared_snps_preferred_dominant_perm,n_shared_snps_preferred_recessive_perm,n_shared_snps_preferred_nonadditive_perm,n_shared_snps_preference_ambiguous_perm,pct_shared_snps_preferred_nonadditive_perm,n_add,n_rec,n_dom,n_add_perm,n_rec_perm,n_dom_perm,converged_add,converged_mix,converged_add_perm,converged_mix_perm,has_weighted_fit_mix,ncs_weighted_fit_mix,elbo_weighted_mix,dif_elbo_weighted_vs_add,dif_elbo_weighted_vs_mix,log_lik_weighted_mix,converged_weighted_fit_mix,n_add_weighted,n_dom_weighted,n_rec_weighted,weighted_prior_target_additive,weighted_prior_target_dominant,weighted_prior_target_recessive,weighted_prior_realized_additive,weighted_prior_realized_dominant,weighted_prior_realized_recessive,n_weighted_mix_cs_snps,overlap_snp_add_weighted,pct_add_cs_snps_retained_weighted,overlap_coding_add_weighted,overlap_cs_pairs_add_weighted,mix_weighted_overlap_snp,mix_weighted_union_snp,mix_weighted_jaccard_snp,pct_mix_cs_snps_retained_weighted,pct_weighted_cs_snps_retained_mix,mix_weighted_overlap_cs_pairs,mix_weighted_overlap_pairwise_sum,mix_weighted_same_cs_count,mix_weighted_same_cs_snp_sets,mix_weighted_same_cs_predictor_sets,mix_weighted_same_lead_snp_set,mix_weighted_same_lead_predictor_set,em_iteration,coding_pattern,number_coding_types
A1BG,Blood Vessel,A1BG.rds,450,1653,4710,0,249,0,360.335555555556,322,3.02733644633039e-11,0.526006200411871,0.000455506902881098,-618.048349486693,-616.756881026955,-637.875486340248,-637.875486340248,1,1,0,0,34,41,34,100,0,0,34,1,34,16,47.0588235294118,18,52.9411764705882,52.9411764705882,0,34,0,34,0,100,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,0,0,1,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,1,-624.219706817703,0.132238002426107,-0.393768197985764,-617.768046333106,TRUE,1,0,0,0.944257981084007,0.0523967434981818,0.00334527541781087,0.944257981084007,0.0523967434981818,0.00334527541781087,41,34,100,34,1,41,41,1,100,100,1,41,TRUE,TRUE,FALSE,TRUE,FALSE,12,A,1
A4GALT,Blood,A4GALT.rds,435,2661,7536,0,447,0,175.83908045977,37,1.11284093663975e-12,-1.01150507376087,0.000726376423472175,-591.582599569409,-591.681460309135,-616.079213241147,-616.079213241147,1,1,0,0,5,6,5,100,0,0,5,1,5,5,100,0,0,0,5,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,1,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,1,-600.05470856546,-0.145746541096742,0.865758532664131,-591.587571036839,TRUE,1,0,0,0.862736114670144,0.127550185199881,0.00971370012997481,0.862736114670144,0.127550185199881,0.00971370012997481,5,5,100,5,1,5,6,0.833333333333333,83.3333333333333,100,1,5,TRUE,FALSE,FALSE,TRUE,TRUE,12,A,1
A4GALT,Muscle,A4GALT.rds,477,2661,7576,0,407,0,1080.03773584906,880,7.96945083817858e-10,-1.03320932650729,0.000732336217197371,-658.824950988863,-658.897103660578,-676.186523626109,-676.186523626109,1,1,0,0,10,11,10,100,0,0,10,1,10,10,100,0,0,0,10,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,1,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,1,-666.551131280026,-0.0448388660602177,0.988370460447072,-658.826206341852,TRUE,1,0,0,0.955330531815717,0.0430435225995494,0.00162594558473393,0.955330531815717,0.0430435225995494,0.00162594558473393,10,10,100,10,1,10,11,0.909090909090909,90.9090909090909,100,1,10,TRUE,FALSE,FALSE,TRUE,TRUE,12,A,1
AACS,Muscle,AACS.rds,477,2616,7360,0,488,0,543.557651991614,504,7.30342770384722e-14,-1.63823557457056,0.000706858548937817,-639.631941869159,-640.319073425863,-676.186523626109,-676.186523626109,2,2,0,0,43,62,43,100,0,0,43,2,43,43,100,0,0,0,43,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,2,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,2,-653.181105508025,-0.0708173297992971,1.56741824477126,-639.661235134154,TRUE,2,0,0,0.955330531815717,0.0430435225995494,0.00162594558473393,0.955330531815717,0.0430435225995494,0.00162594558473393,44,43,100,43,2,44,62,0.709677419354839,70.9677419354839,100,2,44,TRUE,FALSE,FALSE,TRUE,TRUE,12,A,1
AADAC,Adipose Tissue,AADAC.rds,470,2259,6560,0,217,0,389.606382978723,195.5,6.5248223546019e-25,-1.06526217606461,0.000640856834479564,-612.868648630966,-612.870038221523,-665.074738876766,-665.074738876766,1,1,0,0,7,7,7,100,0,0,7,1,7,7,100,0,0,0,7,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,1,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,1,-621.09923021091,-0.0600549959173122,1.00520718014729,-612.868652320541,TRUE,1,0,0,0.941167127356332,0.0554230546585655,0.00340981798510223,0.941167127356332,0.0554230546585655,0.00340981798510223,7,7,100,7,1,7,7,1,100,100,1,7,TRUE,TRUE,TRUE,TRUE,TRUE,12,A,1
AADAC,Breast,AADAC.rds,269,2259,6388,0,389,0,367.412639405204,132,5.75864406008892e-27,-1.01512435008334,0.000615229309914867,-323.838747777597,-323.929212363542,-380.784711272772,-380.784711272772,1,1,0,0,7,7,7,100,0,0,7,1,7,7,100,0,0,0,7,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,1,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,1,-332.521026754106,-0.0642103805864736,0.950913969496867,-323.839098586353,TRUE,1,0,0,0.937186253003572,0.0592567595904155,0.00355698740601229,0.937186253003572,0.0592567595904155,0.00355698740601229,7,7,100,7,1,7,7,1,100,100,1,7,TRUE,TRUE,TRUE,TRUE,TRUE,12,A,1
AASDH,Spleen,AASDH.rds,146,2442,6336,0,990,0,936.150684931507,895,9.63465253309515e-10,-0.929791991538139,0.000580213270495733,-189.020341383744,-189.113379960841,-206.524356731918,-206.524356731918,1,1,0,0,56,63,56,100,0,0,56,1,56,56,100,0,0,0,56,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,1,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,1,-194.662169306227,-0.0533977557435321,0.876394235794606,-189.025473629352,TRUE,1,0,0,0.946299904697616,0.0521914805652733,0.00150861473711097,0.946299904697616,0.0521914805652733,0.00150861473711097,57,56,100,56,1,57,63,0.904761904761905,90.4761904761905,100,1,57,TRUE,FALSE,FALSE,TRUE,TRUE,12,A,1
ABCA10,Testis,ABCA10.rds,211,1869,5123,0,484,0,1589.20853080569,1463,8.77697835209148e-11,1.19371686690278,-0.401386833153254,-279.184021513623,-277.106479623651,-298.766872688425,-298.756438717436,1,1,0,0,41,46,41,100,0,0,41,1,41,12,29.2682926829268,29,70.7317073170732,70.7317073170732,0,41,0,41,0,100,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,0,0,1,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,1,-284.856449313405,0.182876760470492,-1.01084010643228,-278.722608495869,TRUE,1,0,0,0.964197560348019,0.0316962538136861,0.00410618583829503,0.964197560348019,0.0316962538136861,0.00410618583829503,48,41,100,41,1,46,48,0.958333333333333,100,95.8333333333333,1,46,TRUE,FALSE,FALSE,TRUE,FALSE,12,A,1
ABCA7,Blood,ABCA7.rds,435,3012,8351,0,685,0,16584.8022988506,14734,5.27141519868071e-14,-0.948533688088787,0.00079550564805686,-588.617361654425,-588.799149440401,-616.591585743734,-616.591585743734,1,1,0,0,1,1,1,100,0,0,1,1,1,1,100,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,1,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,1,-598.814978365842,-0.136200624733192,0.812333063355595,-588.645845232194,TRUE,1,0,0,0.862736114670144,0.127550185199881,0.00971370012997481,0.862736114670144,0.127550185199881,0.00971370012997481,1,1,100,1,1,1,1,1,100,100,1,1,TRUE,TRUE,FALSE,TRUE,TRUE,12,A,1
ABCB1,Testis,ABCB1.rds,211,1140,2820,0,600,0,397.549763033175,343,3.81092611661682e-09,-0.895773473852444,0.000250332121822794,-282.332888749883,-282.389931241896,-298.753293732085,-298.753293732085,1,1,0,0,4,4,4,100,0,0,4,1,4,4,100,0,0,0,4,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,1,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,1,-289.958963247589,-0.035993915804454,0.85977955804799,-282.334091897572,TRUE,1,0,0,0.964197560348019,0.0316962538136861,0.00410618583829503,0.964197560348019,0.0316962538136861,0.00410618583829503,4,4,100,4,1,4,4,1,100,100,1,4,TRUE,TRUE,TRUE,TRUE,TRUE,12,A,1
