gene,tissue,result_file,n_ind,n_SNP,n_mix_predictor,n_add_rm,n_rec_rm,n_dom_rm,mean_count,median_count,min_pv,dif_elbo,dif_elbo_perm,log_lik_add,log_lik_mix,log_lik_add_perm,log_lik_mix_perm,ncs_susie,ncs_susie_mix,perm_cs_susie,perm_cs_susie_mix,n_add_cs_snps,n_mix_cs_snps,overlap_snp,pct_add_cs_snps_retained,n_add_cs_snps_not_retained,pct_add_cs_snps_not_retained,overlap,overlap_cs_pairs,overlap_pairwise_sum,overlap_coding,pct_add_cs_snps_retained_additive_coding,n_add_cs_snps_other_coding_only,pct_add_cs_snps_other_coding_only,pct_shared_snps_other_coding_only,n_shared_snps_preferred_additive,n_shared_snps_preferred_dominant,n_shared_snps_preferred_recessive,n_shared_snps_preferred_nonadditive,n_shared_snps_preference_ambiguous,pct_shared_snps_preferred_nonadditive,n_add_cs_snps_perm,n_mix_cs_snps_perm,overlap_snp_perm,overlap_perm,pct_add_cs_snps_retained_perm,n_add_cs_snps_not_retained_perm,pct_add_cs_snps_not_retained_perm,overlap_cs_pairs_perm,overlap_pairwise_sum_perm,overlap_coding_perm,pct_add_cs_snps_retained_additive_coding_perm,n_add_cs_snps_other_coding_only_perm,pct_add_cs_snps_other_coding_only_perm,n_shared_snps_preferred_additive_perm,n_shared_snps_preferred_dominant_perm,n_shared_snps_preferred_recessive_perm,n_shared_snps_preferred_nonadditive_perm,n_shared_snps_preference_ambiguous_perm,pct_shared_snps_preferred_nonadditive_perm,n_add,n_rec,n_dom,n_add_perm,n_rec_perm,n_dom_perm,converged_add,converged_mix,converged_add_perm,converged_mix_perm,has_weighted_fit_mix,ncs_weighted_fit_mix,elbo_weighted_mix,dif_elbo_weighted_vs_add,dif_elbo_weighted_vs_mix,log_lik_weighted_mix,converged_weighted_fit_mix,n_add_weighted,n_dom_weighted,n_rec_weighted,weighted_prior_target_additive,weighted_prior_target_dominant,weighted_prior_target_recessive,weighted_prior_realized_additive,weighted_prior_realized_dominant,weighted_prior_realized_recessive,n_weighted_mix_cs_snps,overlap_snp_add_weighted,pct_add_cs_snps_retained_weighted,overlap_coding_add_weighted,overlap_cs_pairs_add_weighted,mix_weighted_overlap_snp,mix_weighted_union_snp,mix_weighted_jaccard_snp,pct_mix_cs_snps_retained_weighted,pct_weighted_cs_snps_retained_mix,mix_weighted_overlap_cs_pairs,mix_weighted_overlap_pairwise_sum,mix_weighted_same_cs_count,mix_weighted_same_cs_snp_sets,mix_weighted_same_cs_predictor_sets,mix_weighted_same_lead_snp_set,mix_weighted_same_lead_predictor_set,em_iteration,coding_pattern,number_coding_types
ABO,Skin,ABO.rds,522,2961,8341,0,542,0,859.666666666667,707.5,1.64901337424412e-11,3.2343511843718,0.000801614971805975,-703.303319040122,-697.62959011573,-735.179214865057,-735.179214865057,2,2,0,0,83,79,67,80.7228915662651,16,19.2771084337349,67,2,67,64,77.1084337349398,3,3.6144578313253,4.47761194029851,64,3,0,3,0,4.47761194029851,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,1,0,1,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,2,-713.841115544433,2.35441513073704,-0.879936053634765,-697.748671495698,TRUE,1,1,0,0.933012125240914,0.0649603341354519,0.00202754062363396,0.933012125240914,0.0649603341354519,0.00202754062363396,78,69,83.1325301204819,67,2,76,81,0.938271604938272,96.2025316455696,97.4358974358974,2,76,TRUE,FALSE,FALSE,TRUE,TRUE,12,AD,2
ACCS,Adipose Tissue,ACCS.rds,470,2109,5924,0,403,0,2079.01489361702,1942.5,2.04132251301323e-12,1.79575231884974,0.0005684452787591,-628.8890359622,-625.140491206013,-666.254030580006,-666.254030580006,2,2,0,0,25,12,11,44,14,56,11,2,11,2,8,9,36,81.8181818181818,1,10,0,10,0,90.9090909090909,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,1,0,1,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,2,-644.411624898698,0.784609887075703,-1.01114243177403,-626.503424935538,TRUE,1,1,0,0.941167127356332,0.0554230546585655,0.00340981798510223,0.941167127356332,0.0554230546585655,0.00340981798510223,15,15,60,15,2,11,16,0.6875,91.6666666666667,73.3333333333333,2,11,TRUE,FALSE,FALSE,TRUE,TRUE,12,AD,2
ACOT1,Adipose Tissue,ACOT1.rds,470,2058,5870,0,304,0,637.472340425532,476,3.03227949481836e-16,1.18108543225355,0.000567998714586793,-620.693946076411,-617.127673801081,-666.254030580006,-666.254030580006,2,2,0,0,7,5,5,71.4285714285714,2,28.5714285714286,5,2,5,4,57.1428571428572,1,14.2857142857143,20,4,1,0,1,0,20,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,1,0,1,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,2,-637.892327681193,0.753913375472735,-0.427172056780819,-618.431994823465,TRUE,1,1,0,0.941167127356332,0.0554230546585655,0.00340981798510223,0.941167127356332,0.0554230546585655,0.00340981798510223,6,6,85.7142857142857,6,2,5,6,0.833333333333333,100,83.3333333333333,2,5,TRUE,FALSE,FALSE,TRUE,TRUE,12,AD,2
ADCY3,Blood,ADCY3.rds,435,1678,4700,0,334,0,1004.00459770115,349,1.47250540962835e-19,2.83367640549659,0.000450291694278349,-577.07143920516,-573.473012189398,-616.591585743734,-616.591585743734,1,1,0,0,52,47,42,80.7692307692308,10,19.2307692307692,42,1,42,0,0,42,80.7692307692308,100,0,42,0,42,0,100,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,0,0,1,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,1,-581.249993506979,1.89917158945536,-0.934504816041226,-573.804244535604,TRUE,0,1,0,0.862736114670144,0.127550185199881,0.00971370012997481,0.862736114670144,0.127550185199881,0.00971370012997481,49,44,84.6153846153846,14,1,47,49,0.959183673469388,100,95.9183673469388,1,47,TRUE,FALSE,FALSE,TRUE,TRUE,12,D,1
ADD2,Nerve,ADD2.rds,354,2871,7948,0,665,0,306.847457627119,222,8.28116768056745e-48,3.1808973251392,0.000756470976170931,-396.037725303365,-391.841903877512,-501.658658586283,-501.658658586283,1,1,0,0,3,3,3,100,0,0,3,1,3,0,0,3,100,100,0,3,0,3,0,100,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,0,0,1,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,1,-404.436276578579,1.17539998561603,-2.00549733952317,-393.019413645529,TRUE,0,1,0,0.963677116962512,0.0352408233355386,0.00108205970194926,0.963677116962512,0.0352408233355386,0.00108205970194926,3,3,100,3,1,3,3,1,100,100,1,3,TRUE,TRUE,FALSE,TRUE,TRUE,12,D,1
AKR1C2,Brain,AKR1C2.rds,257,3937,10529,0,1282,0,279.509727626459,227,7.69363031309766e-18,1.6059854964974,0.000982178687536361,-328.812054941522,-326.068285045655,-364.023368393417,-364.023368393417,1,1,0,0,37,48,36,97.2972972972973,1,2.7027027027027,36,1,36,2,5.40540540540541,34,91.8918918918919,94.4444444444444,0,36,0,36,0,100,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,0,0,1,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,1,-334.822840267461,0.627972247148534,-0.978013249348862,-326.932077669603,TRUE,0,1,0,0.900828938997283,0.0970505427883882,0.00212051821432854,0.900828938997283,0.0970505427883882,0.00212051821432854,38,34,91.8918918918919,33,1,38,48,0.791666666666667,79.1666666666667,100,1,38,TRUE,FALSE,FALSE,TRUE,TRUE,12,D,1
AKR1C2,Skin,AKR1C2.rds,522,3937,11001,0,810,0,1727.72413793103,1309.5,1.26261232270996e-15,1.36247364399583,0.00105250088722642,-709.73612586649,-707.429600351788,-740.038293254798,-740.038293254798,1,1,0,0,37,42,36,97.2972972972973,1,2.7027027027027,36,1,36,12,32.4324324324324,24,64.8648648648649,66.6666666666667,0,35,0,35,1,97.2222222222222,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,0,0,1,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,1,-716.312985953247,0.449901183054635,-0.912572460941192,-708.705098632564,TRUE,0,1,0,0.933012125240914,0.0649603341354519,0.00202754062363396,0.933012125240914,0.0649603341354519,0.00202754062363396,43,37,100,37,1,42,43,0.976744186046512,100,97.6744186046512,1,42,TRUE,FALSE,FALSE,TRUE,TRUE,12,D,1
AMACR,Blood,AMACR.rds,435,2099,6049,0,248,0,300.650574712644,178,2.44651025334747e-16,2.29195199034393,0.000588560136520755,-583.878136382028,-580.583689088553,-616.591585743734,-616.591585743734,1,1,0,0,9,9,9,100,0,0,9,1,9,0,0,9,100,100,0,9,0,9,0,100,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,0,0,1,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,1,-589.97938392988,1.46948851231957,-0.822463478024361,-581.12898314743,TRUE,0,1,0,0.862736114670144,0.127550185199881,0.00971370012997481,0.862736114670144,0.127550185199881,0.00971370012997481,9,9,100,6,1,9,9,1,100,100,1,9,TRUE,TRUE,FALSE,TRUE,TRUE,12,D,1
AMZ1,Lung,AMZ1.rds,323,2995,8424,0,561,0,107.043343653251,60,2.41442942031461e-42,7.77998175343009,-0.114481771578653,-364.47151611535,-355.599089250522,-457.681119539536,-457.672058805041,1,1,0,0,1,1,1,100,0,0,1,1,1,0,0,1,100,100,0,1,0,1,0,100,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,0,0,1,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,1,-369.123946838045,6.11889228255467,-1.66108947087542,-355.61211069793,TRUE,0,1,0,0.930764682521748,0.0673943101777559,0.00184100730049573,0.930764682521748,0.0673943101777559,0.00184100730049573,1,1,100,0,1,1,1,1,100,100,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,12,D,1
ANKRD33B,Muscle,ANKRD33B.rds,477,2618,7382,0,472,0,1039.82599580713,482,2.22292611050229e-13,4.17157834940781,0.000709838432157994,-649.95947757124,-644.668136088196,-676.186523626109,-676.186523626109,1,1,0,0,6,6,6,100,0,0,6,1,6,0,0,6,100,100,0,6,0,6,0,100,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,0,0,1,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,1,-655.882930164918,2.15134961217791,-2.0202287372299,-645.123599572528,TRUE,0,1,0,0.955330531815717,0.0430435225995494,0.00162594558473393,0.955330531815717,0.0430435225995494,0.00162594558473393,6,6,100,3,1,6,6,1,100,100,1,6,TRUE,TRUE,FALSE,TRUE,TRUE,12,D,1
