gene,tissue,result_file,n_ind,n_SNP,n_mix_predictor,n_add_rm,n_rec_rm,n_dom_rm,mean_count,median_count,min_pv,dif_elbo,dif_elbo_perm,log_lik_add,log_lik_mix,log_lik_add_perm,log_lik_mix_perm,ncs_susie,ncs_susie_mix,perm_cs_susie,perm_cs_susie_mix,n_add_cs_snps,n_mix_cs_snps,overlap_snp,pct_add_cs_snps_retained,n_add_cs_snps_not_retained,pct_add_cs_snps_not_retained,overlap,overlap_cs_pairs,overlap_pairwise_sum,overlap_coding,pct_add_cs_snps_retained_additive_coding,n_add_cs_snps_other_coding_only,pct_add_cs_snps_other_coding_only,pct_shared_snps_other_coding_only,n_shared_snps_preferred_additive,n_shared_snps_preferred_dominant,n_shared_snps_preferred_recessive,n_shared_snps_preferred_nonadditive,n_shared_snps_preference_ambiguous,pct_shared_snps_preferred_nonadditive,n_add_cs_snps_perm,n_mix_cs_snps_perm,overlap_snp_perm,overlap_perm,pct_add_cs_snps_retained_perm,n_add_cs_snps_not_retained_perm,pct_add_cs_snps_not_retained_perm,overlap_cs_pairs_perm,overlap_pairwise_sum_perm,overlap_coding_perm,pct_add_cs_snps_retained_additive_coding_perm,n_add_cs_snps_other_coding_only_perm,pct_add_cs_snps_other_coding_only_perm,n_shared_snps_preferred_additive_perm,n_shared_snps_preferred_dominant_perm,n_shared_snps_preferred_recessive_perm,n_shared_snps_preferred_nonadditive_perm,n_shared_snps_preference_ambiguous_perm,pct_shared_snps_preferred_nonadditive_perm,n_add,n_rec,n_dom,n_add_perm,n_rec_perm,n_dom_perm,converged_add,converged_mix,converged_add_perm,converged_mix_perm,has_weighted_fit_mix,ncs_weighted_fit_mix,elbo_weighted_mix,dif_elbo_weighted_vs_add,dif_elbo_weighted_vs_mix,log_lik_weighted_mix,converged_weighted_fit_mix,n_add_weighted,n_dom_weighted,n_rec_weighted,weighted_prior_target_additive,weighted_prior_target_dominant,weighted_prior_target_recessive,weighted_prior_realized_additive,weighted_prior_realized_dominant,weighted_prior_realized_recessive,n_weighted_mix_cs_snps,overlap_snp_add_weighted,pct_add_cs_snps_retained_weighted,overlap_coding_add_weighted,overlap_cs_pairs_add_weighted,mix_weighted_overlap_snp,mix_weighted_union_snp,mix_weighted_jaccard_snp,pct_mix_cs_snps_retained_weighted,pct_weighted_cs_snps_retained_mix,mix_weighted_overlap_cs_pairs,mix_weighted_overlap_pairwise_sum,mix_weighted_same_cs_count,mix_weighted_same_cs_snp_sets,mix_weighted_same_cs_predictor_sets,mix_weighted_same_lead_snp_set,mix_weighted_same_lead_predictor_set,em_iteration,coding_pattern,number_coding_types
ACTN3,Muscle,ACTN3.rds,477,959,2704,0,173,0,26467.4570230608,10645,3.40645959569417e-41,15.3308226025055,0.000260018166500231,-586.126870927335,-564.797847139076,-676.186523626109,-676.186523626109,1,2,0,0,3,81,3,100,0,0,3,2,6,3,100,0,0,0,0,0,3,3,0,100,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,0,1,1,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,2,-584.577881008282,10.0831529835887,-5.2476696189168,-565.054980342156,TRUE,1,0,1,0.955330531815717,0.0430435225995494,0.00162594558473393,0.955330531815717,0.0430435225995494,0.00162594558473393,46,3,100,3,2,46,81,0.567901234567901,56.7901234567901,100,4,55,TRUE,FALSE,FALSE,FALSE,FALSE,12,AR,2
APOL4,Adipose Tissue,APOL4.rds,470,1926,5431,0,347,0,2536.71489361702,1156,7.00051550705843e-23,9.9449608734451,0.000522257072361754,-606.21863833231,-589.068465754686,-666.254030580006,-666.254030580006,2,3,0,0,19,96,19,100,0,0,19,2,19,12,63.1578947368421,7,36.8421052631579,36.8421052631579,12,0,7,7,0,36.8421052631579,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,2,1,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,3,-613.920158161816,7.15301952043842,-2.79194135300668,-588.46981296743,TRUE,2,0,1,0.941167127356332,0.0554230546585655,0.00340981798510223,0.941167127356332,0.0554230546585655,0.00340981798510223,87,18,94.7368421052632,11,2,87,96,0.90625,90.625,100,3,87,TRUE,FALSE,FALSE,TRUE,TRUE,12,AR,2
ATRNL1,Muscle,ATRNL1.rds,477,1422,4062,0,204,0,269.140461215933,158,1.22546130794756e-49,11.5092232163125,0.000393374583609329,-555.395538038634,-540.779493291356,-674.804682004799,-674.804682004799,2,2,0,0,56,23,15,26.7857142857143,41,73.2142857142857,15,2,15,11,19.6428571428571,4,7.14285714285714,26.6666666666667,11,0,4,4,0,26.6666666666667,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,1,1,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,2,-562.510673015931,7.29424042802134,-4.2149827882912,-540.727282592964,TRUE,1,0,1,0.955330531815717,0.0430435225995494,0.00162594558473393,0.955330531815717,0.0430435225995494,0.00162594558473393,22,14,25,10,2,22,23,0.956521739130435,95.6521739130435,100,2,22,TRUE,FALSE,FALSE,TRUE,TRUE,12,AR,2
CDC25B,Adipose Tissue,CDC25B.rds,470,2647,7425,0,516,0,4830.32765957447,4521.5,7.19506901471364e-11,3.87631839248945,0.000711924056986391,-635.159225950479,-628.780550180453,-666.254030580006,-666.254030580006,2,2,0,0,24,17,17,70.8333333333333,7,29.1666666666667,17,2,17,5,20.8333333333333,12,50,70.5882352941177,4,1,12,13,0,76.4705882352941,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,1,1,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,2,-649.10253545518,0.666181533202689,-3.21013685928676,-630.988536594186,TRUE,1,0,1,0.941167127356332,0.0554230546585655,0.00340981798510223,0.941167127356332,0.0554230546585655,0.00340981798510223,24,24,100,23,2,17,24,0.708333333333333,100,70.8333333333333,2,17,TRUE,FALSE,FALSE,TRUE,TRUE,12,AR,2
CDRT4,Esophagus,CDRT4.rds,412,2274,6386,0,436,0,928.279126213592,864,2.42368595175437e-09,8.1248331964382,0.000612696215966935,-567.774888502791,-557.234935923934,-583.956285315508,-583.956285315508,1,1,0,0,25,7,7,28,18,72,7,1,7,0,0,7,28,100,0,0,7,7,0,100,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,0,1,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,1,-572.468046318105,1.9821716011578,-6.1426615952804,-557.93592565347,TRUE,0,0,1,0.95128087890051,0.0481670003127524,0.000552120786737723,0.95128087890051,0.0481670003127524,0.000552120786737723,7,7,28,3,1,7,7,1,100,100,1,7,TRUE,TRUE,FALSE,TRUE,TRUE,12,R,1
CLEC18A,Blood Vessel,CLEC18A.rds,450,1526,4152,0,426,0,149.751111111111,75.5,1.79859037865836e-39,8.5868064762019,0.000391287940146867,-553.347663965874,-537.301548129204,-637.586917961908,-637.586917961908,1,2,0,0,56,74,56,100,0,0,56,2,99,56,100,0,0,0,56,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,1,1,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,2,-554.716203010493,5.1632883205989,-3.42351815560301,-537.29692957423,TRUE,1,0,1,0.944257981084007,0.0523967434981818,0.00334527541781087,0.944257981084007,0.0523967434981818,0.00334527541781087,74,56,100,56,2,74,74,1,100,100,4,219,TRUE,FALSE,FALSE,TRUE,TRUE,12,AR,2
COL9A3,Blood,COL9A3.rds,435,3095,8644,0,641,0,349.570114942529,162,2.2430713944226e-18,-2.58763170093005,0.000826793121859737,-561.168243801522,-562.971998736818,-616.591585743734,-616.591585743734,2,2,0,0,6,14,4,66.6666666666667,2,33.3333333333333,4,2,8,0,0,4,66.6666666666667,100,0,0,4,4,0,100,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,1,1,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,2,-584.580305443451,-4.89372947138145,-2.3060977704514,-563.91443353294,TRUE,1,0,1,0.862736114670144,0.127550185199881,0.00971370012997481,0.862736114670144,0.127550185199881,0.00971370012997481,5,4,66.6666666666667,4,1,5,14,0.357142857142857,35.7142857142857,100,3,9,TRUE,FALSE,FALSE,TRUE,TRUE,12,AR,2
CYP4F11,Adrenal Gland,CYP4F11.rds,141,3634,9608,0,1294,0,387.375886524823,224,3.63507457609726e-18,13.6117760305604,0.000890107551754227,-161.586199762544,-138.506728410626,-199.165262464017,-199.165262464017,1,2,0,0,2,20,2,100,0,0,2,2,2,1,50,1,50,50,1,0,1,1,0,50,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,1,1,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,2,-160.880772955457,10.7944147928902,-2.81736123767018,-138.495193930861,TRUE,1,0,1,0.898645415979337,0.0952509640726924,0.00610361994797009,0.898645415979338,0.0952509640726924,0.00610361994797009,20,2,100,1,2,20,20,1,100,100,2,20,TRUE,TRUE,TRUE,TRUE,TRUE,12,AR,2
CYP4F11,Small Intestine,CYP4F11.rds,115,3634,9549,0,1353,0,597.852173913044,152,5.44301227213351e-09,4.70024662188627,0.000881317121468328,-147.142099574054,-140.824027035555,-162.538590270011,-162.538590270011,1,1,0,0,27,7,7,25.9259259259259,20,74.0740740740741,7,1,7,0,0,7,25.9259259259259,100,0,0,7,7,0,100,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,0,1,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,1,-153.479524016651,1.82676225258209,-2.87348436930418,-141.294582377952,TRUE,0,0,1,0.877216372294476,0.110287473519211,0.0124961541863122,0.877216372294477,0.110287473519211,0.0124961541863122,9,9,33.3333333333333,1,1,7,9,0.777777777777778,100,77.7777777777778,1,7,TRUE,FALSE,FALSE,TRUE,TRUE,12,R,1
CYP4F11,Thyroid,CYP4F11.rds,390,3634,10316,0,586,0,430.664102564103,265.5,3.94127977879645e-49,25.3952209268289,0.000995592114350075,-407.424858982383,-378.170019641492,-551.360339796089,-551.360339796089,2,2,0,0,15,12,12,80,3,20,12,2,12,10,66.6666666666667,2,13.3333333333333,16.6666666666667,10,0,2,2,0,16.6666666666667,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,1,1,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,2,-404.176625806277,21.2982079735548,-4.09701295327415,-378.170785584007,TRUE,1,0,1,0.964639408422988,0.0336120560203614,0.00174853555665088,0.964639408422988,0.0336120560203614,0.00174853555665088,12,12,80,10,2,12,12,1,100,100,2,12,TRUE,TRUE,TRUE,TRUE,TRUE,12,AR,2
