tissue,total_weighted_cs,classified_weighted_cs,additive_cs,dominant_cs,recessive_cs,unclassified_cs,nonadditive_cs,additive_proportion,additive_ci_lower,additive_ci_upper,additive_odds_ratio,fisher_p_value,additive_percentage,additive_ci_lower_percentage,additive_ci_upper_percentage,overall_additive_percentage,additive_difference_percentage_points,fisher_fdr
Pituitary,452,452,449,3,0,0,3,0.993362831858407,0.98067009832301,0.997740248892544,3.96264493225993,0.00532428614080635,99.3362831858407,98.067009832301,99.7740248892544,97.4997710413042,1.83651214453656,0.0718778629008858
Esophagus,391,391,386,4,1,0,5,0.987212276214834,0.970418447697022,0.994525814078234,2.01648025792156,0.136137425083668,98.7212276214834,97.0418447697022,99.4525814078234,97.4997710413042,1.22145658017923,0.406610573461049
Nerve,1140,1140,1123,16,1,0,17,0.985087719298246,0.976248314297033,0.990668902657396,1.77573514305567,0.0206018547352137,98.5087719298246,97.6248314297033,99.0668902657396,97.4997710413042,1.00900088852041,0.139062519462693
Thyroid,1220,1220,1198,20,2,0,22,0.981967213114754,0.972847141277773,0.988061636182018,1.44662141393429,0.118544433734631,98.1967213114754,97.2847141277773,98.8061636182018,97.4997710413042,0.696950270171259,0.406610573461049
Spleen,378,378,371,6,1,0,7,0.981481481481481,0.96227391077699,0.991001307488211,1.3720453513646,0.503712449167319,98.1481481481482,96.227391077699,99.1001307488211,97.4997710413042,0.648377106844,0.85001475796985
Muscle,779,779,764,13,2,0,15,0.980744544287548,0.968474210459503,0.988296782645954,1.32978564785933,0.340423469788113,98.0744544287548,96.8474210459503,98.8296782645954,97.4997710413042,0.574683387450659,0.656530977448504
Breast,363,363,356,5,2,0,7,0.980716253443526,0.960736420613619,0.990628240081904,1.31465374771983,0.607686585251026,98.0716253443526,96.0736420613619,99.0628240081904,97.4997710413042,0.571854303048469,0.8720754828276
Pancreas,311,311,305,6,0,0,6,0.980707395498392,0.958555562599092,0.991128767793635,1.31247146265349,0.710580023044711,98.0707395498392,95.8555562599092,99.1128767793635,97.4997710413042,0.570968508535075,0.8720754828276
Lung,494,494,484,9,1,0,10,0.979757085020243,0.963142337407644,0.988968001339212,1.25261474976279,0.656587074601917,97.9757085020243,96.3142337407644,98.8968001339212,97.4997710413042,0.475937460720144,0.8720754828276
Colon,469,469,459,8,2,0,10,0.978678038379531,0.961200424853928,0.988377899178494,1.18499893538438,0.761590647963658,97.8678038379531,96.1200424853928,98.8377899178494,97.4997710413042,0.368032796648943,0.894041195435598
Testis,681,681,666,13,2,0,15,0.977973568281938,0.963977941738076,0.986607031784161,1.14781052738509,0.704082999037952,97.7973568281939,96.3977941738076,98.6607031784161,97.4997710413042,0.297585786889687,0.8720754828276
