tissue,coding_pattern,count,total_gene_tissue_pairs,percentage
Adipose Tissue,none,0,636,0
Adipose Tissue,A,613,636,96.3836477987421
Adipose Tissue,R,0,636,0
Adipose Tissue,D,7,636,1.10062893081761
Adipose Tissue,AR,3,636,0.471698113207547
Adipose Tissue,AD,13,636,2.0440251572327
Adipose Tissue,RD,0,636,0
Adipose Tissue,ADR,0,636,0
Adrenal Gland,none,0,200,0
Adrenal Gland,A,194,200,97
Adrenal Gland,R,0,200,0
Adrenal Gland,D,4,200,2
Adrenal Gland,AR,1,200,0.5
Adrenal Gland,AD,1,200,0.5
Adrenal Gland,RD,0,200,0
Adrenal Gland,ADR,0,200,0
Blood,none,0,297,0
Blood,A,260,297,87.5420875420875
Blood,R,2,297,0.673400673400673
Blood,D,24,297,8.08080808080808
Blood,AR,5,297,1.68350168350168
Blood,AD,6,297,2.02020202020202
Blood,RD,0,297,0
Blood,ADR,0,297,0
Blood Vessel,none,0,699,0
Blood Vessel,A,679,699,97.1387696709585
Blood Vessel,R,1,699,0.143061516452074
Blood Vessel,D,14,699,2.00286123032904
Blood Vessel,AR,2,699,0.286123032904149
Blood Vessel,AD,3,699,0.429184549356223
Blood Vessel,RD,0,699,0
Blood Vessel,ADR,0,699,0
Brain,none,0,120,0
Brain,A,112,120,93.3333333333333
Brain,R,0,120,0
Brain,D,7,120,5.83333333333333
Brain,AR,0,120,0
Brain,AD,1,120,0.833333333333333
Brain,RD,0,120,0
Brain,ADR,0,120,0
Breast,none,0,311,0
Breast,A,304,311,97.7491961414791
Breast,R,0,311,0
Breast,D,4,311,1.28617363344051
Breast,AR,2,311,0.643086816720257
Breast,AD,1,311,0.321543408360129
Breast,RD,0,311,0
Breast,ADR,0,311,0
Colon,none,0,401,0
Colon,A,391,401,97.5062344139651
Colon,R,1,401,0.249376558603491
Colon,D,6,401,1.49625935162095
Colon,AR,1,401,0.249376558603491
Colon,AD,2,401,0.498753117206983
Colon,RD,0,401,0
Colon,ADR,0,401,0
Esophagus,none,0,333,0
Esophagus,A,328,333,98.4984984984985
Esophagus,R,1,333,0.3003003003003
Esophagus,D,4,333,1.2012012012012
Esophagus,AR,0,333,0
Esophagus,AD,0,333,0
Esophagus,RD,0,333,0
Esophagus,ADR,0,333,0
Heart,none,0,257,0
Heart,A,249,257,96.8871595330739
Heart,R,0,257,0
Heart,D,6,257,2.33463035019455
Heart,AR,0,257,0
Heart,AD,2,257,0.778210116731518
Heart,RD,0,257,0
Heart,ADR,0,257,0
Kidney,none,0,22,0
Kidney,A,20,22,90.9090909090909
Kidney,R,0,22,0
Kidney,D,2,22,9.09090909090909
Kidney,AR,0,22,0
Kidney,AD,0,22,0
Kidney,RD,0,22,0
Kidney,ADR,0,22,0
Liver,none,0,182,0
Liver,A,174,182,95.6043956043956
Liver,R,0,182,0
Liver,D,8,182,4.3956043956044
Liver,AR,0,182,0
Liver,AD,0,182,0
Liver,RD,0,182,0
Liver,ADR,0,182,0
Lung,none,0,418,0
Lung,A,409,418,97.8468899521531
Lung,R,0,418,0
Lung,D,8,418,1.91387559808612
Lung,AR,1,418,0.239234449760766
Lung,AD,0,418,0
Lung,RD,0,418,0
Lung,ADR,0,418,0
Muscle,none,0,628,0
