tissue,model,analysis_set,distance_to_tss_kb,bin_lower_kb,bin_upper_kb,count,proportion,percentage,n_cs_total,n_cs_in_window
Adipose Tissue,SuSiE,CSs without a shared biological lead SNP,-200,-205,-195,0,0,0,33,29
Adipose Tissue,SuSiE,CSs without a shared biological lead SNP,-190,-195,-185,0,0,0,33,29
Adipose Tissue,SuSiE,CSs without a shared biological lead SNP,-180,-185,-175,0,0,0,33,29
Adipose Tissue,SuSiE,CSs without a shared biological lead SNP,-170,-175,-165,0,0,0,33,29
Adipose Tissue,SuSiE,CSs without a shared biological lead SNP,-160,-165,-155,0,0,0,33,29
Adipose Tissue,SuSiE,CSs without a shared biological lead SNP,-150,-155,-145,0,0,0,33,29
Adipose Tissue,SuSiE,CSs without a shared biological lead SNP,-140,-145,-135,0,0,0,33,29
Adipose Tissue,SuSiE,CSs without a shared biological lead SNP,-130,-135,-125,1,0.0344827586206897,3.44827586206897,33,29
Adipose Tissue,SuSiE,CSs without a shared biological lead SNP,-120,-125,-115,2,0.0689655172413793,6.89655172413793,33,29
Adipose Tissue,SuSiE,CSs without a shared biological lead SNP,-110,-115,-105,0,0,0,33,29
Adipose Tissue,SuSiE,CSs without a shared biological lead SNP,-100,-105,-95,1,0.0344827586206897,3.44827586206897,33,29
Adipose Tissue,SuSiE,CSs without a shared biological lead SNP,-90,-95,-85,2,0.0689655172413793,6.89655172413793,33,29
Adipose Tissue,SuSiE,CSs without a shared biological lead SNP,-80,-85,-75,1,0.0344827586206897,3.44827586206897,33,29
Adipose Tissue,SuSiE,CSs without a shared biological lead SNP,-70,-75,-65,0,0,0,33,29
Adipose Tissue,SuSiE,CSs without a shared biological lead SNP,-60,-65,-55,0,0,0,33,29
Adipose Tissue,SuSiE,CSs without a shared biological lead SNP,-50,-55,-45,0,0,0,33,29
Adipose Tissue,SuSiE,CSs without a shared biological lead SNP,-40,-45,-35,0,0,0,33,29
Adipose Tissue,SuSiE,CSs without a shared biological lead SNP,-30,-35,-25,1,0.0344827586206897,3.44827586206897,33,29
Adipose Tissue,SuSiE,CSs without a shared biological lead SNP,-20,-25,-15,2,0.0689655172413793,6.89655172413793,33,29
Adipose Tissue,SuSiE,CSs without a shared biological lead SNP,-10,-15,-5,1,0.0344827586206897,3.44827586206897,33,29
Adipose Tissue,SuSiE,CSs without a shared biological lead SNP,0,-5,5,4,0.137931034482759,13.7931034482759,33,29
Adipose Tissue,SuSiE,CSs without a shared biological lead SNP,10,5,15,2,0.0689655172413793,6.89655172413793,33,29
Adipose Tissue,SuSiE,CSs without a shared biological lead SNP,20,15,25,3,0.103448275862069,10.3448275862069,33,29
Adipose Tissue,SuSiE,CSs without a shared biological lead SNP,30,25,35,4,0.137931034482759,13.7931034482759,33,29
Adipose Tissue,SuSiE,CSs without a shared biological lead SNP,40,35,45,1,0.0344827586206897,3.44827586206897,33,29
Adipose Tissue,SuSiE,CSs without a shared biological lead SNP,50,45,55,2,0.0689655172413793,6.89655172413793,33,29
Adipose Tissue,SuSiE,CSs without a shared biological lead SNP,60,55,65,0,0,0,33,29
Adipose Tissue,SuSiE,CSs without a shared biological lead SNP,70,65,75,0,0,0,33,29
Adipose Tissue,SuSiE,CSs without a shared biological lead SNP,80,75,85,0,0,0,33,29
Adipose Tissue,SuSiE,CSs without a shared biological lead SNP,90,85,95,0,0,0,33,29
Adipose Tissue,SuSiE,CSs without a shared biological lead SNP,100,95,105,1,0.0344827586206897,3.44827586206897,33,29
Adipose Tissue,SuSiE,CSs without a shared biological lead SNP,110,105,115,0,0,0,33,29
Adipose Tissue,SuSiE,CSs without a shared biological lead SNP,120,115,125,0,0,0,33,29
Adipose Tissue,SuSiE,CSs without a shared biological lead SNP,130,125,135,0,0,0,33,29
Adipose Tissue,SuSiE,CSs without a shared biological lead SNP,140,135,145,0,0,0,33,29
Adipose Tissue,SuSiE,CSs without a shared biological lead SNP,150,145,155,1,0.0344827586206897,3.44827586206897,33,29
Adipose Tissue,SuSiE,CSs without a shared biological lead SNP,160,155,165,0,0,0,33,29
Adipose Tissue,SuSiE,CSs without a shared biological lead SNP,170,165,175,0,0,0,33,29
Adipose Tissue,SuSiE,CSs without a shared biological lead SNP,180,175,185,0,0,0,33,29
Adipose Tissue,SuSiE,CSs without a shared biological lead SNP,190,185,195,0,0,0,33,29
Adipose Tissue,SuSiE,CSs without a shared biological lead SNP,200,195,205,0,0,0,33,29
Adipose Tissue,Weighted SuSiE-mix,CSs without a shared biological lead SNP,-200,-205,-195,0,0,0,30,25
Adipose Tissue,Weighted SuSiE-mix,CSs without a shared biological lead SNP,-190,-195,-185,0,0,0,30,25
Adipose Tissue,Weighted SuSiE-mix,CSs without a shared biological lead SNP,-180,-185,-175,0,0,0,30,25
Adipose Tissue,Weighted SuSiE-mix,CSs without a shared biological lead SNP,-170,-175,-165,0,0,0,30,25
Adipose Tissue,Weighted SuSiE-mix,CSs without a shared biological lead SNP,-160,-165,-155,0,0,0,30,25
Adipose Tissue,Weighted SuSiE-mix,CSs without a shared biological lead SNP,-150,-155,-145,0,0,0,30,25
Adipose Tissue,Weighted SuSiE-mix,CSs without a shared biological lead SNP,-140,-145,-135,0,0,0,30,25
Adipose Tissue,Weighted SuSiE-mix,CSs without a shared biological lead SNP,-130,-135,-125,0,0,0,30,25
Adipose Tissue,Weighted SuSiE-mix,CSs without a shared biological lead SNP,-120,-125,-115,1,0.04,4,30,25
Adipose Tissue,Weighted SuSiE-mix,CSs without a shared biological lead SNP,-110,-115,-105,0,0,0,30,25
Adipose Tissue,Weighted SuSiE-mix,CSs without a shared biological lead SNP,-100,-105,-95,1,0.04,4,30,25
Adipose Tissue,Weighted SuSiE-mix,CSs without a shared biological lead SNP,-90,-95,-85,1,0.04,4,30,25
Adipose Tissue,Weighted SuSiE-mix,CSs without a shared biological lead SNP,-80,-85,-75,2,0.08,8,30,25
Adipose Tissue,Weighted SuSiE-mix,CSs without a shared biological lead SNP,-70,-75,-65,3,0.12,12,30,25
Adipose Tissue,Weighted SuSiE-mix,CSs without a shared biological lead SNP,-60,-65,-55,1,0.04,4,30,25
Adipose Tissue,Weighted SuSiE-mix,CSs without a shared biological lead SNP,-50,-55,-45,0,0,0,30,25
Adipose Tissue,Weighted SuSiE-mix,CSs without a shared biological lead SNP,-40,-45,-35,1,0.04,4,30,25
Adipose Tissue,Weighted SuSiE-mix,CSs without a shared biological lead SNP,-30,-35,-25,1,0.04,4,30,25
Adipose Tissue,Weighted SuSiE-mix,CSs without a shared biological lead SNP,-20,-25,-15,1,0.04,4,30,25
Adipose Tissue,Weighted SuSiE-mix,CSs without a shared biological lead SNP,-10,-15,-5,3,0.12,12,30,25
Adipose Tissue,Weighted SuSiE-mix,CSs without a shared biological lead SNP,0,-5,5,3,0.12,12,30,25
Adipose Tissue,Weighted SuSiE-mix,CSs without a shared biological lead SNP,10,5,15,1,0.04,4,30,25
Adipose Tissue,Weighted SuSiE-mix,CSs without a shared biological lead SNP,20,15,25,1,0.04,4,30,25
Adipose Tissue,Weighted SuSiE-mix,CSs without a shared biological lead SNP,30,25,35,2,0.08,8,30,25
Adipose Tissue,Weighted SuSiE-mix,CSs without a shared biological lead SNP,40,35,45,0,0,0,30,25
Adipose Tissue,Weighted SuSiE-mix,CSs without a shared biological lead SNP,50,45,55,0,0,0,30,25
Adipose Tissue,Weighted SuSiE-mix,CSs without a shared biological lead SNP,60,55,65,1,0.04,4,30,25
Adipose Tissue,Weighted SuSiE-mix,CSs without a shared biological lead SNP,70,65,75,1,0.04,4,30,25
Adipose Tissue,Weighted SuSiE-mix,CSs without a shared biological lead SNP,80,75,85,0,0,0,30,25
Adipose Tissue,Weighted SuSiE-mix,CSs without a shared biological lead SNP,90,85,95,0,0,0,30,25
Adipose Tissue,Weighted SuSiE-mix,CSs without a shared biological lead SNP,100,95,105,0,0,0,30,25
Adipose Tissue,Weighted SuSiE-mix,CSs without a shared biological lead SNP,110,105,115,0,0,0,30,25
Adipose Tissue,Weighted SuSiE-mix,CSs without a shared biological lead SNP,120,115,125,0,0,0,30,25
Adipose Tissue,Weighted SuSiE-mix,CSs without a shared biological lead SNP,130,125,135,0,0,0,30,25
Adipose Tissue,Weighted SuSiE-mix,CSs without a shared biological lead SNP,140,135,145,0,0,0,30,25
Adipose Tissue,Weighted SuSiE-mix,CSs without a shared biological lead SNP,150,145,155,0,0,0,30,25
Adipose Tissue,Weighted SuSiE-mix,CSs without a shared biological lead SNP,160,155,165,0,0,0,30,25
Adipose Tissue,Weighted SuSiE-mix,CSs without a shared biological lead SNP,170,165,175,0,0,0,30,25
Adipose Tissue,Weighted SuSiE-mix,CSs without a shared biological lead SNP,180,175,185,0,0,0,30,25
Adipose Tissue,Weighted SuSiE-mix,CSs without a shared biological lead SNP,190,185,195,0,0,0,30,25
Adipose Tissue,Weighted SuSiE-mix,CSs without a shared biological lead SNP,200,195,205,1,0.04,4,30,25
Adrenal Gland,SuSiE,CSs without a shared biological lead SNP,-200,-205,-195,0,0,0,6,5
Adrenal Gland,SuSiE,CSs without a shared biological lead SNP,-190,-195,-185,0,0,0,6,5
Adrenal Gland,SuSiE,CSs without a shared biological lead SNP,-180,-185,-175,0,0,0,6,5
Adrenal Gland,SuSiE,CSs without a shared biological lead SNP,-170,-175,-165,0,0,0,6,5
Adrenal Gland,SuSiE,CSs without a shared biological lead SNP,-160,-165,-155,0,0,0,6,5
Adrenal Gland,SuSiE,CSs without a shared biological lead SNP,-150,-155,-145,0,0,0,6,5
Adrenal Gland,SuSiE,CSs without a shared biological lead SNP,-140,-145,-135,0,0,0,6,5
Adrenal Gland,SuSiE,CSs without a shared biological lead SNP,-130,-135,-125,0,0,0,6,5
Adrenal Gland,SuSiE,CSs without a shared biological lead SNP,-120,-125,-115,0,0,0,6,5
Adrenal Gland,SuSiE,CSs without a shared biological lead SNP,-110,-115,-105,0,0,0,6,5
Adrenal Gland,SuSiE,CSs without a shared biological lead SNP,-100,-105,-95,1,0.2,20,6,5
Adrenal Gland,SuSiE,CSs without a shared biological lead SNP,-90,-95,-85,0,0,0,6,5
Adrenal Gland,SuSiE,CSs without a shared biological lead SNP,-80,-85,-75,0,0,0,6,5
Adrenal Gland,SuSiE,CSs without a shared biological lead SNP,-70,-75,-65,0,0,0,6,5
