tissue,model,n_cs_input,n_cs_agreed_excluded,n_cs_different_lead,n_cs_other_model_no_cs,n_cs_unknown_excluded,n_cs_selected,n_selected_missing_distance,n_selected_outside_window,n_cs_in_window
All tissues,SuSiE,11058,10617,441,0,0,441,0,68,373
All tissues,Weighted SuSiE-mix,10919,10617,302,0,0,302,0,32,270
Adipose Tissue,SuSiE,778,745,33,0,0,33,0,4,29
Adipose Tissue,Weighted SuSiE-mix,775,745,30,0,0,30,0,5,25
Adrenal Gland,SuSiE,215,209,6,0,0,6,0,1,5
Adrenal Gland,Weighted SuSiE-mix,213,209,4,0,0,4,0,0,4
Blood,SuSiE,355,328,27,0,0,27,0,3,24
Blood,Weighted SuSiE-mix,350,328,22,0,0,22,0,2,20
Blood Vessel,SuSiE,858,831,27,0,0,27,0,7,20
Blood Vessel,Weighted SuSiE-mix,850,831,19,0,0,19,0,4,15
Brain,SuSiE,133,129,4,0,0,4,0,0,4
Brain,Weighted SuSiE-mix,133,129,4,0,0,4,0,0,4
Breast,SuSiE,368,362,6,0,0,6,0,3,3
Breast,Weighted SuSiE-mix,363,362,1,0,0,1,0,0,1
Colon,SuSiE,475,452,23,0,0,23,0,5,18
Colon,Weighted SuSiE-mix,469,452,17,0,0,17,0,3,14
Esophagus,SuSiE,399,383,16,0,0,16,0,3,13
Esophagus,Weighted SuSiE-mix,391,383,8,0,0,8,0,0,8
Heart,SuSiE,302,286,16,0,0,16,0,1,15
Heart,Weighted SuSiE-mix,293,286,7,0,0,7,0,0,7
Kidney,SuSiE,22,22,0,0,0,0,0,0,0
Kidney,Weighted SuSiE-mix,22,22,0,0,0,0,0,0,0
Liver,SuSiE,191,184,7,0,0,7,0,0,7
Liver,Weighted SuSiE-mix,190,184,6,0,0,6,0,0,6
Lung,SuSiE,498,482,16,0,0,16,0,2,14
Lung,Weighted SuSiE-mix,494,482,12,0,0,12,0,2,10
Muscle,SuSiE,790,748,42,0,0,42,0,9,33
Muscle,Weighted SuSiE-mix,779,748,31,0,0,31,0,2,29
Nerve,SuSiE,1163,1115,48,0,0,48,0,12,36
Nerve,Weighted SuSiE-mix,1140,1115,25,0,0,25,0,3,22
Ovary,SuSiE,119,114,5,0,0,5,0,0,5
Ovary,Weighted SuSiE-mix,118,114,4,0,0,4,0,0,4
Pancreas,SuSiE,317,306,11,0,0,11,0,2,9
Pancreas,Weighted SuSiE-mix,311,306,5,0,0,5,0,1,4
Pituitary,SuSiE,455,447,8,0,0,8,0,2,6
Pituitary,Weighted SuSiE-mix,452,447,5,0,0,5,0,2,3
Prostate,SuSiE,167,165,2,0,0,2,0,0,2
Prostate,Weighted SuSiE-mix,167,165,2,0,0,2,0,0,2
Salivary Gland,SuSiE,125,117,8,0,0,8,0,0,8
Salivary Gland,Weighted SuSiE-mix,123,117,6,0,0,6,0,0,6
Skin,SuSiE,644,609,35,0,0,35,0,4,31
Skin,Weighted SuSiE-mix,633,609,24,0,0,24,0,2,22
Small Intestine,SuSiE,102,98,4,0,0,4,0,0,4
Small Intestine,Weighted SuSiE-mix,102,98,4,0,0,4,0,0,4
Spleen,SuSiE,383,369,14,0,0,14,0,0,14
Spleen,Weighted SuSiE-mix,378,369,9,0,0,9,0,0,9
Stomach,SuSiE,165,162,3,0,0,3,0,0,3
Stomach,Weighted SuSiE-mix,166,162,4,0,0,4,0,1,3
Testis,SuSiE,687,666,21,0,0,21,0,4,17
Testis,Weighted SuSiE-mix,681,666,15,0,0,15,0,1,14
Thyroid,SuSiE,1241,1185,56,0,0,56,0,6,50
Thyroid,Weighted SuSiE-mix,1220,1185,35,0,0,35,0,4,31
Uterus,SuSiE,66,63,3,0,0,3,0,0,3
Uterus,Weighted SuSiE-mix,66,63,3,0,0,3,0,0,3
Vagina,SuSiE,40,40,0,0,0,0,0,0,0
Vagina,Weighted SuSiE-mix,40,40,0,0,0,0,0,0,0
