tissue,model,analysis_set,distance_to_tss_kb,bin_lower_kb,bin_upper_kb,count,proportion,percentage,n_cs_total,n_cs_in_window
All tissues,SuSiE,CSs without a shared biological lead SNP,-200,-205,-195,0,0,0,441,373
All tissues,SuSiE,CSs without a shared biological lead SNP,-190,-195,-185,1,0.00268096514745308,0.268096514745308,441,373
All tissues,SuSiE,CSs without a shared biological lead SNP,-180,-185,-175,3,0.00804289544235925,0.804289544235925,441,373
All tissues,SuSiE,CSs without a shared biological lead SNP,-170,-175,-165,2,0.00536193029490617,0.536193029490617,441,373
All tissues,SuSiE,CSs without a shared biological lead SNP,-160,-165,-155,5,0.0134048257372654,1.34048257372654,441,373
All tissues,SuSiE,CSs without a shared biological lead SNP,-150,-155,-145,3,0.00804289544235925,0.804289544235925,441,373
All tissues,SuSiE,CSs without a shared biological lead SNP,-140,-145,-135,5,0.0134048257372654,1.34048257372654,441,373
All tissues,SuSiE,CSs without a shared biological lead SNP,-130,-135,-125,2,0.00536193029490617,0.536193029490617,441,373
All tissues,SuSiE,CSs without a shared biological lead SNP,-120,-125,-115,7,0.0187667560321716,1.87667560321716,441,373
All tissues,SuSiE,CSs without a shared biological lead SNP,-110,-115,-105,5,0.0134048257372654,1.34048257372654,441,373
All tissues,SuSiE,CSs without a shared biological lead SNP,-100,-105,-95,7,0.0187667560321716,1.87667560321716,441,373
All tissues,SuSiE,CSs without a shared biological lead SNP,-90,-95,-85,7,0.0187667560321716,1.87667560321716,441,373
All tissues,SuSiE,CSs without a shared biological lead SNP,-80,-85,-75,6,0.0160857908847185,1.60857908847185,441,373
All tissues,SuSiE,CSs without a shared biological lead SNP,-70,-75,-65,8,0.0214477211796247,2.14477211796247,441,373
All tissues,SuSiE,CSs without a shared biological lead SNP,-60,-65,-55,7,0.0187667560321716,1.87667560321716,441,373
All tissues,SuSiE,CSs without a shared biological lead SNP,-50,-55,-45,10,0.0268096514745308,2.68096514745308,441,373
All tissues,SuSiE,CSs without a shared biological lead SNP,-40,-45,-35,12,0.032171581769437,3.2171581769437,441,373
All tissues,SuSiE,CSs without a shared biological lead SNP,-30,-35,-25,19,0.0509383378016086,5.09383378016086,441,373
All tissues,SuSiE,CSs without a shared biological lead SNP,-20,-25,-15,25,0.0670241286863271,6.70241286863271,441,373
All tissues,SuSiE,CSs without a shared biological lead SNP,-10,-15,-5,34,0.0911528150134048,9.11528150134048,441,373
All tissues,SuSiE,CSs without a shared biological lead SNP,0,-5,5,47,0.126005361930295,12.6005361930295,441,373
All tissues,SuSiE,CSs without a shared biological lead SNP,10,5,15,30,0.0804289544235925,8.04289544235925,441,373
All tissues,SuSiE,CSs without a shared biological lead SNP,20,15,25,24,0.064343163538874,6.4343163538874,441,373
All tissues,SuSiE,CSs without a shared biological lead SNP,30,25,35,20,0.0536193029490617,5.36193029490617,441,373
All tissues,SuSiE,CSs without a shared biological lead SNP,40,35,45,18,0.0482573726541555,4.82573726541555,441,373
All tissues,SuSiE,CSs without a shared biological lead SNP,50,45,55,10,0.0268096514745308,2.68096514745308,441,373
All tissues,SuSiE,CSs without a shared biological lead SNP,60,55,65,13,0.0348525469168901,3.48525469168901,441,373
All tissues,SuSiE,CSs without a shared biological lead SNP,70,65,75,8,0.0214477211796247,2.14477211796247,441,373
All tissues,SuSiE,CSs without a shared biological lead SNP,80,75,85,4,0.0107238605898123,1.07238605898123,441,373
All tissues,SuSiE,CSs without a shared biological lead SNP,90,85,95,3,0.00804289544235925,0.804289544235925,441,373
All tissues,SuSiE,CSs without a shared biological lead SNP,100,95,105,8,0.0214477211796247,2.14477211796247,441,373
All tissues,SuSiE,CSs without a shared biological lead SNP,110,105,115,3,0.00804289544235925,0.804289544235925,441,373
All tissues,SuSiE,CSs without a shared biological lead SNP,120,115,125,1,0.00268096514745308,0.268096514745308,441,373
All tissues,SuSiE,CSs without a shared biological lead SNP,130,125,135,1,0.00268096514745308,0.268096514745308,441,373
All tissues,SuSiE,CSs without a shared biological lead SNP,140,135,145,6,0.0160857908847185,1.60857908847185,441,373
All tissues,SuSiE,CSs without a shared biological lead SNP,150,145,155,4,0.0107238605898123,1.07238605898123,441,373
All tissues,SuSiE,CSs without a shared biological lead SNP,160,155,165,0,0,0,441,373
All tissues,SuSiE,CSs without a shared biological lead SNP,170,165,175,1,0.00268096514745308,0.268096514745308,441,373
All tissues,SuSiE,CSs without a shared biological lead SNP,180,175,185,1,0.00268096514745308,0.268096514745308,441,373
All tissues,SuSiE,CSs without a shared biological lead SNP,190,185,195,1,0.00268096514745308,0.268096514745308,441,373
All tissues,SuSiE,CSs without a shared biological lead SNP,200,195,205,2,0.00536193029490617,0.536193029490617,441,373
All tissues,Weighted SuSiE-mix,CSs without a shared biological lead SNP,-200,-205,-195,1,0.0037037037037037,0.37037037037037,302,270
All tissues,Weighted SuSiE-mix,CSs without a shared biological lead SNP,-190,-195,-185,2,0.00740740740740741,0.740740740740741,302,270
All tissues,Weighted SuSiE-mix,CSs without a shared biological lead SNP,-180,-185,-175,2,0.00740740740740741,0.740740740740741,302,270
All tissues,Weighted SuSiE-mix,CSs without a shared biological lead SNP,-170,-175,-165,0,0,0,302,270
All tissues,Weighted SuSiE-mix,CSs without a shared biological lead SNP,-160,-165,-155,4,0.0148148148148148,1.48148148148148,302,270
All tissues,Weighted SuSiE-mix,CSs without a shared biological lead SNP,-150,-155,-145,1,0.0037037037037037,0.37037037037037,302,270
All tissues,Weighted SuSiE-mix,CSs without a shared biological lead SNP,-140,-145,-135,1,0.0037037037037037,0.37037037037037,302,270
All tissues,Weighted SuSiE-mix,CSs without a shared biological lead SNP,-130,-135,-125,1,0.0037037037037037,0.37037037037037,302,270
All tissues,Weighted SuSiE-mix,CSs without a shared biological lead SNP,-120,-125,-115,3,0.0111111111111111,1.11111111111111,302,270
All tissues,Weighted SuSiE-mix,CSs without a shared biological lead SNP,-110,-115,-105,8,0.0296296296296296,2.96296296296296,302,270
All tissues,Weighted SuSiE-mix,CSs without a shared biological lead SNP,-100,-105,-95,11,0.0407407407407407,4.07407407407407,302,270
All tissues,Weighted SuSiE-mix,CSs without a shared biological lead SNP,-90,-95,-85,6,0.0222222222222222,2.22222222222222,302,270
All tissues,Weighted SuSiE-mix,CSs without a shared biological lead SNP,-80,-85,-75,5,0.0185185185185185,1.85185185185185,302,270
All tissues,Weighted SuSiE-mix,CSs without a shared biological lead SNP,-70,-75,-65,10,0.037037037037037,3.7037037037037,302,270
All tissues,Weighted SuSiE-mix,CSs without a shared biological lead SNP,-60,-65,-55,5,0.0185185185185185,1.85185185185185,302,270
All tissues,Weighted SuSiE-mix,CSs without a shared biological lead SNP,-50,-55,-45,8,0.0296296296296296,2.96296296296296,302,270
All tissues,Weighted SuSiE-mix,CSs without a shared biological lead SNP,-40,-45,-35,9,0.0333333333333333,3.33333333333333,302,270
All tissues,Weighted SuSiE-mix,CSs without a shared biological lead SNP,-30,-35,-25,8,0.0296296296296296,2.96296296296296,302,270
All tissues,Weighted SuSiE-mix,CSs without a shared biological lead SNP,-20,-25,-15,14,0.0518518518518519,5.18518518518519,302,270
All tissues,Weighted SuSiE-mix,CSs without a shared biological lead SNP,-10,-15,-5,26,0.0962962962962963,9.62962962962963,302,270
All tissues,Weighted SuSiE-mix,CSs without a shared biological lead SNP,0,-5,5,39,0.144444444444444,14.4444444444444,302,270
All tissues,Weighted SuSiE-mix,CSs without a shared biological lead SNP,10,5,15,27,0.1,10,302,270
All tissues,Weighted SuSiE-mix,CSs without a shared biological lead SNP,20,15,25,19,0.0703703703703704,7.03703703703704,302,270
All tissues,Weighted SuSiE-mix,CSs without a shared biological lead SNP,30,25,35,17,0.062962962962963,6.2962962962963,302,270
All tissues,Weighted SuSiE-mix,CSs without a shared biological lead SNP,40,35,45,4,0.0148148148148148,1.48148148148148,302,270
