gene,tissue,min_pv,mean_count,ncs_susie,ncs_weighted_fit_mix,overlap_snp_add_weighted,em_iteration
ACCS,Heart,6.78408874876048e-10,727.468277945619,1,2,19,12
ACTN3,Muscle,3.40645959569417e-41,26467.4570230608,1,2,3,12
APOL4,Esophagus,2.39773385569886e-12,518.131067961165,1,2,7,12
ARMC2,Thyroid,2.1872841642443e-09,399.694871794872,1,2,28,12
BNIPL,Thyroid,1.3928488990061e-21,785.779487179487,1,2,3,12
BORCS7,Nerve,3.62969453598267e-12,1634.00282485876,1,2,5,12
C1GALT1,Thyroid,6.30410132574492e-20,1613.28461538462,1,2,4,12
CCDC110,Thyroid,2.24072539573875e-10,271.453846153846,1,2,4,12
CLEC18A,Blood Vessel,1.79859037865836e-39,149.751111111111,1,2,56,12
CYP27C1,Adipose Tissue,2.65670068034872e-09,140.712765957447,1,2,34,12
CYP4B1,Lung,7.77080736540242e-11,12314.4303405573,1,2,16,12
CYP4F11,Adrenal Gland,3.63507457609726e-18,387.375886524823,1,2,2,12
DAPL1,Thyroid,9.44913871412154e-10,528,1,2,6,12
DDX59,Colon,2.38661247176943e-11,1059.0421686747,1,2,14,12
DHRS4,Skin,1.43806198667831e-09,1034.80459770115,1,2,8,12
DZIP1L,Skin,1.65143422434239e-11,955.802681992337,1,2,12,12
EEPD1,Lung,7.9542146874804e-09,946.383900928793,1,2,37,12
ENOSF1,Muscle,7.55401096112466e-19,1020.46750524109,1,2,16,12
FEM1A,Muscle,3.21337385341155e-15,3298.82809224319,1,2,8,12
FGFR3,Adipose Tissue,2.19751205516727e-11,266.570212765957,1,2,2,12
FYCO1,Nerve,1.4092041283143e-10,5005.53672316384,1,2,3,12
GALNT18,Adipose Tissue,1.41147703041777e-34,2020.14680851064,1,2,1,12
GNB3,Blood Vessel,6.72074890934948e-13,383.06,1,2,1,12
GOLGA8N,Lung,5.02345139721261e-09,307.362229102167,1,2,13,12
GPX3,Thyroid,2.02993517500918e-19,288010.943589744,1,2,3,12
GRIN2A,Blood Vessel,2.54166283265741e-16,114.035555555556,1,2,36,12
GRIN3B,Nerve,2.41049324898691e-12,183.081920903955,1,2,10,12
HAGH,Thyroid,3.0386209386861e-19,2250.09230769231,1,2,13,12
HLA-DMA,Brain,2.0562210585996e-09,563.299610894942,1,2,18,12
HLA-DQB2,Blood,2.98626167991262e-42,653.689655172414,1,2,100,12
HORMAD1,Skin,1.4923289512723e-97,147.235632183908,1,2,24,12
INPP4B,Muscle,2.63782575282103e-10,1565.56184486373,1,2,28,12
ISLR2,Adipose Tissue,7.57524424153367e-09,255.572340425532,1,2,31,12
KCNMA1,Blood,2.16176721510148e-18,716.859770114943,1,2,7,12
LHCGR,Adipose Tissue,7.70913322375086e-10,160.272340425532,1,2,1,12
LRRC15,Stomach,2.22224004730667e-09,219.957671957672,1,2,18,12
MAP1LC3A,Colon,9.33188219183552e-09,3059.49096385542,1,2,200,12
MAP6D1,Blood Vessel,4.88616975331727e-10,154.646666666667,1,2,66,12
MCOLN3,Thyroid,1.52366032450918e-20,532.484615384615,1,2,7,12
MS4A14,Adipose Tissue,2.57125226245913e-16,689.970212765957,1,2,22,12
MZT2A,Blood,9.88652513623137e-09,814.887356321839,1,2,60,12
NBPF10,Colon,2.67700565471913e-25,264.403614457831,1,2,6,12
NPIPA1,Colon,1.71830596922466e-12,1062.27409638554,1,2,1,12
NTPCR,Blood,7.86132106621972e-17,496.301149425287,1,2,30,12
PHYH,Thyroid,1.06400128463652e-15,2797.44358974359,1,2,6,12
PLA2G4C,Nerve,1.44079203341327e-14,786.454802259887,1,2,11,12
PLPP2,Esophagus,6.68649834545338e-11,707.953883495146,1,2,18,12
RAB29,Blood Vessel,4.93572293852723e-11,1945.43333333333,1,2,5,12
SAXO2,Spleen,2.84916280405683e-13,105.650684931507,1,2,4,12
SIGIRR,Nerve,4.86465836645633e-22,1883.68079096045,1,2,4,12
STOX1,Muscle,1.2348002021884e-21,106.077568134172,1,2,10,12
SULT1A1,Nerve,1.75749015434925e-12,1069.00282485876,1,2,65,12
TPSD1,Adipose Tissue,1.35272576691539e-60,337.876595744681,1,2,1,12
UBE2E2,Skin,2.80698824711001e-13,1462.75862068966,1,2,2,12
VWDE,Testis,2.82303394947801e-10,139.800947867299,1,2,37,12
ZFAND2A,Stomach,1.31079331937849e-11,978.322751322751,1,2,95,12
ZNF436,Skin,1.23271322224393e-13,2004.19540229885,1,2,7,12
ZNF780A,Testis,7.05053745848141e-13,858.995260663507,1,2,5,12
ZSCAN21,Blood Vessel,8.54567253365826e-10,277.648888888889,1,2,18,12
