"iteration","source_iteration","source_fit","tissue","pi_add","pi_rec","pi_dom","pip_add","pip_rec","pip_dom","pip_total","n_fits","n_active_fits","n_nonconverged","prior_status","update_method","alpha_add","alpha_rec","alpha_dom","alpha_total","n_components","n_active_components","n_zero_variance_components","mstep_q_gain","source_elbo_sum","n_source_elbo","max_abs_prior_change","n_source_files","n_source_gene_errors","n_source_tissue_errors","created_at"
1,0,"susie_mix","Adipose Tissue",0.617771311671395,0.0879296670550456,0.294299021273559,2162.18985366636,307.751682125059,1030.03918538684,3499.98072117826,17532,3205,0,"estimated","susie_active_component_alpha_v2",2162.19959084989,307.75383469266,1030.04657445746,3500,175320,3500,171820,795.620469641678,-11455718.8676552,17532,0.284437978338062,18468,878,0,"2026-09-13 09:24:54 UTC"
1,0,"susie_mix","Adrenal Gland",0.596384493313067,0.0788873604891446,0.324728146197789,892.241355109101,117.936433583645,485.82039379212,1495.99818248487,17465,1456,0,"estimated","susie_active_component_alpha_v2",892.242287139184,117.936631759595,485.821081101221,1496,174650,1496,173154,336.06450588305,-3425511.04411092,17465,0.263051159979733,18468,878,0,"2026-09-13 09:24:54 UTC"
1,0,"susie_mix","Blood",0.564463789543723,0.108364916557115,0.327171293899161,1319.70912544508,253.353531815728,764.922829908771,2337.98548716957,17543,2196,0,"estimated","susie_active_component_alpha_v2",1319.71633995323,253.357174910536,764.92648513624,2338,175430,2338,173092,396.183712054881,-10555071.8975918,17543,0.23113045621039,18468,878,0,"2026-09-13 09:24:54 UTC"
1,0,"susie_mix","Blood Vessel",0.629657936742411,0.0802474111839713,0.290094652073618,2276.19948915978,290.093873746448,1048.68213607457,3614.9754989808,17535,3297,0,"estimated","susie_active_component_alpha_v2",2276.21344132381,290.094391430056,1048.69216724613,3614.99999999999,175350,3615,171735,888.945018056755,-10947630.6657391,17535,0.296324603409078,18468,878,0,"2026-09-13 09:24:54 UTC"
1,0,"susie_mix","Brain",0.563339711691293,0.104982233778803,0.331678054529903,749.804829646225,139.731112685615,441.463412439443,1330.99935477128,17540,1294,0,"estimated","susie_active_component_alpha_v2",749.805156261112,139.731353159587,441.463490579302,1331,175400,1331,174069,229.816071276061,-6286837.38253407,17540,0.23000637835796,18468,878,0,"2026-09-13 09:24:54 UTC"
1,0,"susie_mix","Breast",0.596633512601004,0.0938542514472081,0.309512235951788,1298.8692312748,204.320543070315,673.806987986007,2176.99676233112,17517,2070,0,"estimated","susie_active_component_alpha_v2",1298.87115693239,204.320705400572,673.808137667042,2177,175170,2177,172993,447.23510416353,-6566608.2880198,17517,0.263300179267671,18468,878,0,"2026-09-13 09:24:54 UTC"
1,0,"susie_mix","Colon",0.594065463904896,0.093756562037556,0.312177974057548,1417.48036742771,223.608308829583,744.867858770863,2385.95653502816,17542,2234,0,"estimated","susie_active_component_alpha_v2",1417.50165374543,223.609401249457,744.888945005108,2386,175420,2386,173034,486.313967261909,-8119633.26157251,17542,0.260732130571562,18468,878,0,"2026-09-13 09:24:54 UTC"
1,0,"susie_mix","Esophagus",0.598361400397622,0.0991652115044144,0.302473388097963,1451.02382400017,240.475478073174,733.495680518772,2424.99498259212,17526,2269,0,"estimated","susie_active_component_alpha_v2",1451.02639596423,240.475637898205,733.49796613756,2425,175260,2425,172835,486.124675797625,-10060222.0894318,17526,0.265028067064289,18468,878,0,"2026-09-13 09:24:54 UTC"
1,0,"susie_mix","Heart",0.583680393961224,0.0976319522683737,0.318687653770402,1240.89736072272,207.564327108124,677.524346205228,2125.98603403607,17523,2003,0,"estimated","susie_active_component_alpha_v2",1240.90451756156,207.565530522562,677.529951915874,2126,175230,2126,173104,409.847748727211,-8051425.89394121,17523,0.250347060627891,18468,878,0,"2026-09-13 09:24:54 UTC"
1,0,"susie_mix","Kidney",0.588538348491814,0.0659393063098994,0.345522345198286,187.743131753808,21.0345803367639,110.221046657457,318.998758748028,17374,315,0,"estimated","susie_active_component_alpha_v2",187.743733168889,21.0346387128579,110.221628118253,319,173740,319,173421,76.6059757181507,-1303845.34151962,17374,0.267394027023434,18468,878,0,"2026-09-13 09:24:54 UTC"
