"name","K","L_add","L_rec","L_dom","all_additive"
"dominant",1,0,0,1,FALSE
"recessive",1,0,1,0,FALSE
"additive",1,1,0,0,FALSE
"dominant",2,0,0,2,FALSE
"recessive_dominant",2,0,1,1,FALSE
"recessive",2,0,2,0,FALSE
"additive_dominant",2,1,0,1,FALSE
"additive_recessive",2,1,1,0,FALSE
"additive",2,2,0,0,FALSE
"dominant",3,0,0,3,FALSE
"recessive_dominant",3,0,1,2,FALSE
"recessive_dominant",3,0,2,1,FALSE
"recessive",3,0,3,0,FALSE
"additive_dominant",3,1,0,2,FALSE
"additive_recessive_dominant",3,1,1,1,FALSE
"additive_recessive",3,1,2,0,FALSE
"additive_dominant",3,2,0,1,FALSE
"additive_recessive",3,2,1,0,FALSE
"additive",3,3,0,0,FALSE
"dominant",4,0,0,4,FALSE
"recessive_dominant",4,0,1,3,FALSE
"recessive_dominant",4,0,2,2,FALSE
"recessive_dominant",4,0,3,1,FALSE
"recessive",4,0,4,0,FALSE
"additive_dominant",4,1,0,3,FALSE
"additive_recessive_dominant",4,1,1,2,FALSE
"additive_recessive_dominant",4,1,2,1,FALSE
"additive_recessive",4,1,3,0,FALSE
"additive_dominant",4,2,0,2,FALSE
"additive_recessive_dominant",4,2,1,1,FALSE
"additive_recessive",4,2,2,0,FALSE
"additive_dominant",4,3,0,1,FALSE
"additive_recessive",4,3,1,0,FALSE
"additive",4,4,0,0,FALSE
"dominant",5,0,0,5,FALSE
"recessive_dominant",5,0,1,4,FALSE
"recessive_dominant",5,0,2,3,FALSE
"recessive_dominant",5,0,3,2,FALSE
"recessive_dominant",5,0,4,1,FALSE
"recessive",5,0,5,0,FALSE
"additive_dominant",5,1,0,4,FALSE
"additive_recessive_dominant",5,1,1,3,FALSE
"additive_recessive_dominant",5,1,2,2,FALSE
"additive_recessive_dominant",5,1,3,1,FALSE
"additive_recessive",5,1,4,0,FALSE
"additive_dominant",5,2,0,3,FALSE
"additive_recessive_dominant",5,2,1,2,FALSE
"additive_recessive_dominant",5,2,2,1,FALSE
"additive_recessive",5,2,3,0,FALSE
"additive_dominant",5,3,0,2,FALSE
"additive_recessive_dominant",5,3,1,1,FALSE
"additive_recessive",5,3,2,0,FALSE
"additive_dominant",5,4,0,1,FALSE
"additive_recessive",5,4,1,0,FALSE
"additive",5,5,0,0,FALSE
