"job_id","schema_version","name","K","L_add","L_rec","L_dom","L_prec","L_pdom","all_additive","n","L","pve","seed_base","reps_per_chunk","chunk","min_maf","hwe_thresh","min_n_rec","slide_min_obs","delta_prec","delta_pdom","output_file"
1,2,"partial_dominant",1,0,0,0,0,1,FALSE,500,10,0.05,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/partial_dominant_add0_rec0_dom0_prec0_pdom1_n500_L10_pve0.05_seed1000000_reps400_chunk1.RData"
2,2,"partial_dominant",1,0,0,0,0,1,FALSE,500,10,0.1,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/partial_dominant_add0_rec0_dom0_prec0_pdom1_n500_L10_pve0.1_seed1000000_reps400_chunk1.RData"
3,2,"partial_dominant",1,0,0,0,0,1,FALSE,500,10,0.2,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/partial_dominant_add0_rec0_dom0_prec0_pdom1_n500_L10_pve0.2_seed1000000_reps400_chunk1.RData"
4,2,"partial_dominant",1,0,0,0,0,1,FALSE,500,10,0.3,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/partial_dominant_add0_rec0_dom0_prec0_pdom1_n500_L10_pve0.3_seed1000000_reps400_chunk1.RData"
5,2,"partial_dominant",1,0,0,0,0,1,FALSE,500,10,0.4,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/partial_dominant_add0_rec0_dom0_prec0_pdom1_n500_L10_pve0.4_seed1000000_reps400_chunk1.RData"
6,2,"partial_recessive",1,0,0,0,1,0,FALSE,500,10,0.05,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/partial_recessive_add0_rec0_dom0_prec1_pdom0_n500_L10_pve0.05_seed1000000_reps400_chunk1.RData"
7,2,"partial_recessive",1,0,0,0,1,0,FALSE,500,10,0.1,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/partial_recessive_add0_rec0_dom0_prec1_pdom0_n500_L10_pve0.1_seed1000000_reps400_chunk1.RData"
8,2,"partial_recessive",1,0,0,0,1,0,FALSE,500,10,0.2,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/partial_recessive_add0_rec0_dom0_prec1_pdom0_n500_L10_pve0.2_seed1000000_reps400_chunk1.RData"
9,2,"partial_recessive",1,0,0,0,1,0,FALSE,500,10,0.3,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/partial_recessive_add0_rec0_dom0_prec1_pdom0_n500_L10_pve0.3_seed1000000_reps400_chunk1.RData"
10,2,"partial_recessive",1,0,0,0,1,0,FALSE,500,10,0.4,1000000,400,1,0.05,1e-08,5,5,-0.5,0.5,"simulation results/slide_v1/chunks/partial_recessive_add0_rec0_dom0_prec1_pdom0_n500_L10_pve0.4_seed1000000_reps400_chunk1.RData"
