"pve","K","any_false_add","any_false_rec","any_false_dom"
0.1,1,0,0,0
0.2,1,0.005,0,0.0025
0.3,1,0.01,0,0.0025
0.4,1,0.01,0,0.0025
0.1,2,0.0100250626566416,0,0
0.2,2,0.0175438596491228,0,0
0.3,2,0.025062656641604,0.0025062656641604,0
0.4,2,0.025062656641604,0.0025062656641604,0.0025062656641604
0.1,3,0.0025,0,0.005
0.2,3,0.015,0,0.005
0.3,3,0.0075,0,0.005
0.4,3,0.02,0,0.0025
0.1,4,0.0025,0,0
0.2,4,0.0075,0,0.005
0.3,4,0.025,0,0.0125
0.4,4,0.0425,0,0.0175
0.1,5,0,0.0025,0.0025
0.2,5,0.005,0,0.005
0.3,5,0.0275,0,0.0075
0.4,5,0.0425,0,0.0075
