"pve","K","true_coding","n_true","n_detected","n_correct","overall","conditional"
0.1,1,"additive",400,69,48,0.12,0.695652173913043
0.2,1,"additive",400,107,90,0.225,0.841121495327103
0.3,1,"additive",400,130,114,0.285,0.876923076923077
0.4,1,"additive",400,152,137,0.3425,0.901315789473684
0.1,2,"additive",1597,107,70,0.0438321853475266,0.654205607476635
0.2,2,"additive",1597,263,226,0.141515341264872,0.859315589353612
0.3,2,"additive",1597,380,343,0.21477770820288,0.902631578947368
0.4,2,"additive",1597,454,417,0.26111458985598,0.918502202643172
0.1,3,"additive",4000,77,47,0.01175,0.61038961038961
0.2,3,"additive",4000,414,329,0.08225,0.794685990338164
0.3,3,"additive",4000,691,572,0.143,0.827785817655572
0.4,3,"additive",4000,928,818,0.2045,0.881465517241379
0.1,4,"additive",8000,64,47,0.005875,0.734375
0.2,4,"additive",8000,499,375,0.046875,0.751503006012024
0.3,4,"additive",8000,1088,914,0.11425,0.840073529411765
0.4,4,"additive",8000,1509,1312,0.164,0.869449966865474
0.1,5,"additive",14000,35,30,0.00214285714285714,0.857142857142857
0.2,5,"additive",14000,562,441,0.0315,0.784697508896797
0.3,5,"additive",14000,1424,1222,0.0872857142857143,0.85814606741573
0.4,5,"additive",14000,2233,1955,0.139642857142857,0.875503806538289
0.1,1,"dominant",400,74,58,0.145,0.783783783783784
0.2,1,"dominant",400,108,91,0.2275,0.842592592592593
0.3,1,"dominant",400,139,125,0.3125,0.899280575539568
0.4,1,"dominant",400,157,143,0.3575,0.910828025477707
0.1,2,"dominant",1597,109,85,0.0532247964934252,0.779816513761468
0.2,2,"dominant",1597,306,262,0.164057608015028,0.856209150326797
0.3,2,"dominant",1597,419,379,0.237319974953037,0.904534606205251
0.4,2,"dominant",1597,516,476,0.298058860363181,0.922480620155039
0.1,3,"dominant",4000,89,68,0.017,0.764044943820225
0.2,3,"dominant",4000,471,364,0.091,0.772823779193206
0.3,3,"dominant",4000,778,656,0.164,0.84318766066838
0.4,3,"dominant",4000,995,892,0.223,0.896482412060302
0.1,4,"dominant",8000,79,50,0.00625,0.632911392405063
0.2,4,"dominant",8000,605,508,0.0635,0.839669421487603
0.3,4,"dominant",8000,1168,1012,0.1265,0.866438356164384
0.4,4,"dominant",8000,1583,1445,0.180625,0.91282375236892
0.1,5,"dominant",14000,46,30,0.00214285714285714,0.652173913043478
0.2,5,"dominant",14000,637,532,0.038,0.835164835164835
0.3,5,"dominant",14000,1707,1480,0.105714285714286,0.867018160515524
0.4,5,"dominant",14000,2542,2273,0.162357142857143,0.894177812745869
0.1,1,"recessive",400,68,67,0.1675,0.985294117647059
0.2,1,"recessive",400,98,98,0.245,1
0.3,1,"recessive",400,122,122,0.305,1
0.4,1,"recessive",400,141,141,0.3525,1
0.1,2,"recessive",1600,118,118,0.07375,1
0.2,2,"recessive",1600,316,316,0.1975,1
0.3,2,"recessive",1600,421,421,0.263125,1
0.4,2,"recessive",1600,494,494,0.30875,1
0.1,3,"recessive",4000,120,116,0.029,0.966666666666667
0.2,3,"recessive",4000,575,569,0.14225,0.989565217391304
0.3,3,"recessive",4000,873,868,0.217,0.994272623138603
0.4,3,"recessive",4000,1082,1082,0.2705,1
0.1,4,"recessive",8000,74,67,0.008375,0.905405405405405
0.2,4,"recessive",8000,747,747,0.093375,1
0.3,4,"recessive",8000,1475,1472,0.184,0.997966101694915
0.4,4,"recessive",8000,1840,1836,0.2295,0.997826086956522
0.1,5,"recessive",14000,93,89,0.00635714285714286,0.956989247311828
0.2,5,"recessive",14000,734,720,0.0514285714285714,0.980926430517711
0.3,5,"recessive",14000,1924,1913,0.136642857142857,0.994282744282744
0.4,5,"recessive",14000,2752,2751,0.1965,0.999636627906977
