"scenario","pve","K","true_coding","called_coding","count"
"Additive only",0.1,1,"additive","additive",48
"Additive only",0.1,1,"additive","recessive",0
"Additive only",0.1,1,"additive","dominant",12
"Additive only",0.1,1,"additive","ambiguous",9
"Additive only",0.1,1,"additive","undetected",331
"Additive only",0.1,1,"recessive","additive",0
"Additive only",0.1,1,"recessive","recessive",0
"Additive only",0.1,1,"recessive","dominant",0
"Additive only",0.1,1,"recessive","ambiguous",0
"Additive only",0.1,1,"recessive","undetected",0
"Additive only",0.1,1,"dominant","additive",0
"Additive only",0.1,1,"dominant","recessive",0
"Additive only",0.1,1,"dominant","dominant",0
"Additive only",0.1,1,"dominant","ambiguous",0
"Additive only",0.1,1,"dominant","undetected",0
"Dominant only",0.1,1,"additive","additive",0
"Dominant only",0.1,1,"additive","recessive",0
"Dominant only",0.1,1,"additive","dominant",0
"Dominant only",0.1,1,"additive","ambiguous",0
"Dominant only",0.1,1,"additive","undetected",0
"Dominant only",0.1,1,"recessive","additive",0
"Dominant only",0.1,1,"recessive","recessive",0
"Dominant only",0.1,1,"recessive","dominant",0
"Dominant only",0.1,1,"recessive","ambiguous",0
"Dominant only",0.1,1,"recessive","undetected",0
"Dominant only",0.1,1,"dominant","additive",7
"Dominant only",0.1,1,"dominant","recessive",0
"Dominant only",0.1,1,"dominant","dominant",58
"Dominant only",0.1,1,"dominant","ambiguous",9
"Dominant only",0.1,1,"dominant","undetected",326
"Recessive only",0.1,1,"additive","additive",0
"Recessive only",0.1,1,"additive","recessive",0
"Recessive only",0.1,1,"additive","dominant",0
"Recessive only",0.1,1,"additive","ambiguous",0
"Recessive only",0.1,1,"additive","undetected",0
"Recessive only",0.1,1,"recessive","additive",1
"Recessive only",0.1,1,"recessive","recessive",67
"Recessive only",0.1,1,"recessive","dominant",0
"Recessive only",0.1,1,"recessive","ambiguous",0
"Recessive only",0.1,1,"recessive","undetected",332
"Recessive only",0.1,1,"dominant","additive",0
"Recessive only",0.1,1,"dominant","recessive",0
"Recessive only",0.1,1,"dominant","dominant",0
"Recessive only",0.1,1,"dominant","ambiguous",0
"Recessive only",0.1,1,"dominant","undetected",0
"Additive only",0.2,1,"additive","additive",90
"Additive only",0.2,1,"additive","recessive",0
"Additive only",0.2,1,"additive","dominant",6
"Additive only",0.2,1,"additive","ambiguous",11
"Additive only",0.2,1,"additive","undetected",293
"Additive only",0.2,1,"recessive","additive",0
"Additive only",0.2,1,"recessive","recessive",0
"Additive only",0.2,1,"recessive","dominant",0
"Additive only",0.2,1,"recessive","ambiguous",0
"Additive only",0.2,1,"recessive","undetected",0
"Additive only",0.2,1,"dominant","additive",0
"Additive only",0.2,1,"dominant","recessive",0
"Additive only",0.2,1,"dominant","dominant",0
"Additive only",0.2,1,"dominant","ambiguous",0
"Additive only",0.2,1,"dominant","undetected",0
"Dominant only",0.2,1,"additive","additive",0
"Dominant only",0.2,1,"additive","recessive",0
"Dominant only",0.2,1,"additive","dominant",0
"Dominant only",0.2,1,"additive","ambiguous",0
"Dominant only",0.2,1,"additive","undetected",0
"Dominant only",0.2,1,"recessive","additive",0
"Dominant only",0.2,1,"recessive","recessive",0
"Dominant only",0.2,1,"recessive","dominant",0
"Dominant only",0.2,1,"recessive","ambiguous",0
"Dominant only",0.2,1,"recessive","undetected",0
"Dominant only",0.2,1,"dominant","additive",6
"Dominant only",0.2,1,"dominant","recessive",0
"Dominant only",0.2,1,"dominant","dominant",91
"Dominant only",0.2,1,"dominant","ambiguous",11
"Dominant only",0.2,1,"dominant","undetected",292
"Recessive only",0.2,1,"additive","additive",0
"Recessive only",0.2,1,"additive","recessive",0
"Recessive only",0.2,1,"additive","dominant",0
"Recessive only",0.2,1,"additive","ambiguous",0
"Recessive only",0.2,1,"additive","undetected",0
"Recessive only",0.2,1,"recessive","additive",0
"Recessive only",0.2,1,"recessive","recessive",98
"Recessive only",0.2,1,"recessive","dominant",0
"Recessive only",0.2,1,"recessive","ambiguous",0
"Recessive only",0.2,1,"recessive","undetected",302
"Recessive only",0.2,1,"dominant","additive",0
"Recessive only",0.2,1,"dominant","recessive",0
"Recessive only",0.2,1,"dominant","dominant",0
"Recessive only",0.2,1,"dominant","ambiguous",0
"Recessive only",0.2,1,"dominant","undetected",0
"Additive only",0.3,1,"additive","additive",114
"Additive only",0.3,1,"additive","recessive",0
"Additive only",0.3,1,"additive","dominant",5
"Additive only",0.3,1,"additive","ambiguous",11
"Additive only",0.3,1,"additive","undetected",270
"Additive only",0.3,1,"recessive","additive",0
"Additive only",0.3,1,"recessive","recessive",0
"Additive only",0.3,1,"recessive","dominant",0
"Additive only",0.3,1,"recessive","ambiguous",0
"Additive only",0.3,1,"recessive","undetected",0
"Additive only",0.3,1,"dominant","additive",0
"Additive only",0.3,1,"dominant","recessive",0
"Additive only",0.3,1,"dominant","dominant",0
"Additive only",0.3,1,"dominant","ambiguous",0
"Additive only",0.3,1,"dominant","undetected",0
"Dominant only",0.3,1,"additive","additive",0
