"scenario","pve","K","coding","threshold","n_calls","n_correct","n_wrong_coding","n_wrong_snp","n_true","precision","recall","fdp"
"Additive + Dominant",0.1,2,"additive",0,928421,399,399,927623,399,0.000429761929124826,1,0.999570238070875
"Additive + Dominant",0.1,2,"additive",0.1,511,130,53,328,399,0.25440313111546,0.325814536340852,0.74559686888454
"Additive + Dominant",0.1,2,"additive",0.5,54,38,5,11,399,0.703703703703704,0.0952380952380952,0.296296296296296
"Additive + Dominant",0.1,2,"additive",0.8,15,12,0,3,399,0.8,0.0300751879699248,0.2
"Additive + Dominant",0.1,2,"additive",0.9,9,8,0,1,399,0.888888888888889,0.0200501253132832,0.111111111111111
"Additive + Dominant",0.1,2,"additive",0.95,7,6,0,1,399,0.857142857142857,0.0150375939849624,0.142857142857143
"Additive + Dominant",0.1,2,"additive",0.99,2,2,0,0,399,1,0.0050125313283208,0
"Additive + Dominant",0.1,2,"additive",1,0,0,0,0,399,NA,0,NA
"Additive + Dominant",0.1,2,"recessive",0,765050,0,648,764402,0,0,NA,1
"Additive + Dominant",0.1,2,"recessive",0.1,26,0,4,22,0,0,NA,1
"Additive + Dominant",0.1,2,"recessive",0.5,2,0,1,1,0,0,NA,1
"Additive + Dominant",0.1,2,"recessive",0.8,1,0,1,0,0,0,NA,1
"Additive + Dominant",0.1,2,"recessive",0.9,0,0,0,0,0,NA,NA,NA
"Additive + Dominant",0.1,2,"recessive",0.95,0,0,0,0,0,NA,NA,NA
"Additive + Dominant",0.1,2,"recessive",0.99,0,0,0,0,0,NA,NA,NA
"Additive + Dominant",0.1,2,"recessive",1,0,0,0,0,0,NA,NA,NA
"Additive + Dominant",0.1,2,"dominant",0,928421,399,399,927623,399,0.000429761929124826,1,0.999570238070875
"Additive + Dominant",0.1,2,"dominant",0.1,550,145,57,348,399,0.263636363636364,0.363408521303258,0.736363636363636
"Additive + Dominant",0.1,2,"dominant",0.5,57,38,8,11,399,0.666666666666667,0.0952380952380952,0.333333333333333
"Additive + Dominant",0.1,2,"dominant",0.8,18,16,0,2,399,0.888888888888889,0.0401002506265664,0.111111111111111
"Additive + Dominant",0.1,2,"dominant",0.9,12,11,0,1,399,0.916666666666667,0.0275689223057644,0.0833333333333333
"Additive + Dominant",0.1,2,"dominant",0.95,7,7,0,0,399,1,0.0175438596491228,0
"Additive + Dominant",0.1,2,"dominant",0.99,1,1,0,0,399,1,0.0025062656641604,0
"Additive + Dominant",0.1,2,"dominant",1,0,0,0,0,399,NA,0,NA
"Additive + Dominant",0.1,3,"additive",0,1860459,1200,1200,1858059,1200,0.000645002120444471,1,0.999354997879556
"Additive + Dominant",0.1,3,"additive",0.1,846,154,84,608,1200,0.182033096926714,0.128333333333333,0.817966903073286
"Additive + Dominant",0.1,3,"additive",0.5,54,27,6,21,1200,0.5,0.0225,0.5
"Additive + Dominant",0.1,3,"additive",0.8,13,4,2,7,1200,0.307692307692308,0.00333333333333333,0.692307692307692
"Additive + Dominant",0.1,3,"additive",0.9,3,2,0,1,1200,0.666666666666667,0.00166666666666667,0.333333333333333
"Additive + Dominant",0.1,3,"additive",0.95,0,0,0,0,1200,NA,0,NA
"Additive + Dominant",0.1,3,"additive",0.99,0,0,0,0,1200,NA,0,NA
"Additive + Dominant",0.1,3,"additive",1,0,0,0,0,1200,NA,0,NA
"Additive + Dominant",0.1,3,"recessive",0,1533266,0,1960,1531306,0,0,NA,1
"Additive + Dominant",0.1,3,"recessive",0.1,34,0,2,32,0,0,NA,1
"Additive + Dominant",0.1,3,"recessive",0.5,1,0,0,1,0,0,NA,1
"Additive + Dominant",0.1,3,"recessive",0.8,0,0,0,0,0,NA,NA,NA
"Additive + Dominant",0.1,3,"recessive",0.9,0,0,0,0,0,NA,NA,NA
"Additive + Dominant",0.1,3,"recessive",0.95,0,0,0,0,0,NA,NA,NA
"Additive + Dominant",0.1,3,"recessive",0.99,0,0,0,0,0,NA,NA,NA
"Additive + Dominant",0.1,3,"recessive",1,0,0,0,0,0,NA,NA,NA
"Additive + Dominant",0.1,3,"dominant",0,1860459,1200,1200,1858059,1200,0.000645002120444471,1,0.999354997879556
"Additive + Dominant",0.1,3,"dominant",0.1,792,176,78,538,1200,0.222222222222222,0.146666666666667,0.777777777777778
"Additive + Dominant",0.1,3,"dominant",0.5,57,30,16,11,1200,0.526315789473684,0.025,0.473684210526316
"Additive + Dominant",0.1,3,"dominant",0.8,19,12,6,1,1200,0.631578947368421,0.01,0.368421052631579
"Additive + Dominant",0.1,3,"dominant",0.9,10,8,2,0,1200,0.8,0.00666666666666667,0.2
"Additive + Dominant",0.1,3,"dominant",0.95,3,2,1,0,1200,0.666666666666667,0.00166666666666667,0.333333333333333
"Additive + Dominant",0.1,3,"dominant",0.99,0,0,0,0,1200,NA,0,NA
"Additive + Dominant",0.1,3,"dominant",1,0,0,0,0,1200,NA,0,NA
"Additive + Dominant",0.1,4,"additive",0,2791539,2400,2400,2786739,2400,0.000859740809639414,1,0.999140259190361
"Additive + Dominant",0.1,4,"additive",0.1,979,177,89,713,2400,0.180796731358529,0.07375,0.819203268641471
"Additive + Dominant",0.1,4,"additive",0.5,58,35,12,11,2400,0.603448275862069,0.0145833333333333,0.396551724137931
"Additive + Dominant",0.1,4,"additive",0.8,20,18,0,2,2400,0.9,0.0075,0.1
"Additive + Dominant",0.1,4,"additive",0.9,8,8,0,0,2400,1,0.00333333333333333,0
"Additive + Dominant",0.1,4,"additive",0.95,7,7,0,0,2400,1,0.00291666666666667,0
"Additive + Dominant",0.1,4,"additive",0.99,0,0,0,0,2400,NA,0,NA
"Additive + Dominant",0.1,4,"additive",1,0,0,0,0,2400,NA,0,NA
"Additive + Dominant",0.1,4,"recessive",0,2300046,0,3909,2296137,0,0,NA,1
"Additive + Dominant",0.1,4,"recessive",0.1,97,0,4,93,0,0,NA,1
"Additive + Dominant",0.1,4,"recessive",0.5,2,0,0,2,0,0,NA,1
"Additive + Dominant",0.1,4,"recessive",0.8,0,0,0,0,0,NA,NA,NA
"Additive + Dominant",0.1,4,"recessive",0.9,0,0,0,0,0,NA,NA,NA
"Additive + Dominant",0.1,4,"recessive",0.95,0,0,0,0,0,NA,NA,NA
"Additive + Dominant",0.1,4,"recessive",0.99,0,0,0,0,0,NA,NA,NA
"Additive + Dominant",0.1,4,"recessive",1,0,0,0,0,0,NA,NA,NA
"Additive + Dominant",0.1,4,"dominant",0,2791539,2400,2400,2786739,2400,0.000859740809639414,1,0.999140259190361
"Additive + Dominant",0.1,4,"dominant",0.1,927,179,85,663,2400,0.193096008629989,0.0745833333333333,0.806903991370011
"Additive + Dominant",0.1,4,"dominant",0.5,50,28,2,20,2400,0.56,0.0116666666666667,0.44
"Additive + Dominant",0.1,4,"dominant",0.8,13,10,0,3,2400,0.769230769230769,0.00416666666666667,0.230769230769231
"Additive + Dominant",0.1,4,"dominant",0.9,5,4,0,1,2400,0.8,0.00166666666666667,0.2
"Additive + Dominant",0.1,4,"dominant",0.95,1,1,0,0,2400,1,0.000416666666666667,0
"Additive + Dominant",0.1,4,"dominant",0.99,0,0,0,0,2400,NA,0,NA
"Additive + Dominant",0.1,4,"dominant",1,0,0,0,0,2400,NA,0,NA
"Additive + Dominant",0.1,5,"additive",0,3722052,4000,4000,3714052,4000,0.00107467601204927,1,0.998925323987951
"Additive + Dominant",0.1,5,"additive",0.1,1105,180,103,822,4000,0.16289592760181,0.045,0.83710407239819
"Additive + Dominant",0.1,5,"additive",0.5,67,24,14,29,4000,0.358208955223881,0.006,0.641791044776119
"Additive + Dominant",0.1,5,"additive",0.8,10,10,0,0,4000,1,0.0025,0
"Additive + Dominant",0.1,5,"additive",0.9,4,4,0,0,4000,1,0.001,0
"Additive + Dominant",0.1,5,"additive",0.95,4,4,0,0,4000,1,0.001,0
"Additive + Dominant",0.1,5,"additive",0.99,0,0,0,0,4000,NA,0,NA
