"scenario","pve","K","coding","bin","n","sum_pip","n_true","sum_brier","mean_pip","observed_frequency","brier"
"Additive only",0.1,1,"additive",1,929869,449.667532689555,181,173.796704183261,0.000483581593417519,0.000194651074506194,0.000186904503949762
"Dominant only",0.1,1,"additive",1,930411,360.555141796553,0,1.73652463883928,0.000387522440939061,0,1.86640596342829e-06
"Recessive only",0.1,1,"additive",1,930508,402.983499078703,0,0.72845014299587,0.000433079026809768,0,7.8285210121339e-07
"Additive only",0.2,1,"additive",1,929732,415.489955549688,123,118.247233524307,0.000446892174895226,0.000132296188579074,0.00012718421386411
"Dominant only",0.2,1,"additive",1,930464,336.896016915661,0,1.03488782998342,0.0003620731343885,0,1.11222769498166e-06
"Recessive only",0.2,1,"additive",1,930511,402.364588469305,0,0.675870973539159,0.000432412500732721,0,7.26343883671615e-07
"Additive only",0.3,1,"additive",1,929719,405.826797772042,103,98.7521469993496,0.00043650479098743,0.000110786162270536,0.000106217197883823
"Dominant only",0.3,1,"additive",1,931109,338.11817423996,0,0.699388544057545,0.000363134900682906,0,7.51134984258068e-07
"Recessive only",0.3,1,"additive",1,930511,405.483696602811,0,0.683909901880269,0.000435764538627497,0,7.34983145691205e-07
"Additive only",0.4,1,"additive",1,929722,390.606727553737,83,80.2092952974948,0.000420132822019633,8.92739980338209e-05,8.62723430202736e-05
"Dominant only",0.4,1,"additive",1,930489,334.158628255261,0,0.609035265051177,0.000359121524548126,0,6.54532471690882e-07
"Recessive only",0.4,1,"additive",1,930511,407.888266588713,0,0.688921238230342,0.000438348677864865,0,7.40368720230434e-07
"Additive + Dominant",0.1,2,"additive",1,927910,506.257940784945,269,262.52355782121,0.000545589486895222,0.000289898804840987,0.000282919203178336
"Additive + Recessive",0.1,2,"additive",1,930080,504.194695493169,272,263.484629804098,0.000542098201760246,0.00029244796146568,0.000283292436999073
"Additive only",0.1,2,"additive",1,927614,608.068587888716,530,513.3549567144,0.000655518985147611,0.000571358345173747,0.000553414412368075
"Dominant only",0.1,2,"additive",1,928183,433.681770861077,0,3.89792807119792,0.000467237356061334,0,4.19952538583223e-06
"Recessive + Dominant",0.1,2,"additive",1,930416,411.663237145861,0,2.44448466664512,0.000442450728648112,0,2.62730291250916e-06
"Recessive only",0.1,2,"additive",1,928730,388.722431978301,0,0.939165224090001,0.000418552681595621,0,1.01123601486977e-06
"Additive + Dominant",0.2,2,"additive",1,927987,415.784836294951,179,173.336982962235,0.000448050281194619,0.000192890633166197,0.00018678815862963
"Additive + Recessive",0.2,2,"additive",1,929764,406.198712284371,177,170.500072771736,0.000436883674012299,0.000190370889817201,0.000183379946708774
"Additive only",0.2,2,"additive",1,927036,498.978991278566,345,331.481112241954,0.000538252011009891,0.000372153832213636,0.000357570916600816
"Dominant only",0.2,2,"additive",1,928181,316.571142454828,0,2.41749917863868,0.000341066174005746,0,2.60455576944441e-06
"Recessive + Dominant",0.2,2,"additive",1,930431,296.467762544217,0,1.36686293314223,0.000318634871950974,0,1.46906426499357e-06
"Recessive only",0.2,2,"additive",1,930502,296.279623512437,0,0.565549889629085,0.000318408368291994,0,6.0779008495316e-07
"Additive + Dominant",0.3,2,"additive",1,927592,372.455601422651,141,136.386312281415,0.000401529553319402,0.000152006485610053,0.000147032652590164
"Additive + Recessive",0.3,2,"additive",1,929698,381.911435203877,143,137.838040279209,0.000410790853808309,0.000153813388863911,0.000148261091536401
"Additive only",0.3,2,"additive",1,926925,460.929208550608,268,258.271894999465,0.00049726699414797,0.000289128030854708,0.000278633001590706
"Dominant only",0.3,2,"additive",1,928230,285.108348820868,0,1.30255194775177,0.000307152697952951,0,1.40326422088466e-06
"Recessive + Dominant",0.3,2,"additive",1,930469,283.72267549684,0,0.933686149890662,0.000304924372006848,0,1.00345755730783e-06
"Recessive only",0.3,2,"additive",1,929703,303.806306714933,0,0.497903326125423,0.000326777806154152,0,5.35550951352661e-07
"Additive + Dominant",0.4,2,"additive",1,927595,353.620977330583,122,117.666067229882,0.00038122346210424,0.000131522916790194,0.000126850691551682
"Additive + Recessive",0.4,2,"additive",1,929722,361.925571902678,120,115.660693352923,0.000389283648125653,0.000129070840530825,0.000124403524228665
"Additive only",0.4,2,"additive",1,926869,416.819602582019,224,215.894415086239,0.000449707135077361,0.000241673850349942,0.00023292872572741
"Dominant only",0.4,2,"additive",1,928296,273.674745088535,0,0.927828448641434,0.000294814094953048,0,9.99496333757157e-07
"Recessive + Dominant",0.4,2,"additive",1,930477,282.429061864941,0,0.67327098441232,0.000303531481019887,0,7.23576170515037e-07
"Recessive only",0.4,2,"additive",1,928216,302.491138384926,0,0.490691385945835,0.000325884426022527,0,5.28639224001563e-07
"Additive + Dominant",0.1,3,"additive",1,1859613,1563.61097916113,1046,1028.21297488263,0.000840826010122071,0.000562482624072858,0.000552917717225375
"Additive + Recessive",0.1,3,"additive",1,1860423,1490.18333861774,1040,1021.41695319308,0.000800991676956123,0.00055901265464897,0.000549024040873004
"Additive + Recessive + Dominant",0.1,3,"additive",1,930224,731.320452551037,348,343.281779946594,0.000786176719318182,0.000374103441751664,0.000369031308530627
"Additive only",0.1,3,"additive",1,929913,838.821422721259,1029,1007.68882141981,0.000902042903713852,0.00110655512935081,0.00108363773968082
"Dominant only",0.1,3,"additive",1,930268,654.681924124778,0,4.35925271465148,0.000703756255320808,0,4.68601813095956e-06
"Recessive + Dominant",0.1,3,"additive",1,1860787,1238.95938103537,0,6.3228248860545,0.000665825471177181,0,3.39793049180508e-06
"Recessive only",0.1,3,"additive",1,928860,564.612269795295,0,1.74608134356901,0.000607855080200778,0,1.87981110562304e-06
"Additive + Dominant",0.2,3,"additive",1,1858958,1030.16033659365,698,675.33188415813,0.000554160092155738,0.000375479166285629,0.000363285175973922
"Additive + Recessive",0.2,3,"additive",1,1857920,1030.59465736631,685,663.427274692615,0.000554703462671323,0.000368691870478815,0.000357080646471654
"Additive + Recessive + Dominant",0.2,3,"additive",1,929809,460.557182641955,224,219.343885621801,0.000495324504970327,0.000240909692205604,0.000235902089162183
"Additive only",0.2,3,"additive",1,928933,639.274486010962,699,674.164344057487,0.000688181479192753,0.000752476228102565,0.00072574054755024
"Dominant only",0.2,3,"additive",1,930109,380.651421036772,0,4.55945350378534,0.000409254636861671,0,4.90206363317131e-06
"Recessive + Dominant",0.2,3,"additive",1,1860622,691.517885450737,0,5.6986603662702,0.000371659523240474,0,3.06277167864843e-06
"Recessive only",0.2,3,"additive",1,930489,304.533129697124,0,0.871945874471401,0.000327282890713511,0,9.37083484567148e-07
"Additive + Dominant",0.3,3,"additive",1,1858609,873.198255665027,528,511.299063238871,0.000469812777009595,0.000284083419374382,0.000275097701151168
"Additive + Recessive",0.3,3,"additive",1,1858950,908.404116189481,515,499.34129894636,0.000488665169148972,0.000277038112913204,0.000268614701281024
"Additive + Recessive + Dominant",0.3,3,"additive",1,929706,401.816888637645,173,168.195602381066,0.00043219780085064,0.000186080330771233,0.00018091267818113
"Additive only",0.3,3,"additive",1,927576,574.960810225845,541,522.977349899502,0.000619853047325335,0.000583240618558479,0.000563810781973123
"Dominant only",0.3,3,"additive",1,930168,293.245988406631,0,2.96013289440389,0.000315261316672505,0,3.18236371752617e-06
"Recessive + Dominant",0.3,3,"additive",1,1860701,605.986014306431,0,3.25707962375735,0.000325676191019638,0,1.75045836153006e-06
"Recessive only",0.3,3,"additive",1,930507,301.971219384289,0,0.596827432586413,0.000324523318346116,0,6.41400260918416e-07
"Additive + Dominant",0.4,3,"additive",1,1858590,787.867631424603,423,410.961555071789,0.00042390609624748,0.000227591884170258,0.000221114691821106
"Additive + Recessive",0.4,3,"additive",1,1857060,868.615028800358,440,425.368114210085,0.000467736652989326,0.000236933647808902,0.000229054588548612
"Additive + Recessive + Dominant",0.4,3,"additive",1,929692,382.556779156815,145,139.985708981929,0.000411487653068775,0.000155965631628539,0.000150572134623003
"Additive only",0.4,3,"additive",1,928367,507.799164705435,428,414.442701812332,0.000546981058897435,0.000461024573256051,0.00044642119098625
"Dominant only",0.4,3,"additive",1,930258,260.655696463427,0,1.9516024961261,0.000280197210304482,0,2.09791530535196e-06
"Recessive + Dominant",0.4,3,"additive",1,1860815,582.496579967069,0,2.23072190977027,0.000313033041955847,0,1.19878757951235e-06
"Recessive only",0.4,3,"additive",1,930508,305.075637772053,0,0.552444024249337,0.000327859231486514,0,5.93701531044695e-07
"Additive + Dominant",0.1,4,"additive",1,2790560,2808.63427521252,2223,2196.8571423963,0.00100647693481327,0.000796614299638782,0.000787245980160362
"Additive + Recessive",0.1,4,"additive",1,2790897,2680.14251796594,2252,2220.02454614875,0.000960315811714275,0.000806909033188971,0.00079545198054559
"Additive + Recessive + Dominant",0.1,4,"additive",1,2790911,2686.82498393722,1513,1498.74133400455,0.00096270536177514,0.000542116893014503,0.000537007928237248
"Additive only",0.1,4,"additive",1,930036,992.94397030856,1482,1457.52673253894,0.00106764036048987,0.0015934867037405,0.00156717238100347
"Dominant only",0.1,4,"additive",1,930303,835.373320047003,0,4.79982315815332,0.000897958321156659,0,5.15941919799605e-06
"Recessive + Dominant",0.1,4,"additive",1,2790555,2420.30187162346,0,11.9542543323089,0.000867319179024767,0,4.2838268130565e-06
"Recessive only",0.1,4,"additive",1,930481,662.397094209486,0,1.71994412257688,0.000711886749121675,0,1.84844625798579e-06
"Additive + Dominant",0.2,4,"additive",1,2788348,1862.86195363307,1648,1610.00501999917,0.000668088041246312,0.000591030961702054,0.000577404620943717
"Additive + Recessive",0.2,4,"additive",1,2789000,1720.93655272673,1659,1615.83108990653,0.000617044300009583,0.000594836859089279,0.000579358583688251
"Additive + Recessive + Dominant",0.2,4,"additive",1,2789366,1658.44721327598,1121,1100.86549556953,0.000594560632515051,0.000401883438745579,0.000394665130201463
"Additive only",0.2,4,"additive",1,928875,762.985072912059,1098,1065.61367961594,0.000821407695235697,0.00118207509083569,0.00114720891359542
"Dominant only",0.2,4,"additive",1,930008,472.776552572462,0,6.36894114252783,0.000508357511518677,0,6.84826489936413e-06
"Recessive + Dominant",0.2,4,"additive",1,2789385,1170.97522257495,0,12.2042970293314,0.000419796916730729,0,4.37526445052632e-06
"Recessive only",0.2,4,"additive",1,930470,283.044634001142,0,1.13752502308894,0.000304195335691792,0,1.2225273497146e-06
"Additive + Dominant",0.3,4,"additive",1,2787217,1525.44228065723,1247,1215.8975650992,0.000547299431891106,0.00044739968219195,0.000436240725102925
"Additive + Recessive",0.3,4,"additive",1,2787874,1337.62073659991,1224,1188.9521722515,0.000479799566479656,0.000439044232271616,0.000426472707249862
"Additive + Recessive + Dominant",0.3,4,"additive",1,2788622,1251.02943044542,842,821.044256277312,0.000448619221409506,0.00030194124553274,0.000294426514700563
"Additive only",0.3,4,"additive",1,928154,657.439178713153,823,798.035778279183,0.000708329844738215,0.000886706300894033,0.0008598096633524
"Dominant only",0.3,4,"additive",1,930015,335.687356122611,0,5.23109616493168,0.000360948324621228,0,5.62474386427281e-06
"Recessive + Dominant",0.3,4,"additive",1,2788109,816.710866528717,0,8.63200812860407,0.000292926448187182,0,3.09600812902368e-06
"Recessive only",0.3,4,"additive",1,930485,213.25739649336,0,0.544451229068121,0.000229189504928462,0,5.85126282603289e-07
"Additive + Dominant",0.4,4,"additive",1,2786814,1338.57526204072,1044,1014.30567458913,0.000480324579265326,0.000374621341790302,0.000363966046743389
"Additive + Recessive",0.4,4,"additive",1,2787255,1187.2318920476,1025,993.373884150167,0.000425950224162337,0.000367745326495064,0.000356398637422901
"Additive + Recessive + Dominant",0.4,4,"additive",1,2788385,1107.35512163878,680,662.747114411511,0.000397131357986353,0.000243868762742591,0.000237681351180526
"Additive only",0.4,4,"additive",1,927844,602.394092790777,694,671.501320374545,0.000649240705108593,0.000747970564017227,0.000723722220949367
"Dominant only",0.4,4,"additive",1,930107,287.190508960455,0,3.65043160957155,0.000308771473562133,0,3.92474372257337e-06
"Recessive + Dominant",0.4,4,"additive",1,2791122,668.339232795677,0,5.42405635801891,0.000239451816436428,0,1.94332471243425e-06
"Recessive only",0.4,4,"additive",1,930495,206.666447346449,0,0.402936123694502,0.000222103769871358,0,4.33034163208295e-07
"Additive + Dominant",0.1,5,"additive",1,3720947,4511.423605198,3820,3777.9135201144,0.00121243963034088,0.00102662037379194,0.00101530968329148
"Additive + Recessive",0.1,5,"additive",1,3721301,4027.06115140243,3880,3838.00079412903,0.00108216485347528,0.00104264610683199,0.00103135994484967
"Additive + Recessive + Dominant",0.1,5,"additive",1,5581984,6121.20987444777,3892,3861.41444130559,0.0010966011143077,0.000697243130757809,0.000691763796045562
"Additive only",0.1,5,"additive",1,930133,1192.47182470454,1912,1886.76416033353,0.00128204442236168,0.00205562000273079,0.0020284885713479
"Dominant only",0.1,5,"additive",1,930331,1063.36034553791,0,5.41317097440561,0.00114299141438683,0,5.81854305016775e-06
"Recessive + Dominant",0.1,5,"additive",1,3721656,3776.20884478656,0,16.0463578432769,0.00101465821795098,0,4.31161768935036e-06
"Recessive only",0.1,5,"additive",1,930484,806.831763172817,0,2.10993573971629,0.000867109765641125,0,2.26756799656554e-06
"Additive + Dominant",0.2,5,"additive",1,3718072,3348.88003200393,3098,3045.96430990556,0.000900703383905404,0.000833227543737722,0.000819232201502703
"Additive + Recessive",0.2,5,"additive",1,3719122,2928.00440152009,3245,3175.84703938374,0.000787283773299207,0.000872517760912387,0.000853923866811505
"Additive + Recessive + Dominant",0.2,5,"additive",1,5579192,4268.8952338543,3254,3201.21609138826,0.000765145783449342,0.000583238576482043,0.000573777724693515
"Additive only",0.2,5,"additive",1,928973,977.980641414489,1568,1533.17904090079,0.00105275464562962,0.00168788543908165,0.00165040215474592
"Dominant only",0.2,5,"additive",1,929986,689.067833288944,0,7.68467661820186,0.00074094430807447,0,8.26321753037342e-06
"Recessive + Dominant",0.2,5,"additive",1,3721015,2236.22617335362,0,19.0855899077128,0.000600972093193288,0,5.12913543958107e-06
"Recessive only",0.2,5,"additive",1,930459,452.675995051736,0,1.70526967534762,0.000486508266405866,0,1.83271877143176e-06
"Additive + Dominant",0.3,5,"additive",1,3715716,2339.67152628751,2441,2386.8433336924,0.000629669093732543,0.00065693933551434,0.000642364307092469
"Additive + Recessive",0.3,5,"additive",1,3716761,2086.25484875717,2475,2404.1036653251,0.000561309927853089,0.000665902381132389,0.00064682761827438
"Additive + Recessive + Dominant",0.3,5,"additive",1,5576609,2822.60080477696,2490,2434.03986357905,0.000506150028588513,0.000446507904714137,0.000436473108223842
"Additive only",0.3,5,"additive",1,928038,783.787161025206,1235,1203.01725681877,0.000844563650438028,0.00133076447300649,0.00129630172128595
"Dominant only",0.3,5,"additive",1,929868,391.845104675144,0,6.82516584457374,0.000421398633650307,0,7.33992980140594e-06
"Recessive + Dominant",0.3,5,"additive",1,3720900,1206.75149016594,0,15.4519365204659,0.000324317098058519,0,4.15274168090137e-06
"Recessive only",0.3,5,"additive",1,930468,221.597210241189,0,1.09498900907539,0.00023815672354255,0,1.17681533279532e-06
"Additive + Dominant",0.4,5,"additive",1,3714728,2011.68603643545,2005,1959.64673352257,0.000541543293731183,0.00053974342132183,0.00052753438031602
"Additive + Recessive",0.4,5,"additive",1,3715411,1761.65741529119,2006,1943.94123518985,0.000474148732210567,0.000539913350097742,0.000523210281497753
"Additive + Recessive + Dominant",0.4,5,"additive",1,5575465,2288.67263092993,2007,1952.83032987384,0.000410490000552407,0.000359969975598448,0.000350254253210062
"Additive only",0.4,5,"additive",1,927495,710.077859521871,1023,995.856312082687,0.000765586725019403,0.00110297090550353,0.00107370531602077
"Dominant only",0.4,5,"additive",1,929959,283.159297443989,0,4.99272986940797,0.000304485786409927,0,5.36876342871887e-06
