"scenario","configuration","design","all_additive","pve","K","n_replicates"
"Dominant only","add0_rec0_dom1","add0_rec0_dom1",FALSE,0.1,1,400
"Recessive only","add0_rec1_dom0","add0_rec1_dom0",FALSE,0.1,1,400
"Additive only","add1_rec0_dom0","add1_rec0_dom0",FALSE,0.1,1,400
"Dominant only","add0_rec0_dom1","add0_rec0_dom1",FALSE,0.2,1,400
"Recessive only","add0_rec1_dom0","add0_rec1_dom0",FALSE,0.2,1,400
"Additive only","add1_rec0_dom0","add1_rec0_dom0",FALSE,0.2,1,400
"Dominant only","add0_rec0_dom1","add0_rec0_dom1",FALSE,0.3,1,400
"Recessive only","add0_rec1_dom0","add0_rec1_dom0",FALSE,0.3,1,400
"Additive only","add1_rec0_dom0","add1_rec0_dom0",FALSE,0.3,1,400
"Dominant only","add0_rec0_dom1","add0_rec0_dom1",FALSE,0.4,1,400
"Recessive only","add0_rec1_dom0","add0_rec1_dom0",FALSE,0.4,1,400
"Additive only","add1_rec0_dom0","add1_rec0_dom0",FALSE,0.4,1,400
"Dominant only","add0_rec0_dom2","add0_rec0_dom2",FALSE,0.1,2,399
"Recessive + Dominant","add0_rec1_dom1","add0_rec1_dom1",FALSE,0.1,2,400
"Recessive only","add0_rec2_dom0","add0_rec2_dom0",FALSE,0.1,2,400
"Additive + Dominant","add1_rec0_dom1","add1_rec0_dom1",FALSE,0.1,2,399
"Additive + Recessive","add1_rec1_dom0","add1_rec1_dom0",FALSE,0.1,2,400
"Additive only","add2_rec0_dom0","add2_rec0_dom0",FALSE,0.1,2,399
"Dominant only","add0_rec0_dom2","add0_rec0_dom2",FALSE,0.2,2,399
"Recessive + Dominant","add0_rec1_dom1","add0_rec1_dom1",FALSE,0.2,2,400
"Recessive only","add0_rec2_dom0","add0_rec2_dom0",FALSE,0.2,2,400
"Additive + Dominant","add1_rec0_dom1","add1_rec0_dom1",FALSE,0.2,2,399
"Additive + Recessive","add1_rec1_dom0","add1_rec1_dom0",FALSE,0.2,2,400
"Additive only","add2_rec0_dom0","add2_rec0_dom0",FALSE,0.2,2,399
"Dominant only","add0_rec0_dom2","add0_rec0_dom2",FALSE,0.3,2,399
"Recessive + Dominant","add0_rec1_dom1","add0_rec1_dom1",FALSE,0.3,2,400
"Recessive only","add0_rec2_dom0","add0_rec2_dom0",FALSE,0.3,2,400
"Additive + Dominant","add1_rec0_dom1","add1_rec0_dom1",FALSE,0.3,2,399
"Additive + Recessive","add1_rec1_dom0","add1_rec1_dom0",FALSE,0.3,2,400
"Additive only","add2_rec0_dom0","add2_rec0_dom0",FALSE,0.3,2,399
"Dominant only","add0_rec0_dom2","add0_rec0_dom2",FALSE,0.4,2,399
"Recessive + Dominant","add0_rec1_dom1","add0_rec1_dom1",FALSE,0.4,2,400
"Recessive only","add0_rec2_dom0","add0_rec2_dom0",FALSE,0.4,2,400
"Additive + Dominant","add1_rec0_dom1","add1_rec0_dom1",FALSE,0.4,2,399
"Additive + Recessive","add1_rec1_dom0","add1_rec1_dom0",FALSE,0.4,2,400
"Additive only","add2_rec0_dom0","add2_rec0_dom0",FALSE,0.4,2,399
"Dominant only","add0_rec0_dom3","add0_rec0_dom3",FALSE,0.1,3,400
"Recessive + Dominant","add0_rec1_dom2","add0_rec1_dom2",FALSE,0.1,3,400
"Recessive + Dominant","add0_rec2_dom1","add0_rec2_dom1",FALSE,0.1,3,400
"Recessive only","add0_rec3_dom0","add0_rec3_dom0",FALSE,0.1,3,400
"Additive + Dominant","add1_rec0_dom2","add1_rec0_dom2",FALSE,0.1,3,400
"Additive + Recessive + Dominant","add1_rec1_dom1","add1_rec1_dom1",FALSE,0.1,3,400
"Additive + Recessive","add1_rec2_dom0","add1_rec2_dom0",FALSE,0.1,3,400
"Additive + Dominant","add2_rec0_dom1","add2_rec0_dom1",FALSE,0.1,3,400
"Additive + Recessive","add2_rec1_dom0","add2_rec1_dom0",FALSE,0.1,3,400
"Additive only","add3_rec0_dom0","add3_rec0_dom0",FALSE,0.1,3,400
"Dominant only","add0_rec0_dom3","add0_rec0_dom3",FALSE,0.2,3,400
"Recessive + Dominant","add0_rec1_dom2","add0_rec1_dom2",FALSE,0.2,3,400
"Recessive + Dominant","add0_rec2_dom1","add0_rec2_dom1",FALSE,0.2,3,400
"Recessive only","add0_rec3_dom0","add0_rec3_dom0",FALSE,0.2,3,400
"Additive + Dominant","add1_rec0_dom2","add1_rec0_dom2",FALSE,0.2,3,400
"Additive + Recessive + Dominant","add1_rec1_dom1","add1_rec1_dom1",FALSE,0.2,3,400
"Additive + Recessive","add1_rec2_dom0","add1_rec2_dom0",FALSE,0.2,3,400
"Additive + Dominant","add2_rec0_dom1","add2_rec0_dom1",FALSE,0.2,3,400
"Additive + Recessive","add2_rec1_dom0","add2_rec1_dom0",FALSE,0.2,3,400
"Additive only","add3_rec0_dom0","add3_rec0_dom0",FALSE,0.2,3,400
"Dominant only","add0_rec0_dom3","add0_rec0_dom3",FALSE,0.3,3,400
"Recessive + Dominant","add0_rec1_dom2","add0_rec1_dom2",FALSE,0.3,3,400
"Recessive + Dominant","add0_rec2_dom1","add0_rec2_dom1",FALSE,0.3,3,400
"Recessive only","add0_rec3_dom0","add0_rec3_dom0",FALSE,0.3,3,400
"Additive + Dominant","add1_rec0_dom2","add1_rec0_dom2",FALSE,0.3,3,400
"Additive + Recessive + Dominant","add1_rec1_dom1","add1_rec1_dom1",FALSE,0.3,3,400
"Additive + Recessive","add1_rec2_dom0","add1_rec2_dom0",FALSE,0.3,3,400
"Additive + Dominant","add2_rec0_dom1","add2_rec0_dom1",FALSE,0.3,3,400
"Additive + Recessive","add2_rec1_dom0","add2_rec1_dom0",FALSE,0.3,3,400
"Additive only","add3_rec0_dom0","add3_rec0_dom0",FALSE,0.3,3,400
"Dominant only","add0_rec0_dom3","add0_rec0_dom3",FALSE,0.4,3,400
"Recessive + Dominant","add0_rec1_dom2","add0_rec1_dom2",FALSE,0.4,3,400
"Recessive + Dominant","add0_rec2_dom1","add0_rec2_dom1",FALSE,0.4,3,400
"Recessive only","add0_rec3_dom0","add0_rec3_dom0",FALSE,0.4,3,400
"Additive + Dominant","add1_rec0_dom2","add1_rec0_dom2",FALSE,0.4,3,400
"Additive + Recessive + Dominant","add1_rec1_dom1","add1_rec1_dom1",FALSE,0.4,3,400
"Additive + Recessive","add1_rec2_dom0","add1_rec2_dom0",FALSE,0.4,3,400
"Additive + Dominant","add2_rec0_dom1","add2_rec0_dom1",FALSE,0.4,3,400
"Additive + Recessive","add2_rec1_dom0","add2_rec1_dom0",FALSE,0.4,3,400
"Additive only","add3_rec0_dom0","add3_rec0_dom0",FALSE,0.4,3,400
"Dominant only","add0_rec0_dom4","add0_rec0_dom4",FALSE,0.1,4,400
"Recessive + Dominant","add0_rec1_dom3","add0_rec1_dom3",FALSE,0.1,4,400
"Recessive + Dominant","add0_rec2_dom2","add0_rec2_dom2",FALSE,0.1,4,400
"Recessive + Dominant","add0_rec3_dom1","add0_rec3_dom1",FALSE,0.1,4,400
"Recessive only","add0_rec4_dom0","add0_rec4_dom0",FALSE,0.1,4,400
"Additive + Dominant","add1_rec0_dom3","add1_rec0_dom3",FALSE,0.1,4,400
"Additive + Recessive + Dominant","add1_rec1_dom2","add1_rec1_dom2",FALSE,0.1,4,400
"Additive + Recessive + Dominant","add1_rec2_dom1","add1_rec2_dom1",FALSE,0.1,4,400
"Additive + Recessive","add1_rec3_dom0","add1_rec3_dom0",FALSE,0.1,4,400
"Additive + Dominant","add2_rec0_dom2","add2_rec0_dom2",FALSE,0.1,4,400
"Additive + Recessive + Dominant","add2_rec1_dom1","add2_rec1_dom1",FALSE,0.1,4,400
"Additive + Recessive","add2_rec2_dom0","add2_rec2_dom0",FALSE,0.1,4,400
"Additive + Dominant","add3_rec0_dom1","add3_rec0_dom1",FALSE,0.1,4,400
"Additive + Recessive","add3_rec1_dom0","add3_rec1_dom0",FALSE,0.1,4,400
"Additive only","add4_rec0_dom0","add4_rec0_dom0",FALSE,0.1,4,400
"Dominant only","add0_rec0_dom4","add0_rec0_dom4",FALSE,0.2,4,400
"Recessive + Dominant","add0_rec1_dom3","add0_rec1_dom3",FALSE,0.2,4,400
"Recessive + Dominant","add0_rec2_dom2","add0_rec2_dom2",FALSE,0.2,4,400
"Recessive + Dominant","add0_rec3_dom1","add0_rec3_dom1",FALSE,0.2,4,400
"Recessive only","add0_rec4_dom0","add0_rec4_dom0",FALSE,0.2,4,400
"Additive + Dominant","add1_rec0_dom3","add1_rec0_dom3",FALSE,0.2,4,400
"Additive + Recessive + Dominant","add1_rec1_dom2","add1_rec1_dom2",FALSE,0.2,4,400
"Additive + Recessive + Dominant","add1_rec2_dom1","add1_rec2_dom1",FALSE,0.2,4,400
"Additive + Recessive","add1_rec3_dom0","add1_rec3_dom0",FALSE,0.2,4,400
"Additive + Dominant","add2_rec0_dom2","add2_rec0_dom2",FALSE,0.2,4,400
"Additive + Recessive + Dominant","add2_rec1_dom1","add2_rec1_dom1",FALSE,0.2,4,400
"Additive + Recessive","add2_rec2_dom0","add2_rec2_dom0",FALSE,0.2,4,400
"Additive + Dominant","add3_rec0_dom1","add3_rec0_dom1",FALSE,0.2,4,400
"Additive + Recessive","add3_rec1_dom0","add3_rec1_dom0",FALSE,0.2,4,400
"Additive only","add4_rec0_dom0","add4_rec0_dom0",FALSE,0.2,4,400
"Dominant only","add0_rec0_dom4","add0_rec0_dom4",FALSE,0.3,4,400
"Recessive + Dominant","add0_rec1_dom3","add0_rec1_dom3",FALSE,0.3,4,400
"Recessive + Dominant","add0_rec2_dom2","add0_rec2_dom2",FALSE,0.3,4,400
"Recessive + Dominant","add0_rec3_dom1","add0_rec3_dom1",FALSE,0.3,4,400
"Recessive only","add0_rec4_dom0","add0_rec4_dom0",FALSE,0.3,4,400
"Additive + Dominant","add1_rec0_dom3","add1_rec0_dom3",FALSE,0.3,4,400
"Additive + Recessive + Dominant","add1_rec1_dom2","add1_rec1_dom2",FALSE,0.3,4,400
"Additive + Recessive + Dominant","add1_rec2_dom1","add1_rec2_dom1",FALSE,0.3,4,400
"Additive + Recessive","add1_rec3_dom0","add1_rec3_dom0",FALSE,0.3,4,400
"Additive + Dominant","add2_rec0_dom2","add2_rec0_dom2",FALSE,0.3,4,400
"Additive + Recessive + Dominant","add2_rec1_dom1","add2_rec1_dom1",FALSE,0.3,4,400
"Additive + Recessive","add2_rec2_dom0","add2_rec2_dom0",FALSE,0.3,4,400
"Additive + Dominant","add3_rec0_dom1","add3_rec0_dom1",FALSE,0.3,4,400
"Additive + Recessive","add3_rec1_dom0","add3_rec1_dom0",FALSE,0.3,4,400
"Additive only","add4_rec0_dom0","add4_rec0_dom0",FALSE,0.3,4,400
"Dominant only","add0_rec0_dom4","add0_rec0_dom4",FALSE,0.4,4,400
"Recessive + Dominant","add0_rec1_dom3","add0_rec1_dom3",FALSE,0.4,4,400
"Recessive + Dominant","add0_rec2_dom2","add0_rec2_dom2",FALSE,0.4,4,400
"Recessive + Dominant","add0_rec3_dom1","add0_rec3_dom1",FALSE,0.4,4,400
"Recessive only","add0_rec4_dom0","add0_rec4_dom0",FALSE,0.4,4,400
"Additive + Dominant","add1_rec0_dom3","add1_rec0_dom3",FALSE,0.4,4,400
"Additive + Recessive + Dominant","add1_rec1_dom2","add1_rec1_dom2",FALSE,0.4,4,400
"Additive + Recessive + Dominant","add1_rec2_dom1","add1_rec2_dom1",FALSE,0.4,4,400
"Additive + Recessive","add1_rec3_dom0","add1_rec3_dom0",FALSE,0.4,4,400
"Additive + Dominant","add2_rec0_dom2","add2_rec0_dom2",FALSE,0.4,4,400
"Additive + Recessive + Dominant","add2_rec1_dom1","add2_rec1_dom1",FALSE,0.4,4,400
"Additive + Recessive","add2_rec2_dom0","add2_rec2_dom0",FALSE,0.4,4,400
"Additive + Dominant","add3_rec0_dom1","add3_rec0_dom1",FALSE,0.4,4,400
"Additive + Recessive","add3_rec1_dom0","add3_rec1_dom0",FALSE,0.4,4,400
"Additive only","add4_rec0_dom0","add4_rec0_dom0",FALSE,0.4,4,400
"Dominant only","add0_rec0_dom5","add0_rec0_dom5",FALSE,0.1,5,400
"Recessive + Dominant","add0_rec1_dom4","add0_rec1_dom4",FALSE,0.1,5,400
"Recessive + Dominant","add0_rec2_dom3","add0_rec2_dom3",FALSE,0.1,5,400
"Recessive + Dominant","add0_rec3_dom2","add0_rec3_dom2",FALSE,0.1,5,400
"Recessive + Dominant","add0_rec4_dom1","add0_rec4_dom1",FALSE,0.1,5,400
"Recessive only","add0_rec5_dom0","add0_rec5_dom0",FALSE,0.1,5,400
"Additive + Dominant","add1_rec0_dom4","add1_rec0_dom4",FALSE,0.1,5,400
"Additive + Recessive + Dominant","add1_rec1_dom3","add1_rec1_dom3",FALSE,0.1,5,400
"Additive + Recessive + Dominant","add1_rec2_dom2","add1_rec2_dom2",FALSE,0.1,5,400
"Additive + Recessive + Dominant","add1_rec3_dom1","add1_rec3_dom1",FALSE,0.1,5,400
"Additive + Recessive","add1_rec4_dom0","add1_rec4_dom0",FALSE,0.1,5,400
"Additive + Dominant","add2_rec0_dom3","add2_rec0_dom3",FALSE,0.1,5,400
"Additive + Recessive + Dominant","add2_rec1_dom2","add2_rec1_dom2",FALSE,0.1,5,400
"Additive + Recessive + Dominant","add2_rec2_dom1","add2_rec2_dom1",FALSE,0.1,5,400
"Additive + Recessive","add2_rec3_dom0","add2_rec3_dom0",FALSE,0.1,5,400
"Additive + Dominant","add3_rec0_dom2","add3_rec0_dom2",FALSE,0.1,5,400
"Additive + Recessive + Dominant","add3_rec1_dom1","add3_rec1_dom1",FALSE,0.1,5,400
"Additive + Recessive","add3_rec2_dom0","add3_rec2_dom0",FALSE,0.1,5,400
"Additive + Dominant","add4_rec0_dom1","add4_rec0_dom1",FALSE,0.1,5,400
"Additive + Recessive","add4_rec1_dom0","add4_rec1_dom0",FALSE,0.1,5,400
"Additive only","add5_rec0_dom0","add5_rec0_dom0",FALSE,0.1,5,400
"Dominant only","add0_rec0_dom5","add0_rec0_dom5",FALSE,0.2,5,400
"Recessive + Dominant","add0_rec1_dom4","add0_rec1_dom4",FALSE,0.2,5,400
"Recessive + Dominant","add0_rec2_dom3","add0_rec2_dom3",FALSE,0.2,5,400
"Recessive + Dominant","add0_rec3_dom2","add0_rec3_dom2",FALSE,0.2,5,400
"Recessive + Dominant","add0_rec4_dom1","add0_rec4_dom1",FALSE,0.2,5,400
"Recessive only","add0_rec5_dom0","add0_rec5_dom0",FALSE,0.2,5,400
"Additive + Dominant","add1_rec0_dom4","add1_rec0_dom4",FALSE,0.2,5,400
"Additive + Recessive + Dominant","add1_rec1_dom3","add1_rec1_dom3",FALSE,0.2,5,400
"Additive + Recessive + Dominant","add1_rec2_dom2","add1_rec2_dom2",FALSE,0.2,5,400
"Additive + Recessive + Dominant","add1_rec3_dom1","add1_rec3_dom1",FALSE,0.2,5,400
"Additive + Recessive","add1_rec4_dom0","add1_rec4_dom0",FALSE,0.2,5,400
"Additive + Dominant","add2_rec0_dom3","add2_rec0_dom3",FALSE,0.2,5,400
"Additive + Recessive + Dominant","add2_rec1_dom2","add2_rec1_dom2",FALSE,0.2,5,400
"Additive + Recessive + Dominant","add2_rec2_dom1","add2_rec2_dom1",FALSE,0.2,5,400
