"scenario","configuration","design","all_additive","pve","K","coding","true_share","estimated_share","bias","lower","upper","pip_mass","n_replicates","n_seed_blocks","zero_pip_replicates"
"Dominant only","add0_rec0_dom1","add0_rec0_dom1",FALSE,0.1,1,"additive",0,0.299138634026668,0.299138634026668,0.288952059197183,0.308282753225269,389.866846442651,400,400,0
"Dominant only","add0_rec0_dom1","add0_rec0_dom1",FALSE,0.1,1,"recessive",0,0.20384896195747,0.20384896195747,0.191503668883633,0.212878185268598,265.675987347999,400,400,0
"Dominant only","add0_rec0_dom1","add0_rec0_dom1",FALSE,0.1,1,"dominant",1,0.497012404015862,-0.502987595984138,0.481224252561851,0.51873577719732,647.755376790517,400,400,0
"Recessive only","add0_rec1_dom0","add0_rec1_dom0",FALSE,0.1,1,"additive",0,0.264082634044798,0.264082634044798,0.253899935817986,0.272401949388892,404.324748215256,400,400,0
"Recessive only","add0_rec1_dom0","add0_rec1_dom0",FALSE,0.1,1,"recessive",1,0.471618991080788,-0.528381008919212,0.454309500938702,0.492111820374543,722.074098177638,400,400,0
"Recessive only","add0_rec1_dom0","add0_rec1_dom0",FALSE,0.1,1,"dominant",0,0.264298374874414,0.264298374874414,0.253415370220633,0.273228821363082,404.655059055004,400,400,0
"Additive only","add1_rec0_dom0","add1_rec0_dom0",FALSE,0.1,1,"additive",1,0.499544431308332,-0.500455568691669,0.484392554071729,0.519096319862703,631.091746425428,400,400,0
"Additive only","add1_rec0_dom0","add1_rec0_dom0",FALSE,0.1,1,"recessive",0,0.202645176637514,0.202645176637514,0.189941076111349,0.211771760077361,256.008655914578,400,400,0
"Additive only","add1_rec0_dom0","add1_rec0_dom0",FALSE,0.1,1,"dominant",0,0.297810392054154,0.297810392054154,0.287566293398303,0.307627731079648,376.234161859954,400,400,0
"Dominant only","add0_rec0_dom1","add0_rec0_dom1",FALSE,0.2,1,"additive",0,0.272281452362133,0.272281452362133,0.260679740280753,0.281852093231484,355.951959041632,400,400,0
"Dominant only","add0_rec0_dom1","add0_rec0_dom1",FALSE,0.2,1,"recessive",0,0.202488972055021,0.202488972055021,0.190181943427558,0.211111923280631,264.712655460093,400,400,0
"Dominant only","add0_rec0_dom1","add0_rec0_dom1",FALSE,0.2,1,"dominant",1,0.525229575582846,-0.474770424417154,0.507762258933177,0.548851014696864,686.629569342343,400,400,0
"Recessive only","add0_rec1_dom0","add0_rec1_dom0",FALSE,0.2,1,"additive",0,0.261972333180774,0.261972333180774,0.251526951644183,0.270831987639396,402.664501747115,400,400,0
"Recessive only","add0_rec1_dom0","add0_rec1_dom0",FALSE,0.2,1,"recessive",1,0.474520092142879,-0.525479907857121,0.457585942573733,0.495010510068359,729.360975457885,400,400,0
