"scenario","pve","K","method","configuration","n_replicates"
"Dominant only",0.1,1,"SuSiE","add0_rec0_dom1",400
"Dominant only",0.2,1,"SuSiE","add0_rec0_dom1",400
"Dominant only",0.3,1,"SuSiE","add0_rec0_dom1",400
"Dominant only",0.4,1,"SuSiE","add0_rec0_dom1",400
"Dominant only",0.1,1,"SuSiE-mix","add0_rec0_dom1",400
"Dominant only",0.2,1,"SuSiE-mix","add0_rec0_dom1",400
"Dominant only",0.3,1,"SuSiE-mix","add0_rec0_dom1",400
"Dominant only",0.4,1,"SuSiE-mix","add0_rec0_dom1",400
"Dominant only",0.1,2,"SuSiE","add0_rec0_dom2",399
"Dominant only",0.2,2,"SuSiE","add0_rec0_dom2",399
"Dominant only",0.3,2,"SuSiE","add0_rec0_dom2",399
"Dominant only",0.4,2,"SuSiE","add0_rec0_dom2",399
"Dominant only",0.1,2,"SuSiE-mix","add0_rec0_dom2",399
"Dominant only",0.2,2,"SuSiE-mix","add0_rec0_dom2",399
"Dominant only",0.3,2,"SuSiE-mix","add0_rec0_dom2",399
"Dominant only",0.4,2,"SuSiE-mix","add0_rec0_dom2",399
"Dominant only",0.1,3,"SuSiE","add0_rec0_dom3",400
"Dominant only",0.2,3,"SuSiE","add0_rec0_dom3",400
"Dominant only",0.3,3,"SuSiE","add0_rec0_dom3",400
"Dominant only",0.4,3,"SuSiE","add0_rec0_dom3",400
"Dominant only",0.1,3,"SuSiE-mix","add0_rec0_dom3",400
"Dominant only",0.2,3,"SuSiE-mix","add0_rec0_dom3",400
"Dominant only",0.3,3,"SuSiE-mix","add0_rec0_dom3",400
"Dominant only",0.4,3,"SuSiE-mix","add0_rec0_dom3",400
"Dominant only",0.1,4,"SuSiE","add0_rec0_dom4",400
"Dominant only",0.2,4,"SuSiE","add0_rec0_dom4",400
"Dominant only",0.3,4,"SuSiE","add0_rec0_dom4",400
"Dominant only",0.4,4,"SuSiE","add0_rec0_dom4",400
"Dominant only",0.1,4,"SuSiE-mix","add0_rec0_dom4",400
"Dominant only",0.2,4,"SuSiE-mix","add0_rec0_dom4",400
"Dominant only",0.3,4,"SuSiE-mix","add0_rec0_dom4",400
"Dominant only",0.4,4,"SuSiE-mix","add0_rec0_dom4",400
"Dominant only",0.1,5,"SuSiE","add0_rec0_dom5",400
"Dominant only",0.2,5,"SuSiE","add0_rec0_dom5",400
"Dominant only",0.3,5,"SuSiE","add0_rec0_dom5",400
"Dominant only",0.4,5,"SuSiE","add0_rec0_dom5",400
"Dominant only",0.1,5,"SuSiE-mix","add0_rec0_dom5",400
"Dominant only",0.2,5,"SuSiE-mix","add0_rec0_dom5",400
"Dominant only",0.3,5,"SuSiE-mix","add0_rec0_dom5",400
"Dominant only",0.4,5,"SuSiE-mix","add0_rec0_dom5",400
"Recessive only",0.1,1,"SuSiE","add0_rec1_dom0",400
"Recessive only",0.2,1,"SuSiE","add0_rec1_dom0",400
"Recessive only",0.3,1,"SuSiE","add0_rec1_dom0",400
"Recessive only",0.4,1,"SuSiE","add0_rec1_dom0",400
"Recessive only",0.1,1,"SuSiE-mix","add0_rec1_dom0",400
"Recessive only",0.2,1,"SuSiE-mix","add0_rec1_dom0",400
"Recessive only",0.3,1,"SuSiE-mix","add0_rec1_dom0",400
"Recessive only",0.4,1,"SuSiE-mix","add0_rec1_dom0",400
"Recessive + dominant",0.1,2,"SuSiE","add0_rec1_dom1",400
"Recessive + dominant",0.2,2,"SuSiE","add0_rec1_dom1",400
"Recessive + dominant",0.3,2,"SuSiE","add0_rec1_dom1",400
"Recessive + dominant",0.4,2,"SuSiE","add0_rec1_dom1",400
"Recessive + dominant",0.1,2,"SuSiE-mix","add0_rec1_dom1",400
"Recessive + dominant",0.2,2,"SuSiE-mix","add0_rec1_dom1",400
"Recessive + dominant",0.3,2,"SuSiE-mix","add0_rec1_dom1",400
"Recessive + dominant",0.4,2,"SuSiE-mix","add0_rec1_dom1",400
"Recessive + dominant",0.1,3,"SuSiE","add0_rec1_dom2",400
"Recessive + dominant",0.2,3,"SuSiE","add0_rec1_dom2",400
"Recessive + dominant",0.3,3,"SuSiE","add0_rec1_dom2",400
"Recessive + dominant",0.4,3,"SuSiE","add0_rec1_dom2",400
"Recessive + dominant",0.1,3,"SuSiE-mix","add0_rec1_dom2",400
"Recessive + dominant",0.2,3,"SuSiE-mix","add0_rec1_dom2",400
"Recessive + dominant",0.3,3,"SuSiE-mix","add0_rec1_dom2",400
"Recessive + dominant",0.4,3,"SuSiE-mix","add0_rec1_dom2",400
"Recessive + dominant",0.1,4,"SuSiE","add0_rec1_dom3",400
"Recessive + dominant",0.2,4,"SuSiE","add0_rec1_dom3",400
"Recessive + dominant",0.3,4,"SuSiE","add0_rec1_dom3",400
"Recessive + dominant",0.4,4,"SuSiE","add0_rec1_dom3",400
"Recessive + dominant",0.1,4,"SuSiE-mix","add0_rec1_dom3",400
"Recessive + dominant",0.2,4,"SuSiE-mix","add0_rec1_dom3",400
"Recessive + dominant",0.3,4,"SuSiE-mix","add0_rec1_dom3",400
"Recessive + dominant",0.4,4,"SuSiE-mix","add0_rec1_dom3",400
"Recessive + dominant",0.1,5,"SuSiE","add0_rec1_dom4",400
"Recessive + dominant",0.2,5,"SuSiE","add0_rec1_dom4",400
"Recessive + dominant",0.3,5,"SuSiE","add0_rec1_dom4",400
"Recessive + dominant",0.4,5,"SuSiE","add0_rec1_dom4",400
"Recessive + dominant",0.1,5,"SuSiE-mix","add0_rec1_dom4",400
"Recessive + dominant",0.2,5,"SuSiE-mix","add0_rec1_dom4",400
"Recessive + dominant",0.3,5,"SuSiE-mix","add0_rec1_dom4",400
"Recessive + dominant",0.4,5,"SuSiE-mix","add0_rec1_dom4",400
"Recessive only",0.1,2,"SuSiE","add0_rec2_dom0",400
"Recessive only",0.2,2,"SuSiE","add0_rec2_dom0",400
"Recessive only",0.3,2,"SuSiE","add0_rec2_dom0",400
"Recessive only",0.4,2,"SuSiE","add0_rec2_dom0",400
"Recessive only",0.1,2,"SuSiE-mix","add0_rec2_dom0",400
"Recessive only",0.2,2,"SuSiE-mix","add0_rec2_dom0",400
"Recessive only",0.3,2,"SuSiE-mix","add0_rec2_dom0",400
"Recessive only",0.4,2,"SuSiE-mix","add0_rec2_dom0",400
"Recessive + dominant",0.1,3,"SuSiE","add0_rec2_dom1",400
