"scope","pve","K","called_coding","bin","n_leads","sum_lead_pip","n_exact","mean_lead_pip","exact_accuracy"
"Additive only",0.1,1,"additive",1,49,3.00630359697397,1,0.0613531346321219,0.0204081632653061
"All simulations",0.1,1,"additive",1,58,3.44578737609597,1,0.0594101271740685,0.0172413793103448
"Additive only",0.2,1,"additive",1,24,1.54653258632269,2,0.0644388577634456,0.0833333333333333
"All simulations",0.2,1,"additive",1,26,1.65145219940377,2,0.0635173922847604,0.0769230769230769
"Additive only",0.3,1,"additive",1,18,1.08478542492165,2,0.0602658569400915,0.111111111111111
"All simulations",0.3,1,"additive",1,18,1.08478542492165,2,0.0602658569400915,0.111111111111111
"Additive only",0.4,1,"additive",1,18,1.14080690953014,0,0.0633781616405633,0
"All simulations",0.4,1,"additive",1,18,1.14080690953014,0,0.0633781616405633,0
"Additive only",0.1,2,"additive",1,49,3.11116874959759,4,0.0634932397877059,0.0816326530612245
"All simulations",0.1,2,"additive",1,138,8.47638718515713,6,0.0614230955446169,0.0434782608695652
"Additive only",0.2,2,"additive",1,13,0.806612975392654,1,0.0620471519532811,0.0769230769230769
"All simulations",0.2,2,"additive",1,25,1.69256690168146,1,0.0677026760672585,0.04
"Additive only",0.3,2,"additive",1,5,0.348938132927754,0,0.0697876265855507,0
"All simulations",0.3,2,"additive",1,18,1.15184514532196,0,0.0639913969623311,0
"Additive only",0.4,2,"additive",1,3,0.175095563894227,0,0.0583651879647423,0
"All simulations",0.4,2,"additive",1,8,0.560559500631153,0,0.0700699375788941,0
"Additive only",0.1,3,"additive",1,68,3.83470409138136,7,0.0563927072261965,0.102941176470588
"All simulations",0.1,3,"additive",1,359,19.4585823341014,36,0.0542021792036251,0.100278551532033
"Additive only",0.2,3,"additive",1,18,1.24164224176141,1,0.0689801245423005,0.0555555555555556
"All simulations",0.2,3,"additive",1,53,3.78659505672351,4,0.0714451897495002,0.0754716981132075
"Additive only",0.3,3,"additive",1,8,0.543895296545063,0,0.0679869120681328,0
"All simulations",0.3,3,"additive",1,24,1.58443965821586,1,0.0660183190923274,0.0416666666666667
"Additive only",0.4,3,"additive",1,3,0.168331119635882,0,0.0561103732119606,0
"All simulations",0.4,3,"additive",1,11,0.635096397974292,1,0.0577360361794811,0.0909090909090909
"Additive only",0.1,4,"additive",1,80,4.19160973725858,11,0.0523951217157323,0.1375
"All simulations",0.1,4,"additive",1,694,35.7441735386254,64,0.0515045728222267,0.0922190201729107
"Additive only",0.2,4,"additive",1,16,1.0471267268173,2,0.0654454204260811,0.125
"All simulations",0.2,4,"additive",1,119,7.58924079901193,5,0.0637751327648061,0.0420168067226891
"Additive only",0.3,4,"additive",1,7,0.456409502915172,0,0.0652013575593102,0
"All simulations",0.3,4,"additive",1,47,3.12232479974571,1,0.066432442547781,0.0212765957446809
"Additive only",0.4,4,"additive",1,1,0.0754080374662679,0,0.0754080374662679,0
"All simulations",0.4,4,"additive",1,13,0.96670046125775,0,0.0743615739429038,0
"Additive only",0.1,5,"additive",1,89,4.3549202697981,14,0.0489316884246978,0.157303370786517
"All simulations",0.1,5,"additive",1,1175,56.4313338711036,115,0.0480266671243435,0.0978723404255319
"Additive only",0.2,5,"additive",1,25,1.69357458865937,0,0.067742983546375,0
"All simulations",0.2,5,"additive",1,210,13.7822941959697,14,0.0656299723617603,0.0666666666666667
"Additive only",0.3,5,"additive",1,4,0.245164944260345,0,0.0612912360650862,0
"All simulations",0.3,5,"additive",1,49,3.40404729428412,2,0.0694703529445739,0.0408163265306122
"Additive only",0.4,5,"additive",1,1,0.0789426673338854,0,0.0789426673338854,0
"All simulations",0.4,5,"additive",1,16,1.20881090788824,0,0.0755506817430148,0
"Additive only",0.1,1,"dominant",1,5,0.327212111866077,0,0.0654424223732154,0
"All simulations",0.1,1,"dominant",1,46,2.64935269348645,4,0.0575946237714446,0.0869565217391304
"All simulations",0.2,1,"dominant",1,24,1.19655731225888,2,0.0498565546774532,0.0833333333333333
"All simulations",0.3,1,"dominant",1,20,1.12539817627675,0,0.0562699088138376,0
"All simulations",0.4,1,"dominant",1,17,0.956671814765065,0,0.0562748126332391,0
"Additive only",0.1,2,"dominant",1,14,0.703335995860081,0,0.0502382854185772,0
"All simulations",0.1,2,"dominant",1,99,5.49822619542126,5,0.0555376383375885,0.0505050505050505
"Additive only",0.2,2,"dominant",1,2,0.1410112281319,0,0.0705056140659502,0
"All simulations",0.2,2,"dominant",1,32,2.24947084308417,1,0.0702959638463803,0.03125
"All simulations",0.3,2,"dominant",1,8,0.563066149752463,0,0.0703832687190579,0
"All simulations",0.4,2,"dominant",1,6,0.424948549033827,0,0.0708247581723046,0
"Additive only",0.1,3,"dominant",1,30,1.54985830234192,0,0.0516619434113974,0
"All simulations",0.1,3,"dominant",1,349,18.0526319582839,37,0.0517267391354839,0.106017191977077
"Additive only",0.2,3,"dominant",1,1,0.0954154957148314,0,0.0954154957148314,0
"All simulations",0.2,3,"dominant",1,44,3.00776253323095,1,0.0683582393916125,0.0227272727272727
"All simulations",0.3,3,"dominant",1,18,1.35444554752079,1,0.0752469748622659,0.0555555555555556
"All simulations",0.4,3,"dominant",1,7,0.448729598841987,0,0.0641042284059982,0
"Additive only",0.1,4,"dominant",1,46,2.46591704279304,0,0.0536068922346313,0
"All simulations",0.1,4,"dominant",1,672,34.3245422971939,76,0.0510781879422528,0.113095238095238
"Additive only",0.2,4,"dominant",1,3,0.206459319279667,0,0.0688197730932224,0
"All simulations",0.2,4,"dominant",1,61,4.03167472416375,8,0.0660930282649796,0.131147540983607
"All simulations",0.3,4,"dominant",1,20,1.56475836498262,0,0.0782379182491312,0
"All simulations",0.4,4,"dominant",1,6,0.504169811985164,0,0.0840283019975274,0
"Additive only",0.1,5,"dominant",1,37,1.43854741136332,0,0.0388796597665762,0
"All simulations",0.1,5,"dominant",1,1158,52.9203681237684,143,0.045699799761458,0.123488773747841
"Additive only",0.2,5,"dominant",1,1,0.0816644260697283,0,0.0816644260697283,0
"All simulations",0.2,5,"dominant",1,151,10.5125517643024,23,0.0696195481079628,0.152317880794702
"All simulations",0.3,5,"dominant",1,35,2.4195705786456,0,0.0691305879613029,0
"All simulations",0.4,5,"dominant",1,9,0.616537876040328,0,0.0685042084489253,0
"All simulations",0.1,1,"recessive",1,34,1.90824321825663,3,0.0561248005369598,0.0882352941176471
"All simulations",0.2,1,"recessive",1,9,0.435566827003705,0,0.0483963141115228,0
"All simulations",0.3,1,"recessive",1,4,0.233384374292941,0,0.0583460935732353,0
"All simulations",0.4,1,"recessive",1,5,0.313700603961308,0,0.0627401207922615,0
"Additive only",0.1,2,"recessive",1,3,0.110514125389163,0,0.0368380417963878,0
"All simulations",0.1,2,"recessive",1,92,5.14367415001217,13,0.0559095016305671,0.141304347826087
"All simulations",0.2,2,"recessive",1,29,1.91645929563751,0,0.0660848032978452,0
"All simulations",0.3,2,"recessive",1,11,0.708087055970738,0,0.0643715505427944,0
"All simulations",0.4,2,"recessive",1,7,0.493948603228594,0,0.0705640861755134,0
"Additive only",0.1,3,"recessive",1,7,0.258092443604202,0,0.0368703490863146,0
"All simulations",0.1,3,"recessive",1,282,14.2068080824959,43,0.0503787520655883,0.152482269503546
"Additive only",0.2,3,"recessive",1,1,0.0728565666185135,0,0.0728565666185135,0
"All simulations",0.2,3,"recessive",1,28,1.83852110778859,2,0.0656614681353068,0.0714285714285714
"All simulations",0.3,3,"recessive",1,16,1.19111922476988,0,0.0744449515481177,0
"All simulations",0.4,3,"recessive",1,5,0.304484455398773,0,0.0608968910797546,0
"Additive only",0.1,4,"recessive",1,14,0.478522384874464,0,0.034180170348176,0
"All simulations",0.1,4,"recessive",1,534,23.8662883022148,104,0.0446934237869191,0.194756554307116
"All simulations",0.2,4,"recessive",1,47,2.92574161173447,1,0.0622498215262653,0.0212765957446809
"All simulations",0.3,4,"recessive",1,7,0.385056541442804,0,0.0550080773489721,0
"All simulations",0.4,4,"recessive",1,6,0.346138562171691,0,0.0576897603619485,0
"Additive only",0.1,5,"recessive",1,17,0.585566252938895,0,0.0344450737022879,0
"All simulations",0.1,5,"recessive",1,893,39.7949874010185,175,0.0445632557682178,0.195968645016797
"Additive only",0.2,5,"recessive",1,3,0.137080687654864,0,0.0456935625516213,0
"All simulations",0.2,5,"recessive",1,142,9.61526345517277,31,0.0677131229237519,0.21830985915493
"All simulations",0.3,5,"recessive",1,17,1.22241757706255,2,0.0719069162977969,0.117647058823529
"All simulations",0.4,5,"recessive",1,5,0.347092250183948,0,0.0694184500367896,0
"Additive only",0.1,1,"additive",2,46,6.69682784919116,7,0.145583214112851,0.152173913043478
"All simulations",0.1,1,"additive",2,54,7.88064356830495,7,0.145937843857499,0.12962962962963
"Additive only",0.2,1,"additive",2,30,4.40189905656108,2,0.146729968552036,0.0666666666666667
"All simulations",0.2,1,"additive",2,30,4.40189905656108,2,0.146729968552036,0.0666666666666667
"Additive only",0.3,1,"additive",2,22,2.98966614617606,2,0.135893915735275,0.0909090909090909
"All simulations",0.3,1,"additive",2,22,2.98966614617606,2,0.135893915735275,0.0909090909090909
