"scope","pve","K","n_runs","sum_lead_pip","n_exact","n_wrong_coding","n_wrong_snp","n_ambiguous","n_no_support","n_lead_additive","n_lead_recessive","n_lead_dominant","n_unique","mean_lead_pip","fraction_exact","fraction_wrong_coding","fraction_wrong_snp","fraction_ambiguous","fraction_no_support","exact_accuracy_unique","share_unique_additive","share_unique_recessive","share_unique_dominant"
"Additive only",0.1,1,400,137.716185941071,106,20,168,106,0,258,1,35,294,0.344290464852678,0.265,0.05,0.42,0.265,0,0.360544217687075,0.877551020408163,0.00340136054421769,0.119047619047619
"All simulations",0.1,1,1200,435.149161738902,347,38,411,404,0,299,223,274,796,0.362624301449085,0.289166666666667,0.0316666666666667,0.3425,0.336666666666667,0,0.435929648241206,0.375628140703518,0.280150753768844,0.344221105527638
"Additive only",0.2,1,400,186.480848760908,152,7,117,124,0,265,0,11,276,0.466202121902269,0.38,0.0175,0.2925,0.31,0,0.550724637681159,0.960144927536232,0,0.0398550724637681
"All simulations",0.2,1,1200,562.249730542886,449,17,263,471,0,279,194,256,729,0.468541442119072,0.374166666666667,0.0141666666666667,0.219166666666667,0.3925,0,0.615912208504801,0.382716049382716,0.266117969821674,0.35116598079561
"Additive only",0.3,1,400,212.115119487453,165,6,99,130,0,263,0,7,270,0.530287798718633,0.4125,0.015,0.2475,0.325,0,0.611111111111111,0.974074074074074,0,0.0259259259259259
"All simulations",0.3,1,1200,626.664427311196,492,13,203,492,0,271,186,251,708,0.522220356092664,0.41,0.0108333333333333,0.169166666666667,0.41,0,0.694915254237288,0.382768361581921,0.26271186440678,0.354519774011299
"Additive only",0.4,1,400,228.542316327546,188,3,79,130,0,267,0,3,270,0.571355790818865,0.47,0.0075,0.1975,0.325,0,0.696296296296296,0.988888888888889,0,0.0111111111111111
"All simulations",0.4,1,1200,665.068563268118,528,7,159,506,0,271,181,242,694,0.554223802723431,0.44,0.00583333333333333,0.1325,0.421666666666667,0,0.760806916426513,0.390489913544669,0.260806916426513,0.348703170028818
"Additive only",0.1,2,399,131.10395844905,111,21,204,63,0,266,9,61,336,0.328581349496367,0.278195488721804,0.0526315789473684,0.511278195488722,0.157894736842105,0,0.330357142857143,0.791666666666667,0.0267857142857143,0.181547619047619
"All simulations",0.1,2,2397,834.1150486746,752,87,1014,536,8,665,570,618,1853,0.34798291559224,0.313725490196078,0.0362953692115144,0.423028785982478,0.223612849395077,0.0033375052148519,0.405828386400432,0.358877495952509,0.307609282245008,0.333513221802482
"Additive only",0.2,2,399,212.344875903271,195,6,126,72,0,309,1,17,327,0.532192671436768,0.488721804511278,0.0150375939849624,0.315789473684211,0.180451127819549,0,0.596330275229358,0.944954128440367,0.00305810397553517,0.0519877675840979
"All simulations",0.2,2,2397,1331.64042617241,1192,45,628,531,1,650,595,620,1865,0.555544608332252,0.497288277012933,0.0187734668335419,0.261994159365874,0.221526908635795,0.000417188151856487,0.639142091152815,0.348525469168901,0.319034852546917,0.332439678284182
"Additive only",0.3,2,399,253.322427852553,220,3,103,73,0,319,1,6,326,0.634893302888605,0.551378446115288,0.0075187969924812,0.258145363408521,0.182957393483709,0,0.674846625766871,0.978527607361963,0.00306748466257669,0.0184049079754601
"All simulations",0.3,2,2397,1542.3365466077,1354,23,472,547,1,661,572,616,1849,0.643444533419983,0.564872757613684,0.00959532749269921,0.196912807676262,0.228201919065499,0.000417188151856487,0.732287723093564,0.357490535424554,0.309356408869659,0.333153055705787
"Additive only",0.4,2,399,279.976968730361,244,1,79,75,0,321,1,2,324,0.701696663484613,0.611528822055138,0.0025062656641604,0.197994987468672,0.18796992481203,0,0.753086419753086,0.990740740740741,0.00308641975308642,0.00617283950617284
"All simulations",0.4,2,2397,1671.45690776193,1455,17,345,580,0,644,557,616,1817,0.697312018256957,0.607008760951189,0.00709219858156028,0.143929912390488,0.241969128076763,0,0.800770500825537,0.354430379746835,0.306549257017061,0.339020363236103
"Additive only",0.1,3,400,100.937245711465,73,27,243,56,1,250,16,77,343,0.252343114278661,0.1825,0.0675,0.6075,0.14,0.0025,0.212827988338192,0.728862973760933,0.0466472303206997,0.224489795918367
"All simulations",0.1,3,4000,1043.08765513588,910,162,2082,833,13,1172,940,1042,3154,0.26077191378397,0.2275,0.0405,0.5205,0.20825,0.00325,0.28852251109702,0.371591629676601,0.298034242232086,0.330374128091313
"Additive only",0.2,3,400,197.763974715927,171,31,145,53,0,304,3,40,347,0.494409936789817,0.4275,0.0775,0.3625,0.1325,0,0.492795389048991,0.876080691642651,0.00864553314121038,0.115273775216138
"All simulations",0.2,3,4000,2228.78910138519,1960,190,1208,642,0,1150,1138,1070,3358,0.557197275346298,0.49,0.0475,0.302,0.1605,0,0.583680762358547,0.342465753424658,0.338892197736748,0.318642048838594
"Additive only",0.3,3,400,254.263850720605,223,16,108,53,0,326,0,21,347,0.635659626801511,0.5575,0.04,0.27,0.1325,0,0.642651296829971,0.939481268011527,0,0.0605187319884726
"All simulations",0.3,3,4000,2717.3475899932,2388,136,874,602,0,1129,1184,1085,3398,0.679336897498299,0.597,0.034,0.2185,0.1505,0,0.70276633313714,0.332254267216009,0.348440258975868,0.319305473808122
