"scope","pve","K","n_runs","sum_lead_pip","n_exact","n_wrong_coding","n_wrong_snp","n_ambiguous","n_no_support","n_lead_additive","n_lead_recessive","n_lead_dominant","n_unique","mean_lead_pip","fraction_exact","fraction_wrong_coding","fraction_wrong_snp","fraction_ambiguous","fraction_no_support","exact_accuracy_unique","share_unique_additive","share_unique_recessive","share_unique_dominant"
"Additive only",0.1,1,400,137.716185941071,106,20,168,106,0,258,1,35,294,0.344290464852678,0.265,0.05,0.42,0.265,0,0.360544217687075,0.877551020408163,0.00340136054421769,0.119047619047619
"Additive only",0.2,1,400,186.480848760908,152,7,117,124,0,265,0,11,276,0.466202121902269,0.38,0.0175,0.2925,0.31,0,0.550724637681159,0.960144927536232,0,0.0398550724637681
"Additive only",0.3,1,400,212.115119487453,165,6,99,130,0,263,0,7,270,0.530287798718633,0.4125,0.015,0.2475,0.325,0,0.611111111111111,0.974074074074074,0,0.0259259259259259
"Additive only",0.4,1,400,228.542316327546,188,3,79,130,0,267,0,3,270,0.571355790818865,0.47,0.0075,0.1975,0.325,0,0.696296296296296,0.988888888888889,0,0.0111111111111111
"Additive only",0.1,2,399,131.10395844905,111,21,204,63,0,266,9,61,336,0.328581349496367,0.278195488721804,0.0526315789473684,0.511278195488722,0.157894736842105,0,0.330357142857143,0.791666666666667,0.0267857142857143,0.181547619047619
"Additive only",0.2,2,399,212.344875903271,195,6,126,72,0,309,1,17,327,0.532192671436768,0.488721804511278,0.0150375939849624,0.315789473684211,0.180451127819549,0,0.596330275229358,0.944954128440367,0.00305810397553517,0.0519877675840979
"Additive only",0.3,2,399,253.322427852553,220,3,103,73,0,319,1,6,326,0.634893302888605,0.551378446115288,0.0075187969924812,0.258145363408521,0.182957393483709,0,0.674846625766871,0.978527607361963,0.00306748466257669,0.0184049079754601
"Additive only",0.4,2,399,279.976968730361,244,1,79,75,0,321,1,2,324,0.701696663484613,0.611528822055138,0.0025062656641604,0.197994987468672,0.18796992481203,0,0.753086419753086,0.990740740740741,0.00308641975308642,0.00617283950617284
"Additive only",0.1,3,400,100.937245711465,73,27,243,56,1,250,16,77,343,0.252343114278661,0.1825,0.0675,0.6075,0.14,0.0025,0.212827988338192,0.728862973760933,0.0466472303206997,0.224489795918367
"Additive only",0.2,3,400,197.763974715927,171,31,145,53,0,304,3,40,347,0.494409936789817,0.4275,0.0775,0.3625,0.1325,0,0.492795389048991,0.876080691642651,0.00864553314121038,0.115273775216138
"Additive only",0.3,3,400,254.263850720605,223,16,108,53,0,326,0,21,347,0.635659626801511,0.5575,0.04,0.27,0.1325,0,0.642651296829971,0.939481268011527,0,0.0605187319884726
"Additive only",0.4,3,400,288.91072243857,262,10,81,47,0,341,0,12,353,0.722276806096424,0.655,0.025,0.2025,0.1175,0,0.742209631728045,0.96600566572238,0,0.0339943342776204
"Additive only",0.1,4,400,78.7434211863222,61,17,245,77,0,220,21,82,323,0.196858552965806,0.1525,0.0425,0.6125,0.1925,0,0.188854489164087,0.681114551083591,0.065015479876161,0.253869969040248
"Additive only",0.2,4,400,190.056837629286,157,24,155,64,0,285,3,48,336,0.475142094073215,0.3925,0.06,0.3875,0.16,0,0.467261904761905,0.848214285714286,0.00892857142857143,0.142857142857143
"Additive only",0.3,4,400,258.865602096188,229,19,111,41,0,329,2,28,359,0.647164005240469,0.5725,0.0475,0.2775,0.1025,0,0.637883008356546,0.916434540389972,0.00557103064066852,0.0779944289693593
"Additive only",0.4,4,400,299.130033541392,262,11,88,39,0,347,0,14,361,0.747825083853481,0.655,0.0275,0.22,0.0975,0,0.725761772853186,0.961218836565097,0,0.038781163434903
"Additive only",0.1,5,400,71.0473608274006,50,15,261,74,0,207,28,91,326,0.177618402068502,0.125,0.0375,0.6525,0.185,0,0.153374233128834,0.634969325153374,0.0858895705521472,0.279141104294479
"Additive only",0.2,5,400,170.723311831853,133,23,177,67,0,275,7,51,333,0.426808279579633,0.3325,0.0575,0.4425,0.1675,0,0.399399399399399,0.825825825825826,0.021021021021021,0.153153153153153
"Additive only",0.3,5,400,247.720614297692,201,18,132,49,0,313,0,38,351,0.61930153574423,0.5025,0.045,0.33,0.1225,0,0.572649572649573,0.891737891737892,0,0.108262108262108
"Additive only",0.4,5,400,293.680067031097,252,12,95,41,0,338,0,21,359,0.734200167577743,0.63,0.03,0.2375,0.1025,0,0.701949860724234,0.94150417827298,0,0.0584958217270195
