"scenario","configuration","design","all_additive","pve","K","coding","true_share","estimated_share","bias","lower","upper","pip_mass","n_replicates","n_seed_blocks","zero_pip_replicates"
"Additive only","add1_rec0_dom0","add1_rec0_dom0",FALSE,0.1,1,"additive",1,0.499544431308332,-0.500455568691669,0.484392554071729,0.519096319862703,631.091746425428,400,400,0
"Additive only","add1_rec0_dom0","add1_rec0_dom0",FALSE,0.1,1,"recessive",0,0.202645176637514,0.202645176637514,0.189941076111349,0.211771760077361,256.008655914578,400,400,0
"Additive only","add1_rec0_dom0","add1_rec0_dom0",FALSE,0.1,1,"dominant",0,0.297810392054154,0.297810392054154,0.287566293398303,0.307627731079648,376.234161859954,400,400,0
"Additive only","add1_rec0_dom0","add1_rec0_dom0",FALSE,0.2,1,"additive",1,0.53388525835834,-0.46611474164166,0.51569979767139,0.557769623862592,672.339878544553,400,400,0
"Additive only","add1_rec0_dom0","add1_rec0_dom0",FALSE,0.2,1,"recessive",0,0.199444269157095,0.199444269157095,0.187329135222264,0.208395390722881,251.166956948426,400,400,0
"Additive only","add1_rec0_dom0","add1_rec0_dom0",FALSE,0.2,1,"dominant",0,0.266670472484565,0.266670472484565,0.254744184211296,0.276732202167853,335.827203082935,400,400,0
"Additive only","add1_rec0_dom0","add1_rec0_dom0",FALSE,0.3,1,"additive",1,0.539830228369446,-0.460169771630554,0.522301849903618,0.563453839659584,697.082926409769,400,400,0
"Additive only","add1_rec0_dom0","add1_rec0_dom0",FALSE,0.3,1,"recessive",0,0.201942826618666,0.201942826618666,0.189861638077025,0.211289205703348,260.768829066868,400,400,0
"Additive only","add1_rec0_dom0","add1_rec0_dom0",FALSE,0.3,1,"dominant",0,0.258226945011888,0.258226945011888,0.246111201872744,0.26840469668266,333.448527049786,400,400,0
"Additive only","add1_rec0_dom0","add1_rec0_dom0",FALSE,0.4,1,"additive",1,0.544425404748492,-0.455574595251508,0.525278140532438,0.57189916234958,700.835621677908,400,400,0
