"pve","called_coding","bin","n_leads","sum_lead_pip","n_exact","mean_pip","accuracy"
0.1,"additive",1,2424,123.556264305083,222,0.0509720562314701,0.0915841584158416
0.2,"additive",1,433,28.5021491527903,26,0.065824824833234,0.0600461893764434
0.3,"additive",1,156,10.3474423224893,6,0.0663297584774954,0.0384615384615385
0.4,"additive",1,66,4.51197417728157,1,0.0683632451103268,0.0151515151515152
0.1,"dominant",1,2324,113.445121268154,265,0.0488145960706342,0.114027538726334
0.2,"dominant",1,312,20.9980171770401,35,0.0673013371058979,0.112179487179487
0.3,"dominant",1,101,7.02723881717823,1,0.0695766219522597,0.0099009900990099
0.4,"dominant",1,45,2.95105765066637,0,0.0655790589036972,0
0.1,"recessive",1,1835,84.920001153998,338,0.0462779297841951,0.184196185286104
0.2,"recessive",1,255,16.731552297337,34,0.0656139305777923,0.133333333333333
0.3,"recessive",1,55,3.74006477353891,2,0.0680011777007075,0.0363636363636364
0.4,"recessive",1,28,1.80536447494431,0,0.0644773026765826,0
0.1,"additive",2,1374,201.140141610278,148,0.146390204956534,0.107714701601164
0.2,"additive",2,768,115.081526524219,119,0.149845737661743,0.154947916666667
0.3,"additive",2,317,47.9453040923359,32,0.151247016064151,0.100946372239748
0.4,"additive",2,194,29.4291665795713,35,0.151696734946244,0.180412371134021
0.1,"dominant",2,1208,175.557244297447,168,0.145328844617092,0.139072847682119
0.2,"dominant",2,627,95.4158787488247,97,0.1521784350061,0.154704944178628
0.3,"dominant",2,242,36.8450169823468,30,0.152252136290689,0.12396694214876
0.4,"dominant",2,140,21.0486082971889,8,0.150347202122778,0.0571428571428571
0.1,"recessive",2,828,120.660358139985,143,0.145725070217374,0.172705314009662
0.2,"recessive",2,442,65.7924055543126,94,0.148851596276725,0.212669683257919
0.3,"recessive",2,142,21.5631944472719,21,0.151853482023041,0.147887323943662
0.4,"recessive",2,74,11.2720414134663,8,0.152324883965761,0.108108108108108
0.1,"additive",3,810,200.43202496092,140,0.247446944396197,0.172839506172839
0.2,"additive",3,786,196.086394881211,174,0.249473784836146,0.221374045801527
0.3,"additive",3,400,99.9039968499233,89,0.249759992124808,0.2225
0.4,"additive",3,219,54.9220064255603,67,0.250785417468312,0.305936073059361
0.1,"dominant",3,692,168.716910143967,167,0.24381056379186,0.241329479768786
0.2,"dominant",3,648,161.679248874368,137,0.249505013695013,0.21141975308642
0.3,"dominant",3,403,100.424655379352,96,0.249192693249013,0.238213399503722
0.4,"dominant",3,184,46.5012544452963,37,0.252724208941828,0.201086956521739
0.1,"recessive",3,558,137.663211527653,133,0.246708264386475,0.238351254480287
0.2,"recessive",3,480,120.035020493212,133,0.250072959360859,0.277083333333333
0.3,"recessive",3,229,58.3562814408833,58,0.254830923322634,0.253275109170306
0.4,"recessive",3,100,25.5203732871795,19,0.255203732871795,0.19
0.1,"additive",4,488,168.240539406463,103,0.344755203701768,0.211065573770492
0.2,"additive",4,727,252.555495369795,171,0.34739407891306,0.235213204951857
0.3,"additive",4,512,179.664100511503,124,0.35090644631153,0.2421875
0.4,"additive",4,337,117.890947143612,97,0.349824768972142,0.287833827893175
0.1,"dominant",4,397,136.628066359121,130,0.344151300652698,0.327455919395466
0.2,"dominant",4,683,237.997041637094,225,0.348458333290035,0.329428989751098
0.3,"dominant",4,376,131.412939086051,114,0.349502497569285,0.303191489361702
0.4,"dominant",4,292,102.386419328379,92,0.350638422357461,0.315068493150685
0.1,"recessive",4,313,107.833408234942,104,0.344515681261794,0.332268370607029
0.2,"recessive",4,473,165.584207276485,181,0.350072319823435,0.382663847780127
0.3,"recessive",4,273,95.2970242045994,110,0.349073348734796,0.402930402930403
0.4,"recessive",4,148,52.4395677648895,50,0.354321403816821,0.337837837837838
0.1,"additive",5,328,146.369593846616,113,0.446248761727488,0.344512195121951
0.2,"additive",5,609,273.489484673429,222,0.44907961358527,0.364532019704433
0.3,"additive",5,532,240.012954315915,207,0.451152169766758,0.389097744360902
0.4,"additive",5,387,173.452137272009,151,0.448196737136973,0.390180878552972
0.1,"dominant",5,338,151.593576526841,105,0.448501705700714,0.310650887573964
0.2,"dominant",5,507,228.935513591666,203,0.451549336472714,0.400394477317554
0.3,"dominant",5,452,204.285999180166,174,0.451960175177359,0.384955752212389
0.4,"dominant",5,313,139.869679185296,113,0.44686798461756,0.361022364217252
0.1,"recessive",5,259,116.853526444394,109,0.451171916773722,0.420849420849421
0.2,"recessive",5,402,180.13180956935,198,0.448089078530722,0.492537313432836
0.3,"recessive",5,230,103.563774494173,97,0.45027728040945,0.421739130434783
0.4,"recessive",5,177,79.7949231386853,88,0.450818774794832,0.497175141242938
0.1,"additive",6,233,128.098400059701,104,0.549778541028758,0.446351931330472
0.2,"additive",6,595,325.571220887427,266,0.547178522499878,0.447058823529412
0.3,"additive",6,556,304.950289734893,264,0.548471744127506,0.474820143884892
0.4,"additive",6,490,269.687626743748,235,0.550382911721934,0.479591836734694
0.1,"dominant",6,267,145.918561580131,111,0.546511466592251,0.415730337078652
0.2,"dominant",6,561,308.123130450964,306,0.549239091712949,0.545454545454545
0.3,"dominant",6,528,289.786474395616,299,0.548838019688666,0.566287878787879
0.4,"dominant",6,394,217.608075097477,200,0.552304759130653,0.50761421319797
0.1,"recessive",6,222,121.772869151722,124,0.548526437620367,0.558558558558559
0.2,"recessive",6,433,237.843533757028,238,0.549292225766808,0.549653579676674
0.3,"recessive",6,358,197.495152646806,177,0.551662437560912,0.494413407821229
0.4,"recessive",6,253,139.134200262998,137,0.549937550446633,0.541501976284585
0.1,"additive",7,191,124.807971559159,83,0.653444877273085,0.43455497382199
0.2,"additive",7,515,334.061549157048,272,0.648663202246695,0.528155339805825
0.3,"additive",7,596,387.618151937191,321,0.650366026740253,0.538590604026846
0.4,"additive",7,430,279.538189309845,253,0.650088812348476,0.588372093023256
0.1,"dominant",7,174,113.102464084405,86,0.650014161404627,0.494252873563218
0.2,"dominant",7,462,300.235223734031,278,0.649859791632102,0.601731601731602
0.3,"dominant",7,518,335.986189686668,319,0.6486219878121,0.615830115830116
0.4,"dominant",7,436,284.598923862544,272,0.652749825372807,0.623853211009174
0.1,"recessive",7,184,119.404422602296,110,0.648937079360303,0.597826086956522
0.2,"recessive",7,361,233.830805126198,238,0.647730762122433,0.659279778393352
0.3,"recessive",7,390,252.935704039491,256,0.648553087280745,0.656410256410256
0.4,"recessive",7,233,151.248101427237,146,0.649133482520331,0.626609442060086
0.1,"additive",8,132,98.790695483878,69,0.748414359726348,0.522727272727273
0.2,"additive",8,444,332.159129159882,300,0.748106146756492,0.675675675675676
0.3,"additive",8,523,391.071865212517,328,0.747747352222785,0.627151051625239
0.4,"additive",8,493,370.310558390663,289,0.751137035275178,0.586206896551724
0.1,"dominant",8,145,108.509464141266,92,0.748341132008732,0.63448275862069
0.2,"dominant",8,404,303.419461944519,278,0.751038272139899,0.688118811881188
0.3,"dominant",8,499,374.769794626976,329,0.751041672599151,0.659318637274549
0.4,"dominant",8,396,296.902108064336,284,0.749752798142264,0.717171717171717
0.1,"recessive",8,127,94.753953213793,92,0.746094119793646,0.724409448818898
0.2,"recessive",8,321,240.707797848163,210,0.749868529122002,0.654205607476635
0.3,"recessive",8,372,279.629131519781,286,0.751691213762851,0.768817204301075
0.4,"recessive",8,318,239.869345059868,229,0.754306116540467,0.720125786163522
0.1,"additive",9,123,104.529622286961,77,0.84983432753627,0.626016260162602
0.2,"additive",9,467,398.280651000084,318,0.852849359743222,0.680942184154176
0.3,"additive",9,642,544.758442227658,471,0.848533399108502,0.733644859813084
0.4,"additive",9,571,488.470227182581,427,0.855464495941473,0.747810858143608
0.1,"dominant",9,144,122.128717970674,106,0.848116097018567,0.736111111111111
0.2,"dominant",9,516,439.607805199041,416,0.851953110850855,0.806201550387597
0.3,"dominant",9,579,494.857466187791,478,0.854676107405511,0.825561312607945
0.4,"dominant",9,548,467.753669944474,446,0.853565091139551,0.813868613138686
0.1,"recessive",9,146,124.380472363443,121,0.851921043585227,0.828767123287671
0.2,"recessive",9,408,347.382586982186,348,0.851427909270063,0.852941176470588
0.3,"recessive",9,404,344.658648022136,354,0.853115465401326,0.876237623762376
0.4,"recessive",9,378,321.059044338698,328,0.849362551160575,0.867724867724868
