"pve","K","called_coding","n_leads","n_exact","n_wrong_coding","n_wrong_snp","sum_pip","mean_pip","exact_accuracy"
0.1,1,"additive",26,26,0,0,25.0531508813904,0.963582726207324,1
0.2,1,"additive",75,73,0,2,73.4097348066048,0.978796464088064,0.973333333333333
0.3,1,"additive",111,107,0,4,109.418103731091,0.985748682262084,0.963963963963964
0.4,1,"additive",137,133,0,4,135.371078458494,0.988110061740835,0.970802919708029
0.1,2,"additive",21,17,0,4,20.2235196016508,0.963024742935755,0.80952380952381
0.2,2,"additive",79,72,0,7,76.9276532212481,0.973767762294279,0.911392405063291
0.3,2,"additive",139,130,0,9,136.012243982813,0.978505352394341,0.935251798561151
0.4,2,"additive",183,173,0,10,180.92781188834,0.988676567695848,0.945355191256831
0.1,3,"additive",4,3,0,1,3.78107410212335,0.945268525530839,0.75
0.2,3,"additive",53,47,0,6,51.1998250250159,0.966034434434263,0.886792452830189
0.3,3,"additive",109,106,0,3,106.474990640587,0.976834776519143,0.972477064220184
0.4,3,"additive",178,171,0,7,174.653470125392,0.981199270367373,0.960674157303371
0.1,4,"additive",5,4,0,1,4.79819108722072,0.959638217444143,0.8
0.2,4,"additive",34,32,0,2,32.9675945896682,0.969635134990242,0.941176470588235
0.3,4,"additive",112,105,0,7,108.777181083662,0.971224831104127,0.9375
0.4,4,"additive",179,166,0,13,175.528235706646,0.980604668752214,0.927374301675978
0.1,5,"additive",3,3,0,0,2.83680612843562,0.945602042811875,1
0.2,5,"additive",33,31,0,2,31.6909049947613,0.960330454386705,0.939393939393939
0.3,5,"additive",105,95,0,10,101.779526380582,0.969328822672212,0.904761904761905
0.4,5,"additive",166,152,0,14,162.91154149823,0.981394828302593,0.91566265060241
0.2,1,"dominant",1,0,1,0,0.93518512043338,0.93518512043338,0
0.3,1,"dominant",1,0,1,0,0.959061391483782,0.959061391483782,0
0.4,1,"dominant",1,0,1,0,0.967937329964464,0.967937329964464,0
0.1,3,"dominant",2,0,2,0,1.86185393221256,0.930926966106278,0
0.2,3,"dominant",2,0,2,0,1.91834172535419,0.959170862677096,0
0.3,3,"dominant",1,0,1,0,0.939007124470384,0.939007124470384,0
0.4,3,"dominant",1,0,1,0,0.945008994569965,0.945008994569965,0
0.2,4,"dominant",2,0,2,0,1.91455386067807,0.957276930339036,0
0.3,4,"dominant",4,0,3,1,3.86647584028968,0.966618960072421,0
0.4,4,"dominant",5,0,4,1,4.7837504543073,0.95675009086146,0
0.2,5,"dominant",2,0,2,0,1.83240663265463,0.916203316327316,0
0.3,5,"dominant",3,0,3,0,2.79579753090558,0.931932510301861,0
0.4,5,"dominant",2,0,2,0,1.91927482042656,0.959637410213279,0
0.3,2,"recessive",1,0,0,1,0.979749027558214,0.979749027558214,0
0.4,2,"recessive",1,0,0,1,0.998891172103708,0.998891172103708,0
0.1,5,"recessive",1,0,0,1,0.968555461284693,0.968555461284693,0
