"pve","called_coding","n_leads","n_exact","n_wrong_coding","n_wrong_snp","sum_pip","mean_pip","exact_accuracy"
0.1,"additive",142,119,8,15,135.469929956917,0.954013591245895,0.838028169014085
0.2,"additive",874,770,26,78,845.653473559014,0.9675669033856,0.881006864988558
0.3,"additive",2007,1806,30,171,1955.77664895208,0.974477652691621,0.899850523168909
0.4,"additive",3040,2763,36,241,2986.11328013499,0.982274105307561,0.908881578947368
0.1,"dominant",172,147,4,21,163.58480860372,0.95107446862628,0.854651162790698
0.2,"dominant",1112,1043,24,45,1075.06371651147,0.966783917726146,0.93794964028777
0.3,"dominant",2278,2185,30,63,2228.04621709657,0.97807121031456,0.959174714661984
0.4,"dominant",3243,3146,34,63,3191.10816392646,0.983998817121943,0.97008942337342
0.1,"recessive",468,433,0,35,455.647424970653,0.973605608911652,0.925213675213675
0.2,"recessive",2227,2169,2,56,2189.37556392093,0.983105327310702,0.973955994611585
0.3,"recessive",3971,3903,1,67,3927.90435225195,0.989147406762012,0.982875849911861
0.4,"recessive",4904,4856,3,45,4868.39114335254,0.992738813897337,0.99021207177814
