"pve","K","called_coding","n_leads","n_exact","n_wrong_coding","n_wrong_snp","sum_pip","mean_pip","exact_accuracy"
0.1,1,"additive",27,26,1,0,25.9697636893455,0.961843099605391,0.962962962962963
0.2,1,"additive",77,73,2,2,75.2581864671834,0.977379045028356,0.948051948051948
0.3,1,"additive",113,107,2,4,111.318986857731,0.985123777502046,0.946902654867257
0.4,1,"additive",139,133,2,4,137.283172831479,0.987648725406325,0.956834532374101
0.1,2,"additive",42,35,1,6,40.4688246082074,0.963543443052557,0.833333333333333
0.2,2,"additive",157,143,2,12,152.795981484145,0.973222812000924,0.910828025477707
0.3,2,"additive",279,256,1,22,272.78343165335,0.97771839302276,0.917562724014337
0.4,2,"additive",344,325,0,19,340.067616292472,0.988568652013001,0.944767441860465
0.1,3,"additive",23,14,6,3,21.8508216299729,0.950035723042298,0.608695652173913
0.2,3,"additive",184,156,10,18,178.378322302233,0.969447403816484,0.847826086956522
0.3,3,"additive",380,347,9,24,371.580077924621,0.977842310327951,0.913157894736842
0.4,3,"additive",554,515,10,29,544.780555476879,0.983358403387868,0.929602888086643
0.1,4,"additive",23,22,0,1,21.8658254723679,0.950688064015996,0.956521739130435
0.2,4,"additive",219,193,4,22,211.397103887952,0.965283579397043,0.881278538812785
0.3,4,"additive",531,489,10,32,517.117049013868,0.973855082888641,0.92090395480226
0.4,4,"additive",840,763,9,68,824.885651221425,0.982006727644554,0.908333333333333
0.1,5,"additive",27,22,0,5,25.3146945570234,0.937581279889755,0.814814814814815
0.2,5,"additive",237,205,8,24,227.8238794175,0.961282191635022,0.864978902953586
0.3,5,"additive",704,607,8,89,682.977103502513,0.970137931111524,0.862215909090909
0.4,5,"additive",1163,1027,15,121,1139.09628431273,0.979446504138204,0.883061049011178
0.1,1,"dominant",45,44,0,1,43.3655275231815,0.963678389404034,0.977777777777778
0.2,1,"dominant",83,81,1,1,81.7228414497491,0.984612547587339,0.975903614457831
0.3,1,"dominant",123,120,1,2,120.948104858887,0.983317925682009,0.975609756097561
0.4,1,"dominant",141,138,1,2,139.738605716471,0.991053941251567,0.978723404255319
0.1,2,"dominant",45,42,0,3,42.9353439421184,0.954118754269297,0.933333333333333
0.2,2,"dominant",171,167,0,4,166.88349374581,0.975926864010584,0.976608187134503
0.3,2,"dominant",286,282,0,4,279.68107897008,0.977905870524755,0.986013986013986
0.4,2,"dominant",377,374,0,3,370.996752445199,0.98407626643289,0.992042440318302
0.1,3,"dominant",34,30,4,0,32.1158275821517,0.944583164180934,0.882352941176471
0.2,3,"dominant",249,231,11,7,240.645378922234,0.966447304908571,0.927710843373494
0.3,3,"dominant",450,432,11,7,440.925545909042,0.979834546464537,0.96
0.4,3,"dominant",618,603,8,7,609.722563964644,0.986606090557676,0.975728155339806
0.1,4,"dominant",22,19,0,3,20.7125141622463,0.941477916465739,0.863636363636364
0.2,4,"dominant",307,292,10,5,296.651559674629,0.966291725324524,0.95114006514658
0.3,4,"dominant",607,582,14,11,594.618246408053,0.97960172390124,0.958813838550247
0.4,4,"dominant",865,836,18,11,851.32045517928,0.984185497317087,0.966473988439306
0.1,5,"dominant",26,12,0,14,24.4555953940223,0.94059982284701,0.461538461538462
0.2,5,"dominant",302,272,2,28,289.160442719052,0.957484909665736,0.900662251655629
0.3,5,"dominant",812,769,4,39,791.873240950507,0.975213350924269,0.947044334975369
0.4,5,"dominant",1242,1195,7,40,1219.32978662087,0.981747010161729,0.962157809983897
0.1,1,"recessive",67,65,0,2,66.0503973727692,0.985826826459242,0.970149253731343
0.2,1,"recessive",99,98,0,1,98.0454014830979,0.990357590738363,0.98989898989899
0.3,1,"recessive",123,122,0,1,121.973420414979,0.991653824512022,0.991869918699187
0.4,1,"recessive",141,141,0,0,140.040078128609,0.993192043465311,1
0.1,2,"recessive",117,111,0,6,114.567505667667,0.979209450151002,0.948717948717949
0.2,2,"recessive",291,285,0,6,287.661858349677,0.988528722851125,0.979381443298969
0.3,2,"recessive",378,372,1,5,374.576200744899,0.990942330012959,0.984126984126984
0.4,2,"recessive",425,420,1,4,422.370326463267,0.993812532854745,0.988235294117647
0.1,3,"recessive",118,112,0,6,114.333832489972,0.968930783813321,0.949152542372881
0.2,3,"recessive",520,510,0,10,512.101627926136,0.984810822934876,0.980769230769231
0.3,3,"recessive",747,746,0,1,741.181852177218,0.992211314828939,0.998661311914324
0.4,3,"recessive",866,864,0,2,859.922922873342,0.992982589923028,0.997690531177829
0.1,4,"recessive",68,60,0,8,65.6288338539407,0.965129909616775,0.882352941176471
0.2,4,"recessive",660,641,0,19,648.377954321386,0.982390839880888,0.971212121212121
0.3,4,"recessive",1178,1163,0,15,1165.15481328774,0.989095766797743,0.987266553480475
0.4,4,"recessive",1419,1413,0,6,1410.20350719574,0.993800921209116,0.995771670190275
0.1,5,"recessive",98,85,0,13,95.0668555863043,0.970069954962289,0.86734693877551
0.2,5,"recessive",657,635,2,20,643.188721840637,0.978978267641761,0.966514459665145
0.3,5,"recessive",1545,1500,0,45,1525.01806562711,0.987066709143762,0.970873786407767
0.4,5,"recessive",2053,2018,2,33,2035.85430869159,0.991648469893612,0.982951777886021
