"scope","pve","K","bin","n_runs","sum_lead_pip","n_exact","n_wrong_coding","n_wrong_snp","n_ambiguous","n_no_support","n_lead_additive","n_lead_recessive","n_lead_dominant","n_unique","mean_lead_pip","fraction_exact","fraction_wrong_coding","fraction_wrong_snp","fraction_ambiguous","fraction_no_support","exact_accuracy_unique","share_unique_additive","share_unique_recessive","share_unique_dominant","bin_lower","bin_upper"
"Additive only",0.1,1,1,93,5.57707327493303,1,0,53,39,0,49,0,5,54,0.0599685298379895,0.010752688172043,0,0.56989247311828,0.419354838709677,0,0.0185185185185185,0.907407407407407,0,0.0925925925925926,0,0.1
"All simulations",0.1,1,1,292,16.7584979141491,8,0,130,154,0,58,34,46,138,0.0573921161443464,0.0273972602739726,0,0.445205479452055,0.527397260273973,0,0.0579710144927536,0.420289855072464,0.246376811594203,0.333333333333333,0,0.1
"Additive only",0.2,1,1,55,3.28479516041404,2,0,22,31,0,24,0,0,24,0.0597235483711643,0.0363636363636364,0,0.4,0.563636363636364,0,0.0833333333333333,1,0,0,0,0.1
"All simulations",0.2,1,1,199,10.8848488066527,4,0,55,140,0,26,9,24,59,0.0546977326967471,0.0201005025125628,0,0.276381909547739,0.703517587939699,0,0.0677966101694915,0.440677966101695,0.152542372881356,0.406779661016949,0,0.1
"Additive only",0.3,1,1,45,2.7390653903166,2,0,16,27,0,18,0,0,18,0.0608681197848134,0.0444444444444444,0,0.355555555555556,0.6,0,0.111111111111111,1,0,0,0,0.1
"All simulations",0.3,1,1,172,9.28036062175835,2,0,40,130,0,18,4,20,42,0.053955585010223,0.0116279069767442,0,0.232558139534884,0.755813953488372,0,0.0476190476190476,0.428571428571429,0.0952380952380952,0.476190476190476,0,0.1
"Additive only",0.4,1,1,41,2.58831594171875,0,0,18,23,0,18,0,0,18,0.0631296571150916,0,0,0.439024390243902,0.560975609756098,0,0,1,0,0,0,0.1
"All simulations",0.4,1,1,165,8.83296271730641,0,0,40,125,0,18,5,17,40,0.0535331073776146,0,0,0.242424242424242,0.757575757575758,0,0,0.45,0.125,0.425,0,0.1
"Additive only",0.1,2,1,83,5.05171046714644,4,2,60,17,0,49,3,14,66,0.0608639815318848,0.0481927710843374,0.0240963855421687,0.72289156626506,0.204819277108434,0,0.0606060606060606,0.742424242424242,0.0454545454545455,0.212121212121212,0,0.1
"All simulations",0.1,2,1,501,29.3532840178746,24,5,300,164,8,138,92,99,329,0.0585893892572348,0.0479041916167665,0.00998003992015968,0.598802395209581,0.327345309381238,0.0159680638722555,0.0729483282674772,0.419452887537994,0.279635258358663,0.300911854103343,0,0.1
"Additive only",0.2,2,1,25,1.72307080878629,1,0,14,10,0,13,0,2,15,0.0689228323514516,0.04,0,0.56,0.4,0,0.0666666666666667,0.866666666666667,0,0.133333333333333,0,0.1
"All simulations",0.2,2,1,172,11.5211012745038,2,1,83,85,1,25,29,32,86,0.0669831469447893,0.0116279069767442,0.00581395348837209,0.482558139534884,0.494186046511628,0.00581395348837209,0.0232558139534884,0.290697674418605,0.337209302325581,0.372093023255814,0,0.1
"Additive only",0.3,2,1,12,0.856647027306986,0,0,5,7,0,5,0,0,5,0.0713872522755822,0,0,0.416666666666667,0.583333333333333,0,0,1,0,0,0,0.1
"All simulations",0.3,2,1,102,6.65323906686843,0,0,37,64,1,18,11,8,37,0.0652278339889061,0,0,0.362745098039216,0.627450980392157,0.00980392156862745,0,0.486486486486487,0.297297297297297,0.216216216216216,0,0.1
"Additive only",0.4,2,1,7,0.455514126609044,0,0,3,4,0,3,0,0,3,0.0650734466584349,0,0,0.428571428571429,0.571428571428571,0,0,1,0,0,0,0.1
"All simulations",0.4,2,1,83,5.45991953890564,0,0,21,62,0,8,7,6,21,0.065782163119345,0,0,0.253012048192771,0.746987951807229,0,0,0.380952380952381,0.333333333333333,0.285714285714286,0,0.1
"Additive only",0.1,3,1,135,7.30926260770938,7,2,96,29,1,68,7,30,105,0.0541426859830325,0.0518518518518519,0.0148148148148148,0.711111111111111,0.214814814814815,0.00740740740740741,0.0666666666666667,0.647619047619048,0.0666666666666667,0.285714285714286,0,0.1
"All simulations",0.1,3,1,1364,71.7723005429346,116,21,853,361,13,359,282,349,990,0.0526189886678406,0.0850439882697947,0.0153958944281525,0.625366568914956,0.26466275659824,0.00953079178885631,0.117171717171717,0.362626262626263,0.284848484848485,0.352525252525253,0,0.1
"Additive only",0.2,3,1,27,1.77440546311658,1,0,19,7,0,18,1,1,20,0.0657187208561696,0.037037037037037,0,0.703703703703704,0.259259259259259,0,0.05,0.9,0.05,0.05,0,0.1
"All simulations",0.2,3,1,212,14.0210623960061,7,1,117,87,0,53,28,44,125,0.0661370867736138,0.0330188679245283,0.00471698113207547,0.55188679245283,0.410377358490566,0,0.056,0.424,0.224,0.352,0,0.1
"Additive only",0.3,3,1,13,0.893342299894737,0,0,8,5,0,8,0,0,8,0.0687186384534413,0,0,0.615384615384615,0.384615384615385,0,0,1,0,0,0,0.1
"All simulations",0.3,3,1,104,7.27073653796349,2,0,56,46,0,24,16,18,58,0.0699109282496489,0.0192307692307692,0,0.538461538461538,0.442307692307692,0,0.0344827586206897,0.413793103448276,0.275862068965517,0.310344827586207,0,0.1
"Additive only",0.4,3,1,3,0.168331119635882,0,0,3,0,0,3,0,0,3,0.0561103732119606,0,0,1,0,0,0,1,0,0,0,0.1
"All simulations",0.4,3,1,48,2.87248573599252,1,0,22,25,0,11,5,7,23,0.0598434528331776,0.0208333333333333,0,0.458333333333333,0.520833333333333,0,0.0434782608695652,0.478260869565217,0.217391304347826,0.304347826086957,0,0.1
"Additive only",0.1,4,1,178,9.15331360280799,11,9,120,38,0,80,14,46,140,0.0514231101281348,0.0617977528089888,0.050561797752809,0.674157303370786,0.213483146067416,0,0.0785714285714286,0.571428571428571,0.1,0.328571428571429,0,0.1
"All simulations",0.1,4,1,2563,127.987993998191,244,51,1605,642,21,694,534,672,1900,0.0499367904792005,0.0952009364026531,0.0198985563792431,0.626219274287944,0.250487709715178,0.00819352321498244,0.128421052631579,0.365263157894737,0.281052631578947,0.353684210526316,0,0.1
"Additive only",0.2,4,1,31,2.07982859041503,2,0,17,12,0,16,0,3,19,0.0670912448520978,0.0645161290322581,0,0.548387096774194,0.387096774193548,0,0.105263157894737,0.842105263157895,0,0.157894736842105,0,0.1
"All simulations",0.2,4,1,372,24.3191046831999,14,3,210,145,0,119,47,61,227,0.0653739373204299,0.0376344086021505,0.00806451612903226,0.564516129032258,0.389784946236559,0,0.0616740088105727,0.524229074889868,0.20704845814978,0.268722466960352,0,0.1
"Additive only",0.3,4,1,10,0.704480238156121,0,0,7,3,0,7,0,0,7,0.0704480238156121,0,0,0.7,0.3,0,0,1,0,0,0,0.1
"All simulations",0.3,4,1,131,9.0376503217256,1,0,73,57,0,47,7,20,74,0.0689896971124092,0.00763358778625954,0,0.557251908396947,0.435114503816794,0,0.0135135135135135,0.635135135135135,0.0945945945945946,0.27027027027027,0,0.1
"Additive only",0.4,4,1,2,0.16605293412664,0,0,1,1,0,1,0,0,1,0.08302646706332,0,0,0.5,0.5,0,0,1,0,0,0,0.1
"All simulations",0.4,4,1,55,3.76247978335093,0,0,25,30,0,13,6,6,25,0.0684087233336532,0,0,0.454545454545455,0.545454545454545,0,0,0.52,0.24,0.24,0,0.1
"Additive only",0.1,5,1,189,8.61672370379144,14,3,126,46,0,89,17,37,143,0.0455911307078912,0.0740740740740741,0.0158730158730159,0.666666666666667,0.243386243386243,0,0.0979020979020979,0.622377622377622,0.118881118881119,0.258741258741259,0,0.1
"All simulations",0.1,5,1,4278,199.362226156159,433,85,2708,1025,27,1175,893,1158,3226,0.0466017358943803,0.101215521271622,0.0198690977092099,0.633006077606358,0.239597942964002,0.00631136044880785,0.134221946683199,0.364228146311221,0.276813391196528,0.35895846249225,0,0.1
"Additive only",0.2,5,1,44,2.95721205261107,0,1,28,15,0,25,3,1,29,0.0672093648320697,0,0.0227272727272727,0.636363636363636,0.340909090909091,0,0,0.862068965517241,0.103448275862069,0.0344827586206897,0,0.1
"All simulations",0.2,5,1,801,54.4047279102804,68,6,429,298,0,210,142,151,503,0.0679210086270666,0.0848938826466916,0.00749063670411985,0.535580524344569,0.372034956304619,0,0.135188866799205,0.417495029821074,0.282306163021869,0.300198807157058,0,0.1
"Additive only",0.3,5,1,7,0.433632166378956,0,0,4,3,0,4,0,0,4,0.0619474523398508,0,0,0.571428571428571,0.428571428571429,0,0,1,0,0,0,0.1
"All simulations",0.3,5,1,143,10.1331091075252,4,3,94,42,0,49,17,35,101,0.0708609028498266,0.027972027972028,0.020979020979021,0.657342657342657,0.293706293706294,0,0.0396039603960396,0.485148514851485,0.168316831683168,0.346534653465347,0,0.1
"Additive only",0.4,5,1,1,0.0789426673338854,0,0,1,0,0,1,0,0,1,0.0789426673338854,0,0,1,0,0,0,1,0,0,0,0.1
"All simulations",0.4,5,1,48,3.44562910036512,0,1,29,18,0,16,5,9,30,0.0717839395909399,0,0.0208333333333333,0.604166666666667,0.375,0,0,0.533333333333333,0.166666666666667,0.3,0,0.1
"Additive only",0.1,1,2,83,11.9378116325127,7,0,44,32,0,46,1,4,51,0.143829055813406,0.0843373493975904,0,0.530120481927711,0.385542168674699,0,0.137254901960784,0.901960784313726,0.0196078431372549,0.0784313725490196,0.1,0.2
"All simulations",0.1,1,2,213,31.3446626728822,23,1,94,95,0,54,24,40,118,0.147158040717757,0.107981220657277,0.00469483568075117,0.44131455399061,0.446009389671362,0,0.194915254237288,0.457627118644068,0.203389830508475,0.338983050847458,0.1,0.2
