"scenario","pve","K","method","n_cs","covered_cs","purity_sum","recovered","n_causal","n_replicates","n_configurations","coverage","purity","power"
"Additive + dominant",0.1,2,"SuSiE",490,457,409.628996568652,463,798,399,1,0.93265306122449,0.835977544017658,0.580200501253133
"Additive + dominant",0.1,2,"SuSiE-mix",492,466,401.45453196349,472,798,399,1,0.947154471544715,0.815964495860751,0.591478696741855
"Additive + dominant",0.1,3,"SuSiE",701,622,574.920249253504,644,2400,800,2,0.887303851640514,0.820143008920833,0.268333333333333
"Additive + dominant",0.1,3,"SuSiE-mix",652,600,517.720132004993,621,2400,800,2,0.920245398773006,0.794049282216247,0.25875
"Additive + dominant",0.1,4,"SuSiE",896,779,716.921692680007,827,4800,1200,3,0.869419642857143,0.800135817723223,0.172291666666667
"Additive + dominant",0.1,4,"SuSiE-mix",817,728,634.555404384595,774,4800,1200,3,0.891064871481028,0.776689601449932,0.16125
"Additive + dominant",0.1,5,"SuSiE",910,744,730.796811328519,834,8000,1600,4,0.817582417582418,0.803073419042328,0.10425
"Additive + dominant",0.1,5,"SuSiE-mix",760,663,603.003813514742,746,8000,1600,4,0.872368421052632,0.793426070414134,0.09325
"Additive + dominant",0.2,2,"SuSiE",770,732,713.568388253447,735,798,399,1,0.950649350649351,0.926712192536944,0.921052631578947
"Additive + dominant",0.2,2,"SuSiE-mix",781,755,714.251953196636,757,798,399,1,0.966709346991037,0.914535151340123,0.948621553884712
"Additive + dominant",0.2,3,"SuSiE",1899,1759,1683.13836222013,1776,2400,800,2,0.926276987888362,0.886328784739403,0.74
"Additive + dominant",0.2,3,"SuSiE-mix",1929,1837,1665.80487860139,1856,2400,800,2,0.952306894764126,0.863558775843123,0.773333333333333
"Additive + dominant",0.2,4,"SuSiE",2911,2640,2513.41834635735,2673,4800,1200,3,0.906904843696324,0.863420936570713,0.556875
"Additive + dominant",0.2,4,"SuSiE-mix",2972,2781,2494.66767414847,2817,4800,1200,3,0.935733512786003,0.839390199915365,0.586875
"Additive + dominant",0.2,5,"SuSiE",3587,3121,3060.30858907628,3218,8000,1600,4,0.87008642319487,0.853166598571586,0.40225
"Additive + dominant",0.2,5,"SuSiE-mix",3608,3267,2992.89385158721,3395,8000,1600,4,0.905487804878049,0.82951603425366,0.424375
"Additive + dominant",0.3,2,"SuSiE",784,740,753.771757952135,743,798,399,1,0.943877551020408,0.961443568816499,0.931077694235589
"Additive + dominant",0.3,2,"SuSiE-mix",792,768,759.875307077014,767,798,399,1,0.96969696969697,0.959438519036633,0.961152882205514
"Additive + dominant",0.3,3,"SuSiE",2205,2036,2056.24976915441,2050,2400,800,2,0.923356009070295,0.932539577847805,0.854166666666667
"Additive + dominant",0.3,3,"SuSiE-mix",2251,2140,2077.28044901637,2159,2400,800,2,0.950688582852066,0.922825610402651,0.899583333333333
"Additive + dominant",0.3,4,"SuSiE",4041,3733,3682.00584874068,3763,4800,1200,3,0.923781242266766,0.911162051160771,0.783958333333333
"Additive + dominant",0.3,4,"SuSiE-mix",4116,3868,3692.49316187199,3901,4800,1200,3,0.93974732750243,0.897107182184644,0.812708333333333
"Additive + dominant",0.3,5,"SuSiE",5776,5129,5171.46927826848,5199,8000,1600,4,0.887984764542936,0.895337478924599,0.649875
"Additive + dominant",0.3,5,"SuSiE-mix",6056,5544,5315.38047578887,5637,8000,1600,4,0.915455746367239,0.87770483417914,0.704625
"Additive + dominant",0.4,2,"SuSiE",798,751,780.775632249331,750,798,399,1,0.941102756892231,0.978415579259813,0.93984962406015
"Additive + dominant",0.4,2,"SuSiE-mix",799,772,780.961714698597,769,798,399,1,0.966207759699625,0.977423923277343,0.963659147869674
"Additive + dominant",0.4,3,"SuSiE",2290,2124,2204.64630408272,2135,2400,800,2,0.927510917030568,0.962727643704243,0.889583333333333
"Additive + dominant",0.4,3,"SuSiE-mix",2327,2213,2227.66584853881,2227,2400,800,2,0.951009883970778,0.957312354335544,0.927916666666667
"Additive + dominant",0.4,4,"SuSiE",4338,3992,4098.04821319682,4017,4800,1200,3,0.920239741816505,0.944686079575109,0.836875
"Additive + dominant",0.4,4,"SuSiE-mix",4443,4197,4171.35742877596,4225,4800,1200,3,0.944632005401756,0.938860551153716,0.880208333333333
"Additive + dominant",0.4,5,"SuSiE",6815,6062,6334.41415160309,6113,8000,1600,4,0.889508437270726,0.929481166779617,0.764125
"Additive + dominant",0.4,5,"SuSiE-mix",7028,6456,6481.20943130177,6514,8000,1600,4,0.918611269208879,0.922198268540377,0.81425
"Additive + recessive + dominant",0.1,3,"SuSiE",253,214,200.213393537553,222,1200,400,1,0.845849802371542,0.791357286709695,0.185
"Additive + recessive + dominant",0.1,3,"SuSiE-mix",309,279,248.750045106544,287,1200,400,1,0.902912621359223,0.805016327205644,0.239166666666667
"Additive + recessive + dominant",0.1,4,"SuSiE",601,532,477.294035959962,575,4800,1200,3,0.885191347753744,0.794166449184629,0.119791666666667
"Additive + recessive + dominant",0.1,4,"SuSiE-mix",753,696,592.943397299951,750,4800,1200,3,0.924302788844621,0.787441430677226,0.15625
"Additive + recessive + dominant",0.1,5,"SuSiE",962,788,743.95185374018,900,12000,2400,6,0.819126819126819,0.773338725301642,0.075
"Additive + recessive + dominant",0.1,5,"SuSiE-mix",1047,917,802.925664339824,1043,12000,2400,6,0.875835721107927,0.766882200897635,0.0869166666666667
"Additive + recessive + dominant",0.2,3,"SuSiE",711,634,612.96604942634,640,1200,400,1,0.891701828410689,0.862118212976568,0.533333333333333
"Additive + recessive + dominant",0.2,3,"SuSiE-mix",990,942,869.525053383336,952,1200,400,1,0.951515151515152,0.878308134730642,0.793333333333333
"Additive + recessive + dominant",0.2,4,"SuSiE",2042,1831,1729.93635146534,1879,4800,1200,3,0.896669931439765,0.847177449297422,0.391458333333333
"Additive + recessive + dominant",0.2,4,"SuSiE-mix",2969,2821,2531.17584933263,2858,4800,1200,3,0.9501515661839,0.852534809475457,0.595416666666667
"Additive + recessive + dominant",0.2,5,"SuSiE",3541,3050,2938.07446170556,3214,12000,2400,6,0.861338604913866,0.829730150156894,0.267833333333333
"Additive + recessive + dominant",0.2,5,"SuSiE-mix",5068,4646,4190.29730442197,4839,12000,2400,6,0.916732438831886,0.826814779878053,0.40325
"Additive + recessive + dominant",0.3,3,"SuSiE",966,872,873.390162784566,874,1200,400,1,0.902691511387164,0.904130603296653,0.728333333333333
"Additive + recessive + dominant",0.3,3,"SuSiE-mix",1157,1104,1082.70156168951,1108,1200,400,1,0.95419187554019,0.935783545107618,0.923333333333333
"Additive + recessive + dominant",0.3,4,"SuSiE",3213,2884,2852.49411660657,2920,4800,1200,3,0.89760348583878,0.887797733148635,0.608333333333333
"Additive + recessive + dominant",0.3,4,"SuSiE-mix",4289,4086,3900.78206973209,4118,4800,1200,3,0.952669619958032,0.909485210942431,0.857916666666667
"Additive + recessive + dominant",0.3,5,"SuSiE",6300,5518,5494.63356344863,5651,12000,2400,6,0.875873015873016,0.872164057690259,0.470916666666667
