"file","scenario","configuration","pve","K","saved","examined","included","errors","duplicates","nonconverged","excluded_nonconverged","error_messages"
"additive_dominant_add4_rec0_dom1_n500_L10_pve0.2_seed1e+06_reps400_chunk1.RData","Additive + dominant","add4_rec0_dom1",0.2,5,400,400,400,0,0,0,0,""
"additive_dominant_add4_rec0_dom1_n500_L10_pve0.1_seed1e+06_reps400_chunk1.RData","Additive + dominant","add4_rec0_dom1",0.1,5,400,400,400,0,0,0,0,""
"additive_recessive_dominant_add3_rec1_dom1_n500_L10_pve0.2_seed1e+06_reps400_chunk1.RData","Additive + recessive + dominant","add3_rec1_dom1",0.2,5,400,400,400,0,0,0,0,""
"additive_dominant_add4_rec0_dom1_n500_L10_pve0.3_seed1e+06_reps400_chunk1.RData","Additive + dominant","add4_rec0_dom1",0.3,5,400,400,400,0,0,0,0,""
"additive_add5_rec0_dom0_n500_L10_pve0.4_seed1e+06_reps400_chunk1.RData","Additive only","add5_rec0_dom0",0.4,5,400,400,400,0,0,0,0,""
"additive_add5_rec0_dom0_n500_L10_pve0.2_seed1e+06_reps400_chunk1.RData","Additive only","add5_rec0_dom0",0.2,5,400,400,400,0,0,0,0,""
"additive_add5_rec0_dom0_n500_L10_pve0.3_seed1e+06_reps400_chunk1.RData","Additive only","add5_rec0_dom0",0.3,5,400,400,400,0,0,0,0,""
"recessive_add0_rec4_dom0_n500_L10_pve0.2_seed1e+06_reps400_chunk1.RData","Recessive only","add0_rec4_dom0",0.2,4,400,400,400,0,0,0,0,""
"additive_dominant_add4_rec0_dom1_n500_L10_pve0.4_seed1e+06_reps400_chunk1.RData","Additive + dominant","add4_rec0_dom1",0.4,5,400,400,400,0,0,0,0,""
"additive_add5_rec0_dom0_n500_L10_pve0.1_seed1e+06_reps400_chunk1.RData","Additive only","add5_rec0_dom0",0.1,5,400,400,400,0,0,0,0,""
"additive_recessive_add1_rec1_dom0_n500_L10_pve0.1_seed1e+06_reps400_chunk1.RData","Additive + recessive","add1_rec1_dom0",0.1,2,400,400,400,0,0,0,0,""
"additive_recessive_add4_rec1_dom0_n500_L10_pve0.2_seed1e+06_reps400_chunk1.RData","Additive + recessive","add4_rec1_dom0",0.2,5,400,400,400,0,0,0,0,""
"additive_recessive_add4_rec1_dom0_n500_L10_pve0.1_seed1e+06_reps400_chunk1.RData","Additive + recessive","add4_rec1_dom0",0.1,5,400,400,400,0,0,0,0,""
"additive_recessive_dominant_add3_rec1_dom1_n500_L10_pve0.1_seed1e+06_reps400_chunk1.RData","Additive + recessive + dominant","add3_rec1_dom1",0.1,5,400,400,400,0,0,0,0,""
"additive_dominant_add3_rec0_dom2_n500_L10_pve0.4_seed1e+06_reps400_chunk1.RData","Additive + dominant","add3_rec0_dom2",0.4,5,400,400,400,0,0,0,0,""
"additive_recessive_add4_rec1_dom0_n500_L10_pve0.3_seed1e+06_reps400_chunk1.RData","Additive + recessive","add4_rec1_dom0",0.3,5,400,400,400,0,0,0,0,""
"recessive_add0_rec4_dom0_n500_L10_pve0.1_seed1e+06_reps400_chunk1.RData","Recessive only","add0_rec4_dom0",0.1,4,400,400,400,0,0,0,0,""
"additive_recessive_add4_rec1_dom0_n500_L10_pve0.4_seed1e+06_reps400_chunk1.RData","Additive + recessive","add4_rec1_dom0",0.4,5,400,400,400,0,0,0,0,""
"additive_recessive_dominant_add2_rec1_dom1_n500_L10_pve0.2_seed1e+06_reps400_chunk1.RData","Additive + recessive + dominant","add2_rec1_dom1",0.2,4,400,400,400,0,0,0,0,""
"additive_recessive_dominant_add2_rec1_dom1_n500_L10_pve0.4_seed1e+06_reps400_chunk1.RData","Additive + recessive + dominant","add2_rec1_dom1",0.4,4,400,400,400,0,0,0,0,""
"additive_recessive_add3_rec2_dom0_n500_L10_pve0.4_seed1e+06_reps400_chunk1.RData","Additive + recessive","add3_rec2_dom0",0.4,5,400,400,400,0,0,0,0,""
"additive_dominant_add3_rec0_dom2_n500_L10_pve0.3_seed1e+06_reps400_chunk1.RData","Additive + dominant","add3_rec0_dom2",0.3,5,400,400,400,0,0,0,0,""
"additive_dominant_add3_rec0_dom2_n500_L10_pve0.2_seed1e+06_reps400_chunk1.RData","Additive + dominant","add3_rec0_dom2",0.2,5,400,400,400,0,0,0,0,""
"additive_recessive_dominant_add3_rec1_dom1_n500_L10_pve0.3_seed1e+06_reps400_chunk1.RData","Additive + recessive + dominant","add3_rec1_dom1",0.3,5,400,400,400,0,0,0,0,""
"additive_recessive_add2_rec3_dom0_n500_L10_pve0.3_seed1e+06_reps400_chunk1.RData","Additive + recessive","add2_rec3_dom0",0.3,5,400,400,400,0,0,0,0,""
"additive_recessive_add2_rec3_dom0_n500_L10_pve0.2_seed1e+06_reps400_chunk1.RData","Additive + recessive","add2_rec3_dom0",0.2,5,400,400,400,0,0,0,0,""
"additive_recessive_add2_rec3_dom0_n500_L10_pve0.4_seed1e+06_reps400_chunk1.RData","Additive + recessive","add2_rec3_dom0",0.4,5,400,400,400,0,0,0,0,""
"recessive_dominant_add0_rec3_dom2_n500_L10_pve0.3_seed1e+06_reps400_chunk1.RData","Recessive + dominant","add0_rec3_dom2",0.3,5,400,400,400,0,0,0,0,""
"additive_recessive_add2_rec3_dom0_n500_L10_pve0.1_seed1e+06_reps400_chunk1.RData","Additive + recessive","add2_rec3_dom0",0.1,5,400,400,400,0,0,0,0,""
"additive_add2_rec0_dom0_n500_L10_pve0.4_seed1e+06_reps400_chunk1.RData","Additive only","add2_rec0_dom0",0.4,2,400,400,399,1,0,0,0," | The genetic signal has zero variance."
"additive_dominant_add3_rec0_dom2_n500_L10_pve0.1_seed1e+06_reps400_chunk1.RData","Additive + dominant","add3_rec0_dom2",0.1,5,400,400,400,0,0,0,0,""
