"scenario","pve","method","target_fdr","threshold","empirical_fdr","power","tp","fp"
"Additive + dominant",0.1,"SuSiE",0.1,0.965,0.0985915492957746,0.00800100012501563,128,14
"Additive + dominant",0.1,"SuSiE-mix",0.1,0.998920224837672,0.0689655172413793,0.00168771096387048,27,2
"Additive + recessive",0.1,"SuSiE",0.1,0.971,0.0833333333333333,0.0034375,55,5
"Additive + recessive",0.1,"SuSiE-mix",0.1,0.931,0.0982658959537572,0.00975,156,17
"Additive + recessive + dominant",0.1,"SuSiE",0.1,0.972,0.0882352941176471,0.00172222222222222,31,3
"Additive + recessive + dominant",0.1,"SuSiE-mix",0.1,0.94,0.0964912280701754,0.00572222222222222,103,11
"Additive only",0.1,"SuSiE",0.1,0.88,0.0969162995594714,0.0341780593531177,205,22
"Additive only",0.1,"SuSiE-mix",0.1,0.892,0.0995024875621891,0.0301767255751917,181,20
"Dominant only",0.1,"SuSiE",0.1,0.893,0.0993788819875776,0.0241747249083028,145,16
"Dominant only",0.1,"SuSiE-mix",0.1,0.816,0.0979591836734694,0.0368456152050684,221,24
"Recessive + dominant",0.1,"SuSiE",0.1,0.959,0.0909090909090909,0.0025,40,4
"Recessive + dominant",0.1,"SuSiE-mix",0.1,0.814,0.0996563573883162,0.016375,262,29
"Recessive only",0.1,"SuSiE",0.1,0.987,0.0909090909090909,0.00166666666666667,10,1
"Recessive only",0.1,"SuSiE-mix",0.1,0.666,0.0986842105263158,0.0456666666666667,274,30
"Additive + dominant",0.2,"SuSiE",0.1,0.849,0.0991596638655462,0.0670083760470059,1072,118
"Additive + dominant",0.2,"SuSiE-mix",0.1,0.803,0.0998659517426273,0.0839479934991874,1343,149
"Additive + recessive",0.2,"SuSiE",0.1,0.898,0.098993288590604,0.0335625,537,59
"Additive + recessive",0.2,"SuSiE-mix",0.1,0.711,0.0996602491506229,0.099375,1590,176
"Additive + recessive + dominant",0.2,"SuSiE",0.1,0.915,0.0986460348162476,0.0258888888888889,466,51
"Additive + recessive + dominant",0.2,"SuSiE-mix",0.1,0.756,0.0998702983138781,0.0771111111111111,1388,154
"Additive only",0.2,"SuSiE",0.1,0.801,0.0994694960212202,0.113204401467156,679,75
"Additive only",0.2,"SuSiE-mix",0.1,0.771,0.0994764397905759,0.114704901633878,688,76
"Dominant only",0.2,"SuSiE",0.1,0.798,0.0996784565916399,0.0933644548182728,560,62
"Dominant only",0.2,"SuSiE-mix",0.1,0.714,0.0998902305159166,0.136712237412471,820,91
"Recessive + dominant",0.2,"SuSiE",0.1,0.896,0.0995850622406639,0.027125,434,48
"Recessive + dominant",0.2,"SuSiE-mix",0.1,0.715,0.099507927829415,0.1029375,1647,182
"Recessive only",0.2,"SuSiE",0.1,0.978,0.0958904109589041,0.011,66,7
"Recessive only",0.2,"SuSiE-mix",0.1,0.616,0.098825831702544,0.1535,921,101
"Additive + dominant",0.3,"SuSiE",0.1,0.803,0.0994219653179191,0.146080760095012,2337,258
