"scenario","pve","K","method","configuration","n_replicates"
"Dominant only",0.1,2,"SuSiE","add0_rec0_dom2",3
"Dominant only",0.1,2,"SuSiE-mix","add0_rec0_dom2",3
"Recessive + dominant",0.4,2,"SuSiE","add0_rec1_dom1",3
"Recessive + dominant",0.4,2,"SuSiE-mix","add0_rec1_dom1",3
"Recessive only",0.3,3,"SuSiE","add0_rec3_dom0",3
"Recessive only",0.3,3,"SuSiE-mix","add0_rec3_dom0",3
"Additive only",0.2,1,"SuSiE","add1_rec0_dom0",3
"Additive only",0.2,1,"SuSiE-mix","add1_rec0_dom0",3
"Additive + dominant",0.2,2,"SuSiE","add1_rec0_dom1",3
"Additive + dominant",0.2,2,"SuSiE-mix","add1_rec0_dom1",3
"Additive + recessive",0.3,2,"SuSiE","add1_rec1_dom0",3
"Additive + recessive",0.3,2,"SuSiE-mix","add1_rec1_dom0",3
"Additive + recessive + dominant",0.1,3,"SuSiE","add1_rec1_dom1",3
"Additive + recessive + dominant",0.1,3,"SuSiE-mix","add1_rec1_dom1",3
"Additive only",0.4,2,"SuSiE","add2_rec0_dom0",3
"Additive only",0.4,2,"SuSiE-mix","add2_rec0_dom0",3
