"scenario","pve","K","metric","difference","lower","upper","n_boot"
"Additive only",0.2,1,"coverage",0,0,0,200
"Additive only",0.2,1,"purity",-0.00189819751354903,-0.00569459254064697,0,200
"Additive only",0.2,1,"power",0,0,0,200
"Additive only",0.2,1,"cs_size",0,0,0,200
"Dominant only",0.1,2,"coverage",-0.333333333333333,-0.4,0,144
"Dominant only",0.1,2,"purity",-0.0235366831112549,-0.0503340344937255,-0.0181772128347607,144
"Dominant only",0.1,2,"power",0.166666666666667,0,0.5,200
"Dominant only",0.1,2,"cs_size",9.33333333333333,1,11,144
"Additive + dominant",0.2,2,"coverage",0,0,0,200
"Additive + dominant",0.2,2,"purity",-0.0189264070442772,-0.0336767819121163,-0.00996220964387229,200
"Additive + dominant",0.2,2,"power",0,0,0,200
"Additive + dominant",0.2,2,"cs_size",0.5,0,1.5,200
"Additive + recessive",0.3,2,"coverage",0,0,0,200
"Additive + recessive",0.3,2,"purity",0.00631454839198409,-0.0216389634530694,0.0271017353762018,200
"Additive + recessive",0.3,2,"power",0,0,0,200
"Additive + recessive",0.3,2,"cs_size",-2.83333333333333,-8.5,0.5,200
"Additive only",0.4,2,"coverage",0,0,0,200
"Additive only",0.4,2,"purity",-0.00726988595421918,-0.0240194139417649,0.00800544547202797,200
"Additive only",0.4,2,"power",0,0,0,200
"Additive only",0.4,2,"cs_size",-0.142857142857143,-0.333333333333333,0,200
"Recessive + dominant",0.4,2,"coverage",0.2,0,1,200
"Recessive + dominant",0.4,2,"purity",0.0589768671572495,-0.00222006247145823,0.0748224265755409,200
"Recessive + dominant",0.4,2,"power",0.333333333333333,0,1,200
"Recessive + dominant",0.4,2,"cs_size",-1.86666666666667,-5,5.5,200
"Additive + recessive + dominant",0.1,3,"coverage",0,0,0,144
"Additive + recessive + dominant",0.1,3,"purity",-0.071973600324883,-0.0869312118975848,-0.066987729800649,144
"Additive + recessive + dominant",0.1,3,"power",0.111111111111111,0,0.333333333333333,200
"Additive + recessive + dominant",0.1,3,"cs_size",-3.5,-5.66666666666667,3,144
"Recessive only",0.3,3,"coverage",0,0,0,189
"Recessive only",0.3,3,"purity",0.119384606309911,0.0107576457188306,0.172273420547712,189
"Recessive only",0.3,3,"power",0.555555555555556,0.222222222222222,1,200
"Recessive only",0.3,3,"cs_size",-1.61111111111111,-10.2222222222222,12.6666666666667,189
