"scenario","pve","K","method","covered_cs","purity_sum","recovered","cs_size_sum","n_cs","n_causal","n_replicates","n_configurations","n_seed_blocks","coverage","coverage_lo","coverage_hi","coverage_n_boot","purity","purity_lo","purity_hi","purity_n_boot","power","power_lo","power_hi","power_n_boot","cs_size","cs_size_lo","cs_size_hi","cs_size_n_boot"
"Additive only",0.2,1,"SuSiE",3,2.9528608013,3,8,3,3,3,1,3,1,1,1,200,0.984286933766665,0.952860801299996,1,200,1,1,1,200,2.66666666666667,1,6,200
"Additive only",0.2,1,"SuSiE-mix",3,2.94716620875935,3,8,3,3,3,1,3,1,1,1,200,0.982388736253116,0.952860801299996,0.998101802486451,200,1,1,1,200,2.66666666666667,1,6,200
"Dominant only",0.1,2,"SuSiE",1,0.849242749239766,1,6,1,6,3,1,3,1,1,1,144,0.849242749239766,0.849242749239766,0.849242749239766,144,0.166666666666667,0,0.5,200,6,6,6,144
"Dominant only",0.1,2,"SuSiE-mix",2,2.47711819838553,2,46,3,6,3,1,3,0.666666666666667,0.5,1,197,0.825706066128511,0.79890871474604,0.839104741819746,197,0.333333333333333,0.166666666666667,0.5,200,15.3333333333333,7,19.5,197
"Additive + dominant",0.2,2,"SuSiE",6,5.57093535360785,6,32,6,6,3,1,3,1,1,1,200,0.928489225601308,0.889503871429029,0.95713922635931,200,1,1,1,200,5.33333333333333,3.66666666666667,7.5,200
"Additive + dominant",0.2,2,"SuSiE-mix",6,5.45737691134219,6,35,6,6,3,1,3,1,1,1,200,0.909562818557031,0.873185621919216,0.941390839248003,200,1,1,1,200,5.83333333333333,3.66666666666667,9,200
"Additive + recessive",0.3,2,"SuSiE",6,5.70984717358118,6,69,6,6,3,1,3,1,1,1,200,0.951641195596863,0.943779557776428,0.963713030472385,200,1,1,1,200,11.5,5.16666666666667,21.5,200
"Additive + recessive",0.3,2,"SuSiE-mix",6,5.74773446393309,6,52,6,6,3,1,3,1,1,1,200,0.957955743988848,0.929443475854059,0.975091490207715,200,1,1,1,200,8.66666666666667,5,13,200
"Additive only",0.4,2,"SuSiE",4,6.81016434359926,4,18,7,6,3,1,3,0.571428571428571,0,1,200,0.972880620514181,0.942899908451533,1,200,0.666666666666667,0,1,200,2.57142857142857,1,4.33333333333333,200
"Additive only",0.4,2,"SuSiE-mix",4,6.75927514191973,4,17,7,6,3,1,3,0.571428571428571,0,1,200,0.965610734559961,0.950905353923561,0.997152703729677,200,0.666666666666667,0,1,200,2.42857142857143,1,4,200
"Recessive + dominant",0.4,2,"SuSiE",4,4.70141556009465,4,41,5,6,3,1,3,0.8,0,1,200,0.940283112018931,0.925177573424459,1,200,0.666666666666667,0,1,200,8.2,1,11,200
"Recessive + dominant",0.4,2,"SuSiE-mix",6,5.99555987505708,6,38,6,6,3,1,3,1,1,1,200,0.99925997917618,0.997779937528542,1,200,1,1,1,200,6.33333333333333,3.16666666666667,11,200
"Additive + recessive + dominant",0.1,3,"SuSiE",1,0.840161077641704,1,24,1,9,3,1,3,1,1,1,144,0.840161077641704,0.840161077641704,0.840161077641704,144,0.111111111111111,0,0.333333333333333,200,24,24,24,144
"Additive + recessive + dominant",0.1,3,"SuSiE-mix",2,1.53637495463364,2,41,2,9,3,1,3,1,1,1,197,0.768187477316821,0.753229865744119,0.783145088889523,197,0.222222222222222,0.111111111111111,0.333333333333333,200,20.5,14,27,197
"Recessive only",0.3,3,"SuSiE",4,3.32230364627107,4,62,4,9,3,1,3,1,1,1,189,0.830575911567767,0.82051281644084,0.860765196948548,189,0.444444444444444,0,0.777777777777778,200,15.5,14.6666666666667,18,189
"Recessive only",0.3,3,"SuSiE-mix",9,8.5496446608991,9,125,9,9,3,1,3,1,1,1,200,0.949960517877678,0.871522842667379,1,200,1,1,1,200,13.8888888888889,4.44444444444444,30.6666666666667,200
